AidData ID,Geoname,Geoname ID,Latitude,Longitude,Location Class,Location Class Name,Precision Code,Date,ADM1 Name,ADM1 Code,ADM2 Name,ADM2 Code,Source URL,Source,Note,Location Type,Geographic Exactness,Geographic Exactness Name,Activities,Program GEF_ID,Project GEF_ID
906001153163,Shanxi,1795912,37.66667,112.25,1,Administrative Region,0,,Shanxi,1795912,,0,https://drive.google.com/a/email.wm.edu/folderview?id=0B37kAGP_r5CXZkl2cHJQcGxEVGM&usp=sharing_eid&ts=5751b80a&tid=0B37kAGP_r5CXLUdxYVZGVVBTWTQ,An IEM Approach to the Conservation of Biodiversity in Drylands Ecosystems/ Request for CEO Endorsement/Approvement,"I found this information within the project summary of the IEM Approach document, and in the Request for CEO approval document (from 14 August 2008)",ADM1,2,Approximate,,3482,2369
906001153163,Ningsia Hui Autonomous Region,1799355,37.25,106,1,Administrative Region,0,,Ningxia Hui,590,Wuzhong,9986,https://drive.google.com/drive/folders/0B37kAGP_r5CXZkl2cHJQcGxEVGM,An IEM Approach to the Conservation of Biodiversity in Dryland Ecosystems,DOC pg. 1,ADM1,2,Approximate,,3482,2369
906001153163,Gansu,1810676,37.75,102.75,1,Administrative Region,0,,Gansu,575,Wuwei,9804,https://drive.google.com/drive/folders/0B37kAGP_r5CXZkl2cHJQcGxEVGM,An IEM Approach to the Conservation of Biodiversity in Dryland Ecosystems,DOC pg. 1,ADM1,2,Approximate,,3482,2369
906001218174,China,1814991,35,105,1,Administrative Region,0,,Gansu,575,Dingxi,9793,https://www.thegef.org/sites/default/files/project_documents/09-17-07%2520CPR%2520CBPF%2520PIF%2520FINAL_0.doc,PIF Document,"[found documents on GEF website, used PIF document] pg. 3 numbered paragraph 3 says the project will 'It will establish an effective biodiversity conservation planning framework from the national to provincial levels. It will strengthen the State Environment Protection Administration’s capacity . . .' and 'will establish mechanisms to facilitate interactions between these stakeholders and the central government policy-makers to develop, test and scale-up innovative approaches. The project will also establish a common framework to monitor CBPF’s progress and to assess its achievements' so I coded China as approximate because it just seems to be a project happening at the national level",PCLI,2,Approximate,,3926,2435
906001224054,Kiribati,4030945,1.421,172.984,1,Administrative Region,0,,,0,,0,https://www.thegef.org/project/pas-implementing-sustainable-integrated-water-resource-and-wastewater-management-pacific,CEO Cover Memo ID# 2586 FOR CEO Endorsement,"GEF website because no Google Drive Folder. Countries listed on page 1 of PIF. Approximate for capacity building and watershed management (no actual, physical work appears to be done)",PCLI,2,Approximate,,3420,2586
906001224054,Fiji,2205218,-18,178,1,Administrative Region,0,,,0,,0,https://www.thegef.org/project/pas-implementing-sustainable-integrated-water-resource-and-wastewater-management-pacific,CEO Cover Memo ID# 2586 FOR CEO Endorsement,"GEF website because no Google Drive Folder. Countries listed on page 1 of PIF. Approximate for capacity building and watershed management (no actual, physical work appears to be done)",PCLI,1,Exact,,3420,2586
906001224054,Vanuatu,2134431,-16,167,1,Administrative Region,0,,,0,,0,https://www.thegef.org/project/pas-implementing-sustainable-integrated-water-resource-and-wastewater-management-pacific,CEO Cover Memo ID# 2586 FOR CEO Endorsement,"GEF website because no Google Drive Folder. Countries listed on page 1 of PIF. Approximate for capacity building and watershed management (no actual, physical work appears to be done)",PCLI,1,Exact,,3420,2586
906001224054,Solomon Islands,2103350,-8,159,1,Administrative Region,0,,,0,,0,https://www.thegef.org/project/pas-implementing-sustainable-integrated-water-resource-and-wastewater-management-pacific,CEO Cover Memo ID# 2586 FOR CEO Endorsement,"GEF website because no Google Drive Folder. Countries listed on page 1 of PIF. Approximate for capacity building and watershed management (no actual, physical work appears to be done)",PCLI,2,Approximate,,3420,2586
906001224054,Papua New Guinea,2088628,-6,147,1,Administrative Region,0,,,0,,0,https://www.thegef.org/project/pas-implementing-sustainable-integrated-water-resource-and-wastewater-management-pacific,CEO Cover Memo ID# 2586 FOR CEO Endorsement,"GEF website because no Google Drive Folder. Countries listed on page 1 of PIF. Approximate for capacity building and watershed management (no actual, physical work appears to be done)",PCLI,2,Approximate,,3420,2586
906001224054,Tuvalu,2110297,-8.51719,179.14478,1,Administrative Region,0,,,0,,0,https://www.thegef.org/project/pas-implementing-sustainable-integrated-water-resource-and-wastewater-management-pacific,CEO Cover Memo ID# 2586 FOR CEO Endorsement,"GEF website because no Google Drive Folder. Countries listed on page 1 of PIF. Approximate for capacity building and watershed management (no actual, physical work appears to be done)",PCLI,2,Approximate,,3420,2586
906001224054,Samoa,4034894,-13.8,-172.13333,1,Administrative Region,0,,,0,,0,https://www.thegef.org/project/pas-implementing-sustainable-integrated-water-resource-and-wastewater-management-pacific,CEO Cover Memo ID# 2586 FOR CEO Endorsement,"GEF website because no Google Drive Folder. Countries listed on page 1 of PIF. Approximate for capacity building and watershed management (no actual, physical work appears to be done)",PCLI,2,Approximate,,3420,2586
906001224054,Nauru,2110425,-0.517,166.933,1,Administrative Region,0,,,0,,0,https://www.thegef.org/project/pas-implementing-sustainable-integrated-water-resource-and-wastewater-management-pacific,CEO Cover Memo ID# 2586 FOR CEO Endorsement,"GEF website because no Google Drive Folder. Countries listed on page 1 of PIF. Approximate for capacity building and watershed management (no actual, physical work appears to be done)",PCLI,2,Approximate,,3420,2586
906001224054,Palau,1559582,7.503,134.621,1,Administrative Region,0,,,0,,0,https://www.thegef.org/project/pas-implementing-sustainable-integrated-water-resource-and-wastewater-management-pacific,CEO Cover Memo ID# 2586 FOR CEO Endorsement,"GEF website because no Google Drive Folder. Countries listed on page 1 of PIF. Approximate for capacity building and watershed management (no actual, physical work appears to be done)",PCLF,2,Approximate,,3420,2586
906001224054,Niue,4036232,-19.03333,-169.86667,1,Administrative Region,0,,,0,,0,https://www.thegef.org/project/pas-implementing-sustainable-integrated-water-resource-and-wastewater-management-pacific,CEO Cover Memo ID# 2586 FOR CEO Endorsement,"GEF website because no Google Drive Folder. Countries listed on page 1 of PIF. Approximate for capacity building and watershed management (no actual, physical work appears to be done)",PCLS,1,Exact,,3420,2586
906001224054,Cook Islands,1899402,-21.24842,-159.78516,1,Administrative Region,0,,,0,,0,https://www.thegef.org/project/pas-implementing-sustainable-integrated-water-resource-and-wastewater-management-pacific,CEO Cover Memo ID# 2586 FOR CEO Endorsement,"GEF website because no Google Drive Folder. Countries listed on page 1 of PIF. Approximate for capacity building and watershed management (no actual, physical work appears to be done)",PCLS,2,Approximate,,3420,2586
906001224054,Marshall Islands,2080185,7.113,171.236,1,Administrative Region,0,,,0,,0,https://www.thegef.org/project/pas-implementing-sustainable-integrated-water-resource-and-wastewater-management-pacific,CEO Cover Memo ID# 2586 FOR CEO Endorsement,"GEF website because no Google Drive Folder. Countries listed on page 1 of PIF. Approximate for capacity building and watershed management (no actual, physical work appears to be done)",PCLF,2,Approximate,,3420,2586
906001224054,Micronesia,2081918,6.924,158.162,1,Administrative Region,0,,,0,,0,https://www.thegef.org/project/pas-implementing-sustainable-integrated-water-resource-and-wastewater-management-pacific,CEO Cover Memo ID# 2586 FOR CEO Endorsement,"GEF website because no Google Drive Folder. Countries listed on page 1 of PIF. Approximate for capacity building and watershed management (no actual, physical work appears to be done)",PCLF,2,Approximate,,3420,2586
906001224054,Tonga,4032283,-20,-175,1,Administrative Region,0,,,0,,0,https://www.thegef.org/project/pas-implementing-sustainable-integrated-water-resource-and-wastewater-management-pacific,CEO Cover Memo ID# 2586 FOR CEO Endorsement,"GEF website because no Google Drive Folder. Countries listed on page 1 of PIF. Approximate for capacity building and watershed management (no actual, physical work appears to be done)",PCLI,2,Approximate,,3420,2586
906001152923,Liwā’ al Qaşr,8621695,31.35553,35.78007,1,Administrative Region,0,,Al Karak,1704,Al Qasr,65724,,,,ADM2,1,Exact,,3423,2631
906001152923,Ma’an,248380,30.33333,36.58333,1,Administrative Region,0,,Ma'an,1709,Qasabat  Maan,65744,https://drive.google.com/drive/u/0/folders/0B37kAGP_r5CXMTNDcV9idnV4Qnc,Request for CEO Endorsement,Page 7 of 08-13-08 lists the project locations and components. This is one of the larger scale delineations of the project which is approximate as it contains several other project areas within its bounds. ,ADM1,2,Approximate,,3423,2631
906001152923,Busayrah,-2290307,30.6814702945,35.6118899365,1,Administrative Region,0,,At Tafilah,1706,Busayrah,65734,,,,ADM2,1,Exact,,3423,2631
906001152923,Tafielah,250199,30.75,35.58333,1,Administrative Region,0,,At Tafilah,1706,Busayrah,65734,https://drive.google.com/drive/u/0/folders/0B37kAGP_r5CXMTNDcV9idnV4Qnc,08-13-08 Request for CEO Endorsement,Page 7 of 08-13-08 lists the project locations and components. This is one of the larger scale delineations of the project which is approximate as it contains several other project areas within its bounds. ,ADM1,2,Approximate,,3423,2631
906001152923,Liwā’ Qaşabat al Karak,8621697,31.16121,35.82527,1,Administrative Region,0,,Al Karak,1704,Al Qatrana,65725,,,,ADM2,1,Exact,,3423,2631
906001152923,Liwā’ Qaşabat aţ Ţafīlah,8621739,30.82788,35.54781,1,Administrative Region,0,,At Tafilah,1706,Qasabat At Tafilah,65735,,,,ADM2,1,Exact,,3423,2631
906001152923,Liwā’ al Mazār al Janūbī,8621720,31.00813,35.75605,1,Administrative Region,0,,Al Karak,1704,Al Mazar Al Janoubia,36741,,,,ADM2,1,Exact,,3423,2631
906001152923,Shoubak,-7235178,30.4980201463,35.5560938623,1,Administrative Region,0,,Ma'an,1709,Ash Shobak,36745,,,,ADM2,1,Exact,,3423,2631
906001152923,Petra,250745,30.32982,35.44144,1,Administrative Region,0,,Ma'an,1709,Wadi Musa,36746,,,,ANS,1,Exact,,3423,2631
906001152923,Karak,250625,31.16667,35.75,1,Administrative Region,0,,Al Karak,1704,Qasabat Al Karak,65727,https://drive.google.com/drive/u/0/folders/0B37kAGP_r5CXMTNDcV9idnV4Qnc,08-13-08 Request for CEO Endorsement,Page 7 of 08-13-08 lists the project locations and components. This is one of the larger scale delineations of the project which is approximate as it contains several other project areas within its bounds. ,ADM1,2,Approximate,,3423,2631
906001153205,Oulad Ghziyel,6546937,33.84951,-2.56247,1,Administrative Region,0,,Oriental,2109,Oujda,21820,https://drive.google.com/drive/u/0/folders/0B37kAGP_r5CXb1ZYWGFackd2Vkk,Council Document,"This point was already on toolkit, and I used wikipedia to double check ADM levels. The locations are listed on a map on the project document pdf page 42",ADM3,2,Approximate,,3423,2632
906001153205,El Atef,-2541045,33.7079321384,-2.8209576807,1,Administrative Region,0,,Oriental,2109,Oujda,21820,,,,ADM3,2,Approximate,,3423,2632
906001153205,Bni Guil,6545613,32.44804,-1.88151,1,Administrative Region,0,,Oriental,2109,Figuig,21818,https://drive.google.com/drive/u/0/folders/0B37kAGP_r5CXb1ZYWGFackd2Vkk,Council Document,"This point was already on toolkit, and I used wikipedia to double check ADM levels. The locations are listed on a map on the project document pdf page 42",ADM3,2,Approximate,,3423,2632
906001153205,Tiouli,6546313,34.33858,-1.87936,1,Administrative Region,0,,Oriental,2109,Oujda,21820,https://drive.google.com/drive/u/0/folders/0B37kAGP_r5CXb1ZYWGFackd2Vkk,Council Document,"This point was already on toolkit, and I used wikipedia to double check ADM levels. The locations are listed on a map on the project document pdf page 42",ADM3,2,Approximate,,3423,2632
906001153205,Abbou Lakhal,6546400,32.24432,-1.54034,1,Administrative Region,0,,Oriental,2109,Figuig,21818,https://drive.google.com/drive/u/0/folders/0B37kAGP_r5CXb1ZYWGFackd2Vkk,Council Document,"This point was already on toolkit, and I used wikipedia to double check ADM levels. The locations are listed on a map on the project document pdf page 42",ADM3,2,Approximate,,3423,2632
906001153205,Oulad Sidi  Abdelhak,6545776,33.91565,-1.78552,1,Administrative Region,0,,Oriental,2109,Oujda,21820,https://drive.google.com/drive/u/0/folders/0B37kAGP_r5CXb1ZYWGFackd2Vkk,Council Document,"This point was already on toolkit, and I used wikipedia to double check ADM levels. The locations are listed on a map on the project document pdf page 42",ADM3,2,Approximate,,3423,2632
906001153205,Maatarka,6546935,33.21056,-2.55645,1,Administrative Region,0,,Oriental,2109,Figuig,21818,https://drive.google.com/drive/u/0/folders/0B37kAGP_r5CXb1ZYWGFackd2Vkk,Council Document,"This point was already on toolkit, and I used wikipedia to double check ADM levels. The locations are listed on a map on the project document pdf page 42 (https://drive.google.com/drive/u/0/folders/0B37kAGP_r5CXb1ZYWGFackd2Vkk).",ADM3,2,Approximate,,3423,2632
906001153205,Oulad M Hammed,6546938,33.53306,-3.07021,1,Administrative Region,0,,Oriental,2109,Oujda,21820,,,,ADM3,2,Approximate,,3423,2632
906001153205,Mrija,6545975,33.89377,-2.3138,1,Administrative Region,0,,Oriental,2109,Oujda,21820,https://drive.google.com/drive/u/0/folders/0B37kAGP_r5CXb1ZYWGFackd2Vkk,Council Document,"This point was already on toolkit, and I used wikipedia to double check ADM levels. The locations are listed on a map on the project document pdf page 42",ADM3,2,Approximate,,3423,2632
906001153205,Tendrara,6546401,33.17325,-1.96537,1,Administrative Region,0,,Oriental,2109,Figuig,21818,https://drive.google.com/drive/u/0/folders/0B37kAGP_r5CXb1ZYWGFackd2Vkk,Council Document,"This point was already on toolkit, and I used wikipedia to double check ADM levels. The locations are listed on a map on the project document pdf page 42",ADM3,2,Approximate,,3423,2632
906001153205,Ain Bni Mathar,6545517,34.00922,-2.11053,1,Administrative Region,0,,Oriental,2109,Oujda,21820,https://drive.google.com/drive/u/0/folders/0B37kAGP_r5CXb1ZYWGFackd2Vkk,Council Document,"This point was already on toolkit, and I used wikipedia to double check ADM levels. The locations are listed on a map on the project document pdf page 42",ADM3,2,Approximate,,3423,2632
906001153205,Morocco,2542007,32,-6,1,Administrative Region,0,,Centre,2105,Azilal,21799,https://drive.google.com/a/email.wm.edu/folderview?id=0B37kAGP_r5CXb1ZYWGFackd2Vkk&usp=sharing_eid&ts=5751b80a&tid=0B37kAGP_r5CXLUdxYVZGVVBTWTQ,Project Identification Form - the GEF Trust Fund,"I coded this as exact because a section of the project is dedicated to improving local community livelihoods, and improving water usage practices on the ground",PCLI,2,Approximate,,3423,2632
906001153173,Bargou,11107576,36.10627,9.61547,1,Administrative Region,0,,Siliana,3011,Bargou,39433,https://drive.google.com/drive/folders/0B37kAGP_r5CXZDJVclB1X3BDbXc,“07-11-08 Project Brief for CEO Endorsement” ,"Document Page 73 – point 7 – notes the project will cover 54 of the districts of this region, but no document notes which 54 (search “district” and document will provide other instances of noting 54 districts)Document page 6 map of project area within Siliana, compared this to a map found on google to code the correct ADM2s. Coded ADMs as exact if the project map indicated that the entire region was affected, coded them as approximate if only part of the region will be affected",ADM2,1,Exact,,3423,2709
906001153173,Rouhia,11107578,35.648,9.21237,1,Administrative Region,0,,Siliana,3011,Rouhia,39440,https://drive.google.com/drive/folders/0B37kAGP_r5CXZDJVclB1X3BDbXc,“07-11-08 Project Brief for CEO Endorsement” ,"Document Page 73 – point 7 – notes the project will cover 54 of the districts of this region, but no document notes which 54 (search “district” and document will provide other instances of noting 54 districts)Document page 6 map of project area within Siliana, compared this to a map found on google to code the correct ADM2s. Coded ADMs as exact if the project map indicated that the entire region was affected, coded them as approximate if only part of the region will be affected. ",ADM2,1,Exact,,3423,2709
906001153173,Siliana Sud,2465029,35.98264,9.39902,1,Administrative Region,0,,Siliana,3011,Siliana Sud,39442,https://drive.google.com/drive/folders/0B37kAGP_r5CXZDJVclB1X3BDbXc,“07-11-08 Project Brief for CEO Endorsement” ,"Document Page 73 – point 7 – notes the project will cover 54 of the districts of this region, but no document notes which 54 (search “district” and document will provide other instances of noting 54 districts)Document page 6 map of project area within Siliana, compared this to a map found on google to code the correct ADM2s. Coded ADMs as exact if the project map indicated that the entire region was affected, coded them as approximate if only part of the region will be affected. ",ADM2,1,Exact,,3423,2709
906001153173,Bourouis,7870619,36.18299,9.15529,1,Administrative Region,0,,Siliana,3011,Bourouis,39435,https://drive.google.com/drive/folders/0B37kAGP_r5CXZDJVclB1X3BDbXc,“07-11-08 Project Brief for CEO Endorsement” ,"Document Page 73 – point 7 – notes the project will cover 54 of the districts of this region, but no document notes which 54 (search “district” and document will provide other instances of noting 54 districts)Document page 6 map of project area within Siliana, compared this to a map found on google to code the correct ADM2s. Coded ADMs as exact if the project map indicated that the entire region was affected, coded them as approximate if only part of the region will be affected. ",ADM2,2,Approximate,,3423,2709
906001153173,Jebel Serj National Park,-6426017,35.9920847171,9.6157274921,4,Other Topographical Feature,0,,Siliana,3011,Bargou,39433,https://drive.google.com/drive/folders/0B37kAGP_r5CXZDJVclB1X3BDbXc,7-11-08 Project Brief for CEO Endorsement ,"in text pg. 40 paragraph 147. I added this to geonames here http://www.geonames.org/11184930/jebel-serj-national-park.htmlFound on wikipedia: https://en.wikipedia.org/wiki/Jebel_Serj_National_ParkFound on googlemaps https://www.google.com/maps/place/Parc+national+de+Jebel+Serj/@35.9566689,9.4086165,11z/data=!4m5!3m4!1s0x12fc41d9e246bd41:0x8c0405a7e112ae26!8m2!3d35.9366571!4d9.5497222",PRK,1,Exact,,3423,2709
906001153173,Mu‘tamadīyat Bū ‘Arādah,2472259,36.25,9.5,1,Administrative Region,0,,Siliana,3011,Bouarada,39434,https://drive.google.com/drive/folders/0B37kAGP_r5CXZDJVclB1X3BDbXc,“07-11-08 Project Brief for CEO Endorsement” ,"Document Page 73 – point 7 – notes the project will cover 54 of the districts of this region, but no document notes which 54 (search “district” and document will provide other instances of noting 54 districts)Document page 6 map of project area within Siliana, compared this to a map found on google to code the correct ADM2s. Coded ADMs as exact if the project map indicated that the entire region was affected, coded them as approximate if only part of the region will be affected",ADMD,2,Approximate,,3423,2709
906001153173,Gouvernorat de Siliana,2465027,36,9.33333,1,Administrative Region,0,,Siliana,3011,Siliana Sud,39442,https://drive.google.com/drive/folders/0B37kAGP_r5CXZDJVclB1X3BDbXc,“07-11-08 Project Brief for CEO Endorsement” ,"Document page 14, point 33, the first three project components are technical assistance to the region, as such coded Siliana as approximate 'The project is structured into four components: (i) integrated local development; (ii) support for enterprises and investments; (iii) institutional strengthening'",ADM1,2,Approximate,,3423,2709
906001153173,Gaafour,-2984974,36.3404998005,9.3203776709,1,Administrative Region,0,,Siliana,3011,Gaafour,39437,https://drive.google.com/drive/folders/0B37kAGP_r5CXZDJVclB1X3BDbXc,“07-11-08 Project Brief for CEO Endorsement” ,"Document Page 73 – point 7 – notes the project will cover 54 of the districts of this region, but no document notes which 54 (search “district” and document will provide other instances of noting 54 districts)Document page 6 map of project area within Siliana, compared this to a map found on google to code the correct ADM2s. Coded ADMs as exact if the project map indicated that the entire region was affected, coded them as approximate if only part of the region will be affected. http://www.geonames.org/11154520/gaafour.html",ADM2,2,Approximate,,3423,2709
906001153173,El Aroussa,11107575,36.36535,9.46114,1,Administrative Region,0,,Siliana,3011,Bouarada,39434, https://drive.google.com/drive/folders/0B37kAGP_r5CXZDJVclB1X3BDbXc,“07-11-08 Project Brief for CEO Endorsement” ,"Document Page 73 – point 7 – notes the project will cover 54 of the districts of this region, but no document notes which 54 (search “district” and document will provide other instances of noting 54 districts)Document page 6 map of project area within Siliana, compared this to a map found on google to code the correct ADM2s. Coded ADMs as exact if the project map indicated that the entire region was affected, coded them as approximate if only part of the region will be affected. This one was weird as it's listed as an ADM2 itself, within the ADM 2 of Bou Arada, but I'm thinking this is just a problem with the toolkit layers being a little bit skewed, as according to the map El Aroussa is it's own area and still comes up as an ADM2.",ADM2,2,Approximate,,3423,2709
906001153173,Kesra,11107577,35.79671,9.38447,1,Administrative Region,0,,Siliana,3011,Kissra,39438,https://drive.google.com/drive/folders/0B37kAGP_r5CXZDJVclB1X3BDbXc,“07-11-08 Project Brief for CEO Endorsement” ,"Document Page 73 – point 7 – notes the project will cover 54 of the districts of this region, but no document notes which 54 (search “district” and document will provide other instances of noting 54 districts)Document page 6 map of project area within Siliana, compared this to a map found on google to code the correct ADM2s. Coded ADMs as exact if the project map indicated that the entire region was affected, coded them as approximate if only part of the region will be affected. ",ADM2,1,Exact,,3423,2709
906001153077,Khuzestan,127082,31.5,49,1,Administrative Region,0,,Khuzestan,127082,,0,"http://webcache.googleusercontent.com/search?q=cache:GXpPjDUaNTUJ:www.ir.undp.org/content/dam/iran/docs/Publications/UNDP-Iran-One-Pagers/Current-Projects/Project%2520One%2520Pager,%2520Environment%2520-%2520Menarid%252001%2520-%2520English.pdf%3Fdownload+&cd=3&hl=en&ct=clnk&gl=us",,"This district is given by the map on the bottom of the first page of the Source URL, likely because it will be effecting pilot sites in the Karoon watershed that represents a portion of this district.",ADM1,2,Approximate,,3423,2732
906001153077,Sistan and Baluchestan,1159456,28.5,60.5,1,Administrative Region,0,,Sistan and Baluchestan,1159456,,0,http://www.ir.undp.org/content/iran/en/home/operations/projects/environment_and_sustainable_development/menarid.html#,,Bullet points under Project highlights gives this district as one in which pilot sites for the project were pulled from. I am coding it as approximate because the names of those villages are unknown.,ADM1,2,Approximate,,3423,2732
906001153077,Ostān-e Chahār Maḩāl va Bakhtīārī,139677,32.16667,50.75,1,Administrative Region,0,,Chahār Maḩāll va Bakhtīārī,139677,,0,"http://webcache.googleusercontent.com/search?q=cache:GXpPjDUaNTUJ:www.ir.undp.org/content/dam/iran/docs/Publications/UNDP-Iran-One-Pagers/Current-Projects/Project%2520One%2520Pager,%2520Environment%2520-%2520Menarid%252001%2520-%2520English.pdf%3Fdownload+&cd=3&hl=en&ct=clnk&gl=us",,"This location is given by the map on the bottom of the first page of the source URL, likely because pilot sites are being pulled from within this district.",ADM1,2,Approximate,,3423,2732
906001153077,Yazd,111821,32.5,55.58333,1,Administrative Region,0,,Yazd,111821,,0,http://www.ir.undp.org/content/iran/en/home/operations/projects/environment_and_sustainable_development/menarid.html#,,The fourth bullet point on the source URL gives a name of a village and notes that it is'one of the pilot sites in Yazd Province'. I am coding the village location as well as the province level because the words would assume there are more unnamed pilot sites being effected by this program.,ADM1,2,Approximate,,3423,2732
