AidData Project ID,round,gef_id,Agency,Lead agency,Secondary agency(ies),Region,List of regions,Country,List of participating countries,Countries listed by Code (ISO 3166-1 alpha-2),Focal Area,Focal Area single-letter-code,List of project's focal areas,GEF replenishment phase,Type acronym,Type,Status,Trust Fund acronym,Trust Fund,Executing partner / agency,Type of executing partner / agency,Type acronym of parent (or empty if standalone),"Category (empty: standalone, parent, child)",Biosafety project?,Targeted research project?,National Capacity Self Assessement (NCSA)?,National Adaptation Programme of Action (NAPA)?,isNonExpedited,National Portfolio Formulation Exercises (NPFE)?,National communications project?,Small Grants Programme (SGP)?,Sustainable Forest Management (SFM)?,Requires second review?,Primary GEFSEC Program Manager,ID of secondary GEFSEC Program Manager,UNDP Project ID,World Bank Project ID,GEF3 OP list,GEF4 SP list,GEF4 SP-ID list,GEF5 FA Objective list,Keyword ID list,Code of business plan allocation item,World Bank Trust Fund number,(Sum of all) Approved PPG(s),Project Preparation Grant (PPG),Project Development Facility block A (PDF-A),Project Development Facility block B (PDF-B),Project Development Facility block C (PDF-C),Pre-Investment Facility (PRIF),Agency fees paid separately for PPG,Agency fees paid separately for PDF-B,GEF Project Grant PIF stage,GEF Project Grant CEO approve stage,GEF Project Grant CEO endorse stage,Agency Fee PIF stage,Agency Fee CEO approve stage,Agency Fee CEO endorse stage,Cofinance PIF stage,Cofinance CEO approve stage,Cofinance CEO endorse stage,Date of receipt or first PMIS entry,PIF Clearance or PIF Approval Date,Expected date of entry into work program,Date of entry into work program,Date of project approval,Date of CEO approval (MSP / EA),Date of CEO endorsement (FSP),Date of dropping (before project approval),Date of cancelation (after project approval),Date of PIF rejection by CEO,Date of technical rejection by Program Manager,Date of rejection by CEO at CEO approve stage,Date of rejection by CEO at CEO endorse stage,Date of Parent / Program rejection by Council,Date of approval by Agency,Expected date of Grant signing,Actual date of Grant signing,Expected date of implementation start,Actual date of implementation start,Expected date of closure,Actual date of closure,Expected date of financial closure,Date of financial closure,Expected date of Internal Completion Report (ICR),Date of Internal Completion Report (ICR),Expected date of Parent endorsement by Council,Date of Parent endorsement by Council,Expected date of effectiveness,Date of effectiveness,Expected date of mid term review,Date of mid term review,GEFNewRegionList,is_valid,project_id,project_title
906001223984,Programmatic,3817,World Bank,World Bank,,AFR,,Guinea-Bissau,,GW,Biodiversity,B,B,GEF - 4,MSP,Medium-Sized Project,Project Completion,GET,GEF Trust Fund,Institute for Biodiversity and Protected Areas (IBAP),Institute,PAN,Child,False,False,False,False,False,False,False,False,False,False,Charlotte Gobin,329964.0,,83172.0,,BD-1;BD-2;,;1;2;,,,,,0,,,,,,,,950000.0,950000.0,,95000.0,95000.0,,2900000.0,2794387.0,,8-Oct-08,17-Nov-08,,,17-Nov-08,13-Jul-10,,,,,,,,,,,,30-Aug-10,17-Mar-11,28-Feb-14,28-Feb-14,,,,,,,,,,,"AFR,",1,906001223984,SPWA-BD: Guinea Bissau Biodiversity Conservation Trust Fund Project
906001223986,Programmatic,4084,World Bank,World Bank,,AFR,,Cameroon,,CM,Biodiversity,B,B,GEF - 4,FP,Full-Sized Project,Under Implmentation,GET,GEF Trust Fund,"Ministry of Forests and Wildlife, Ministry of Environment and Protection of Nature",Government,PAN,Child,False,False,False,False,False,False,False,False,False,True,Charlotte Gobin,329964.0,,118018.0,,BD-1;BD-2;,;1;2;,,,,,76700,76700.0,,,,,7670.0,,3500000.0,,3500000.0,350000.0,,350000.0,6500000.0,,15411344.0,4-Sep-09,9-Sep-09,30-Nov-09,12-Nov-09,12-Nov-09,,5-Mar-12,,,,,,,,5-Apr-12,,,30-Apr-12,11-Apr-13,30-Jun-17,,,,,,,,,,30-May-15,,"AFR,",1,906001223986,CBSP Conservation and Sustainable Use of the Ngoyla Mintom Forest
906001223988,Programmatic,5215,World Bank,World Bank,,AFR,,Benin,,BJ,Multi Focal Area,M,M;B;L;M;,GEF - 5,FP,Full-Sized Project,CEO Endorsed,GET,GEF Trust Fund,Government of Benin Ministry of Environment Habitat and Urban,Government,PAS,Child,False,False,False,False,False,False,False,False,True,False,Jean-Marc Sinnassamy,349360.0,,131051.0,,,,LD-2; SFM/REDD+-1; BD-1; LD-3; ,,,,0,,,,,,,,5555556.0,,5555556.0,444444.0,,444444.0,46450000.0,,46450000.0,28-Nov-12,,,26-May-11,26-May-11,,30-Jan-13,,,,,,,,,,,,,,,,,,,,,,,,,"AFR,",1,906001223988,GGW: Forests and Adjacent Lands Management Project
906001223990,Programmatic,4035,World Bank,World Bank,,AFR,,Tunisia,,TN,Multi Focal Area,M,M;B;L;,GEF - 4,FP,Full-Sized Project,Under Implmentation,GET,GEF Trust Fund,Minstry of Environment and Sustainable Development,Government,PAS,Child,False,False,False,False,False,False,False,False,False,True,Mohamed Bakarr,298074.0,,,,BD-1;BD-2;LD-1;,;1;2;15;,,,,,200000,200000.0,,,,,20000.0,,4272300.0,,4272300.0,427230.0,,427230.0,3300000.0,,4788000.0,10-Aug-09,24-Aug-09,10-Nov-09,12-Nov-09,12-Nov-09,,9-Oct-12,,,,,,,,22-Jan-13,,,1-Jan-13,22-May-13,31-Jul-18,,,,,,,,,,30-Jun-16,,"AFR,",1,906001223990,MENARID: Ecotourism and Conservation of Desert Biodiversity
906001223992,Programmatic,4709,World Bank,World Bank,,AFR,,Togo,,TG,Multi Focal Area,M,M;B;C;L;M;,GEF - 5,FP,Full-Sized Project,Under Implmentation,MTF,Multi Trust Funds,Ministry of Environment and Forest Resources,Government,PAS,Child,False,False,False,False,False,False,False,False,True,False,Jean-Marc Sinnassamy,349360.0,,124198.0,,,,LD-3; CCA-2; CCA-2; BD-1; SFM/REDD+-1; ,,,,0,,,,,,,,9157407.0,,9157407.0,732593.0,,732593.0,55290000.0,,55290000.0,31-Oct-11,,,26-May-11,26-May-11,,21-Nov-11,,,,,,,,20-Dec-11,,,,19-Sep-12,18-Feb-16,,,,,,,,,,,,"AFR,",1,906001223992,GGW: Integrated Disaster and Land Management (IDLM) Project
906001223994,Programmatic,5110,World Bank,World Bank,,Asia,,Regional,"China, Indonesia, Philippines, Vietnam","00, CN, ID, PH, VN",International Waters,I,I,GEF - 5,MSP,Medium-Sized Project,CEO Approved,GET,GEF Trust Fund,Partnerships in Environmental Management for the Seas of East Asia (PEMSEA),Multilateral,PAS,Child,False,False,False,False,False,False,False,False,False,False,Christian Severin,439285.0,,,,,,IW-1; ,,,,0,,,,,,,,1000000.0,1000000.0,,80000.0,80000.0,,1245250.0,1245250.0,,31-Aug-12,,,,24-Apr-13,24-Apr-13,,,,,,,,,,,,,,,,,,,,,,,,,,"Asia, REG,",1,906001223994,LME-EA: Applying Knowledge Management to Scale up Partnership Investments for Sustainable Development of Large Marine Ecosystems of East Asia and their Coasts
906001223996,Programmatic,3961,World Bank,World Bank,,AFR,,Gambia,,GM,Biodiversity,B,B,GEF - 4,MSP,Medium-Sized Project,Project Completion,GET,GEF Trust Fund,Department of Parks and Wildlife Management,Government,PAN,Child,False,False,False,False,False,False,False,False,False,False,Jean-Marc Sinnassamy,404597.0,,115585.0,,BD-2;BD-1;,;2;1;,,,,,50660,50660.0,,,,,5066.0,,945000.0,945000.0,,94500.0,94500.0,,1258876.0,1258876.0,,10-Apr-09,19-Aug-09,,,19-Aug-09,13-Sep-10,,,,,,,,,,,,30-Nov-10,21-Mar-11,31-May-14,31-Jan-12,,,,,,,,,,,"AFR,",1,906001223996,SPWA-BD: The Gambia Biodiversity Management and Institutional Strengthening Project
906001223998,Programmatic,3882,FAO,FAO,,CEX,"Asia, CEX",Global,"Global, India","1W, IN, 1W",Climate Change,C,C,GEF - 4,MSP,Medium-Sized Project,Project Completion,GET,GEF Trust Fund,Bharati Integrated Rural Development Society (BIRDS) ,NGO,PAN,Child,False,False,False,False,False,False,False,False,False,False,Saliha Dobardzic,318439.0,,,,CC-SPA;,;30;,,,,,0,,,,,,,,859091.0,909091.0,,90091.0,90909.0,,2577270.0,2853563.0,,4-Feb-09,7-Jul-09,,,7-Jul-09,21-Apr-10,,,,,,,,,,,,31-May-10,21-Dec-10,30-Jun-14,30-Jun-14,,,,,,,,,31-Jan-12,,"Asia, CEX,",1,906001223998,SLEM/CPP: Reversing Environmental Degradation and Rural Poverty through Adaptation to Climate Change in Drought Stricken Areas in Southern India: A Hydrological Unit Pilot Project Approach (under India: SLEM)
906001224000,Programmatic,5292,World Bank,World Bank,,AFR,"AFR, Asia",Morocco,"Algeria, Egypt, Jordan, Morocco","MA, DZ, EG, JO, MA",Multi Focal Area,M,M;B;L;,GEF - 5,FP,Full Size Project,IA Approved,GET,GEF Trust Fund,Government,Government,PAS,Child,False,False,False,False,False,False,False,False,False,False,Mohamed Bakarr,329964.0,,116260.0,,,,LD-1; BD-2; ,,,,0,,,,,,,,6440000.0,,6440000.0,515200.0,,515200.0,35540000.0,,35540000.0,8-Feb-13,,,9-Nov-11,9-Nov-11,,11-Feb-13,,,,,,,,12-Mar-13,,,,,,,,,,,,,,,,,"AFR, ECA,",1,906001224000,MENA: Morocco GEF Social and Integrated Agriculture (ASIMA)
906001224002,Programmatic,3954,UNDP,UNDP,,Asia,,Papua New Guinea,,PG,Biodiversity,B,B,GEF - 4,FP,Full-Sized Project,Under Implmentation,GET,GEF Trust Fund,Department of Environment and Conservation,Government,PAN,Child,False,False,False,False,False,False,False,False,False,False,Dirk Gaul,17821.0,3936.0,,,BD-3;BD-1;,;3;1;,,,,,222000,222000.0,,,,,22200.0,,6900000.0,,6900000.0,690000.0,,690000.0,12000000.0,,23000000.0,9-Apr-09,28-Apr-09,30-Jun-09,24-Jun-09,24-Jun-09,,29-Jun-11,,,,,,,,20-Aug-12,,,31-Oct-11,20-Aug-12,28-Sep-18,,,,28-Feb-18,,,,,,30-Apr-15,,"SIDS,",1,906001224002,PAS: Community-Based Forest and Coastal Conservation and Resource Management in PNG
906001224004,Programmatic,3952,UNDP,UNDP,,AFR,,Algeria,,DZ,Multi Focal Area,M,M;B;L;,GEF - 4,FP,Full-Sized Project,Under Implmentation,GET,GEF Trust Fund,Ministry of Culture    ,Government,PAN,Child,False,False,False,False,False,False,False,False,False,True,Jean-Marc Sinnassamy,349360.0,4153.0,,,BD-3;LD-1;,;3;15;,,,,,0,,,,,,,,5387142.0,,5387142.0,538715.0,,538714.0,10022858.0,,21325910.0,8-Apr-09,24-Apr-09,30-Jun-09,24-Jun-09,24-Jun-09,,12-Sep-11,,,,,,,,24-Oct-12,,,31-Jul-11,24-Oct-12,31-Jul-18,,,,,,,,,,28-Feb-15,,"AFR,",1,906001224004,MENARID: Conservation of Globally Significant Biodiversity and Sustainable Use of Ecosystem Services in Algeria’s Cultural Parks 
906001224006,Programmatic,3859,UNDP,UNDP,,Asia,,Philippines,,PH,Biodiversity,B,B,GEF - 4,FP,Full-Sized Project,Under Implmentation,GET,GEF Trust Fund," Protected Area and Wildlife Bureau (PAWB)- Department of Environment and Natural Resources (DENR), FFI, Haribon Foundation, PhilConserve, CI Philippines.",Government,PAN,Child,False,False,False,False,False,False,False,False,False,True,Nicole Glineur,66996.0,2904.0,,,BD-2;,;2;,,,,,93200,93200.0,,,,,9320.0,,4500000.0,,4500000.0,450000.0,,450000.0,9100000.0,,12522061.0,,24-Feb-09,1-Jun-09,24-Jun-09,24-Jun-09,,25-Jun-10,,,,,,,,,,,30-Jun-10,20-Sep-10,31-May-16,,,,,,,,,,28-Feb-13,,"Asia,",1,906001224006,CTI: Partnerships for Biodiversity Conservation: Mainstreaming in Local Agricultural Landscapes 
906001224008,Programmatic,9120,UNEP,UNEP,,REG,"Asia, ECA",Regional,"Afghanistan, Bangladesh, Bahrain, Bhutan, China, Fiji, Indonesia, India, Iraq, Jordan, Kyrgyz Republic, Cambodia, Kiribati, Kuwait, Kazakhstan, Lao PDR, Lebanon, Sri Lanka, Marshall Islands, Myanmar, Mongolia, Maldives, Malaysia, Nauru, Niue, Oman, Papua New Guinea, Philippines, Pakistan, Palau, Solomon Islands, Thailand, Tajikistan, Turkmenistan, Tonga, Turkey, Vietnam, Samoa, Yemen","00, AF, BH, IQ, JO, KW, LB, OM, TR, YE, BD, BT, KH, CN, FJ, IN, ID, KZ, KI, KG, LA, MY, MV, MH, MN, MM, NR, NU, PK, PU, PG, PH, WS, SB, LK, TJ, TH, TO, TM, VN",Biodiversity,B,B,GEF - 6,MSP,Medium-Sized Project,CEO Approved,GET,GEF Trust Fund,,Government,,,False,False,False,False,False,False,False,False,False,False,Jaime Cavelier,,,,,,,,,,,0,,,,,,,,1099050.0,1099050.0,,104410.0,104410.0,,995000.0,995000.0,,5-May-15,,,,9-Jun-15,9-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,"Asia, ECA, SIDS, REG,",1,906001224008,Support to Preparation of the Third National Biosafety Reports to the Cartagena Protocol on Biosafety - Asia Pacific Region
906001224010,Programmatic,4105,World Bank,World Bank,,AFR,,Sierra Leone,,SL,Biodiversity,B,B,GEF - 4,FP,Full-Sized Project,Under Implmentation,GET,GEF Trust Fund,"Ministry of Agriculture, Forestry and Food Security (MAFFS)",Government,PAN,Child,False,False,False,False,False,False,False,False,False,False,Jean-Marc Sinnassamy,226576.0,,118900.0,,BD-2;,;2;,,,,,0,,,,,,,,1800000.0,,1800000.0,180000.0,,180000.0,2000000.0,,3380000.0,15-Sep-09,21-Jan-10,31-Mar-10,17-Mar-10,17-Mar-10,,27-Jan-11,,,,,,,,,,,1-Jun-11,1-Jun-11,30-Jun-15,,,,,,,,,,1-Dec-13,,"AFR,",1,906001224010,SPWA-BD: Wetlands Conservation Project
906001224012,Programmatic,2766,ADB,ADB,,Asia,,China,,CN,Biodiversity,B,B,GEF - 4,FP,Full-Sized Project,Under Implmentation,GET,GEF Trust Fund,"Development and Reform Commission (DRC) of the Baoding Municipallity, Hebei Province, PRC",Government,PAN,Child,False,False,False,False,False,False,False,False,False,True,Yoko Watanabe,298074.0,,,-2-4-12-,BD-1;BD-2;,;1;2;,,,,,414000,207000.0,,207000.0,,,,,2975000.0,,2975000.0,318200.0,,318000.0,276116000.0,,246930000.0,8-Apr-05,5-Feb-08,1-Jun-08,28-Jul-08,28-Jul-08,,23-Feb-10,,,,,,,,24-Jun-08,,,31-Jan-10,23-Jun-10,30-Mar-15,,,,,,,,,,25-Jun-13,25-Jun-13,"Asia,",1,906001224012,CBPF: Integrated Ecosystem and Water Resources Management in the Baiyangdian Basin
906001224014,Programmatic,5187,World Bank,World Bank,,AFR,,Burkina Faso,,BF,Multi Focal Area,M,M;B;C;L;M;,GEF - 5,FP,Full-Sized Project,Under Implmentation,GET,GEF Trust Fund,Ministry of Agriculture   Ministry of Environment    ,Government,PAS,Child,False,False,False,False,False,False,False,False,True,False,Jean-Marc Sinnassamy,434149.0,,130568.0,,,,LD-3; CCM-5; BD-1; BD-2; SFM/REDD+-1; ,,,,0,,,,,,,,7407408.0,,7407408.0,592592.0,,592592.0,97350000.0,,97350000.0,18-Oct-12,,,26-May-11,26-May-11,,21-Nov-12,,,,,,,,20-Dec-12,,,,21-Jun-13,31-May-18,,,,,,,,,,,,"AFR,",1,906001224014,GGW: Community based Rural Development Project 3rd Phase with Sustainable Land and Forestry Management
906001224016,Programmatic,3465,UNDP,UNDP,,Asia,,China,,CN,Biodiversity,B,B,GEF - 4,FP,Full-Sized Project,Project Completion,GET,GEF Trust Fund,Xinyang Municipal Government; Foreign Economic Cooperation Office of China State Environmental Protection Administration; Henan Provincial Finance Bureau,Government,PAN,Child,False,False,False,False,False,False,False,False,False,True,Yoko Watanabe,,3934.0,,-2-,BD-1;,;1;,,,,,0,,,,,,,,2727200.0,,2730000.0,272720.0,,272720.0,10355000.0,,10350000.0,,5-Oct-07,1-Nov-07,16-Nov-07,16-Nov-07,,21-Jan-09,,,,,,,,,,,28-Feb-09,2-Jun-09,15-Sep-13,,,,31-Dec-14,,,,,,31-Dec-12,,"Asia,",1,906001224016,CBPF: Conservation and Sustainable Use of Biodiversity in the Headwaters of the Huaihe River Basin
906001224018,Programmatic,3989,UNDP,UNDP,,AFR,,Morocco,,MA,Biodiversity,B,B,GEF - 4,FP,Full Size Project,IA Approved,GET,GEF Trust Fund,Ministry of Agriculture,Government,PAS,Child,False,False,False,False,False,False,False,False,False,True,Jaime Cavelier,349360.0,5079.0,,,BD-4;BD-5;,;4;5;,,,,,80000,80000.0,,,,,8000.0,,2647272.0,,2647272.0,264727.0,,264727.0,5500000.0,,7500000.0,22-Apr-09,14-Jun-12,15-Jun-09,24-Jun-09,24-Jun-09,,19-Mar-14,,,,,,,,17-Jun-14,,,30-Mar-12,,30-Mar-17,,,,,,,,,,30-Aug-15,,"AFR,",1,906001224018,MENARID: A Circular Economy Approach to AgrobiodiversityConservation in the Souss-Massa Drâa Region ofMorocco
906001224020,Programmatic,5026,World Bank,World Bank,,Asia,,Jordan,,JO,Multi Focal Area,M,M;B;C;L;,GEF - 5,FP,Full-Sized Project,Under Implmentation,GET,GEF Trust Fund,National Center for Agricultural Research and Extension (NCARE),Government,PAS,Child,False,False,False,False,False,False,False,False,False,False,Mohamed Bakarr,298074.0,,127861.0,,,,BD-2; LD-1; ,,,,0,,,,,,,,3330555.0,,3330555.0,266445.0,,266445.0,11348000.0,,11348000.0,19-Jun-12,,,9-Nov-11,9-Nov-11,,31-Jul-12,,,,,,,,27-Nov-12,,,,28-Mar-13,30-Jun-17,,,,,,,,,,,,"ECA,",1,906001224020,MENA: Badia Ecosystem and Livelihoods Project (BELP)
