GEF ID,List of project's focal areas,GEF Phase,Title,Project start date,Open-Ended Response,TE,PIR,Mid-term evaluation,CEO-endorsed/approved document,Open-Ended Response,Countries,Administrative regions/ counties/ provinces,Municipalities/ cities/ towns,Ecosystems/ ecological units/ sites at intervention level,Response,Please provide the document/s and page number/s where these maps or images can be found.,Response,Please include any notes or comments you may have on the availability of project location information in the documents.,Village/ Site/ Smallest Geographical Unit of Intervention,Ecological Unit Name (if applicable; inc. target biome/ ecosystem if specified),"Type of ecological unit or intervention site (e.g. forest, mountain, wetland, watershed, corridor, protected area; include all available details)",Province/ State/ County/ District (include all available names),Municipality/ City,Country,Specific interventions at site,"Other location details/ comments (e.g. coordinates, WDPA ID)",Village/ Site/ Smallest Geographical Unit of Intervention,Ecological Unit Name (if applicable; inc. target biome/ ecosystem if specified),"Type of ecological unit or intervention site (e.g. forest, mountain, wetland, watershed, corridor, protected area; include all available details)",Province/ State/ County/ District (include all available names),Municipality/ City,Country,Specific interventions at site,"Other location details/ comments (e.g. coordinates, WDPA ID)",Village/ Site/ Smallest Geographical Unit of Intervention,Ecological Unit Name (if applicable; inc. target biome/ ecosystem if specified),"Type of ecological unit or intervention site (e.g. forest, mountain, wetland, watershed, corridor, protected area; include all available details)",Province/ State/ County/ District (include all available names),Municipality/ City,Country,Specific interventions at site,"Other location details/ comments (e.g. coordinates, WDPA ID)",Response,Village/ Site/ Smallest Geographical Unit of Intervention,Ecological Unit Name (if applicable; inc. target biome/ ecosystem if specified),"Type of ecological unit or intervention site (e.g. forest, mountain, wetland, watershed, corridor, protected area; include all available details)",Province/ State/ County/ District (include all available names),Municipality/ City,Country,Specific interventions at site,"Other location details/ comments (e.g. coordinates, WDPA ID)",Village/ Site/ Smallest Geographical Unit of Intervention,Ecological Unit Name (if applicable; inc. target biome/ ecosystem if specified),"Type of ecological unit or intervention site (e.g. forest, mountain, wetland, watershed, corridor, protected area; include all available details)",Province/ State/ County/ District (include all available names),Municipality/ City,Country,Specific interventions at site,"Other location details/ comments (e.g. coordinates, WDPA ID)",Village/ Site/ Smallest Geographical Unit of Intervention,Ecological Unit Name (if applicable; inc. target biome/ ecosystem if specified),"Type of ecological unit or intervention site (e.g. forest, mountain, wetland, watershed, corridor, protected area; include all available details)",Province/ State/ County/ District (include all available names),Municipality/ City,Country,Specific interventions at site,"Other location details/ comments (e.g. coordinates, WDPA ID)",Response,Village/ Site/ Smallest Geographical Unit of Intervention,Ecological Unit Name (if applicable; inc. target biome/ ecosystem if specified),"Type of ecological unit or intervention site (e.g. forest, mountain, wetland, watershed, corridor, protected area; include all available details)",Province/ State/ County/ District (include all available names),Municipality/ City,Country,Specific interventions at site,"Other location details/ comments (e.g. coordinates, WDPA ID)",Village/ Site/ Smallest Geographical Unit of Intervention,Ecological Unit Name (if applicable; inc. target biome/ ecosystem if specified),"Type of ecological unit or intervention site (e.g. forest, mountain, wetland, watershed, corridor, protected area; include all available details)",Province/ State/ County/ District (include all available names),Municipality/ City,Country,Specific interventions at site,"Other location details/ comments (e.g. coordinates, WDPA ID)",Village/ Site/ Smallest Geographical Unit of Intervention,Ecological Unit Name (if applicable; inc. target biome/ ecosystem if specified),"Type of ecological unit or intervention site (e.g. forest, mountain, wetland, watershed, corridor, protected area; include all available details)",Province/ State/ County/ District (include all available names),Municipality/ City,Country,Specific interventions at site,"Other location details/ comments (e.g. coordinates, WDPA ID)",Response
1870,M,GEF - 3,Prevention and Control of Dust and Sandstorms in Northeast Asia,12/11/2002,"(PIR 2006) Nine project sites have been identified. In addition to the four in PRC and the four in Mongolia, one joint  project across the borderline between PRC and Mongolia has been identified as a priority demonstration project",,PIR,,,demonstration project sites--to pilot and disseminate the best practices in addressing the causes of intensified DSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,M,GEF - 3,Environmental Business Finance Program (EBFP),4/23/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2043,M,GEF - 3,Technology Transfer Networks (TTN) Phase II: Prototype Verification and Expansion at the Country Level,10/1/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2057,M,GEF - 3,"Renaturalization and Sustainable Management of Peatlands to Combat Land Degradation, Ensure Conservation of Globally Valuable Biodiversity, and Mitigate Climate Change",12/30/2005,Bartenikha   Dokudovskoe   Galoe   Miranka   Ladovo   Zhada   Grichino- Starobinskoe   Morochno   Osveyskoe   Obol   Bulev Mokh   Osinovskoe 1   Osinovskoe 2   Poplav Mokh   Shcherbinski Mokh   Zhadenovsky Mokh   ,TE,,,,peatland - renaturalization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2095,M;C;I;,GEF - 4,Sustainable Management of the Water Resources of the la Plata Basin with Respect to the Effects of Climate Variability and Change,9/1/2010,"The project will be implemented in the La Plata Basin。    There are four project pilot sites under project component II (Pilot Demonstration Projects and scaling up strategy) (PD,p.38):    1. Pilot demonstration for the Biodiversity Conservation in the Regulated  Parana River. The experience to be gained will contribute to the strengthening of  integrated water resources management capacity in the Parana River basin, at the  confluence of the Parana and Paraguay Rivers and Saltos del Guayrá, where two of the  most important transboundary dams are located: Itaipu and Yacyretá.    2. Pilot demonstration for a Hydrological Alert System at the confluence  of the Paraguay and Parana Rivers. A monitoring and alert system for risk  management (prevention, contingency and rehabilitation) in the metropolitan axis of  Resistencia-Corrientes (Argentina) and Pilar (Paraguay) is envisioned.    3. Pilot demonstration to Resolve Water Use Conflicts in the Río  Cuareim/Quarai Basin.    4.Pilot demonstration to Erosion Control in the Pilcomayo River. This  project engages Bolivia/Argentina/Paraguay. The purpose is to generate local  management experience in reducing mining contamination and soil erosion, and  sedimentation and river system in the Pilcomayo River.",,,,CEO-endorsed/approved document,pilot projects within the project area: integrated water resource management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2364,M;C;I;,GEF - 4,Integrated and Sustainable Management of Transboundary Water Resources in the Amazon River Basin Considering Climate Variability and Climate Change,7/1/2010,"The project is implemented in the Amazon Basin. The Amazon Basin comprises parts of Bolivia, Brazil, Colombia, Ecuador, Guyana, Peru, Suriname, and Venezuela",,,,CEO-endorsed/approved document,Amazon Basin-Integrated Land and Water Management;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2690,M;B;L;,GEF - 4,SFM Improving the Conservation of Biodiversity in  Atlantic Forest of Eastern Paraguay,7/21/2011,"The project area consists of 1,141,652 hectares of land located in 57 districts within 5 of the 15 departments of the Eastern region of Paraguay (see table for the whole UPAF). The majority of the project area is located in Canindeyú department followed by Caaguazú, Alto Paraná, Caazapá and Itapúa. (PD,p.102)",,,,CEO-endorsed/approved document,famers/land owners- sustainable forest management; sustainable land management ; sustainable livelihood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3445,M;B;C;,GEF - 4,SFM: Integrated Community-based Forest and  Catchment Management through an Ecosystem Service Approach (CBFCM),2/26/2012,The project will support work at four pilot catchment sites: Pilot Site 1: Mae Sa Watershed: Northern Thailand / Chiang Mai Province; Pilot Site 2: Tha Chin Watershed – Central Thailand - Nakorn Pathom and Samut Sakorn; Pilot Site 3: Lam Sebai Watershed – North-eastern Thailand – Ubol Ratchathani; Lam Sebai; Pilot Site 4: Koh Phangan – Southern Thailand – Suratthani Province,,,,CEO-endorsed/approved document,project catchment sites- PES; integrated community-based forest management ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3541,M;C;O;,GEF - 4,TT-Pilot (GEF 4): Phase Out HCFCs and Promotion of HFC-free Energy Efficient Refrigeration and Air-Conditioning Systems in the Russian Federation Through Technology Transfer ,2/22/2011,the project was implemented in Russia nationwide without any specific project sites. It aims at achieving the market change for the refrigerating industry. ,,,,CEO-endorsed/approved document,Russia nationwide-Phase-out of HCFCs and promotion of HFC-free energy efficient refrigeration and air-conditioning systems in through technology transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3623,M;B;C;,GEF - 4,Establishment of Incentives for the Conservation of Ecosystem Services of Global Significance,2/18/2011,"The overall intervention area of the project covers 545,000 hectares distributed in four pilot sites located in the Provinces of Chaco, Formosa, Jujuy and Entre Rios. (PD,p.131)    PD, p.149-152    The Chaco pilot site includes the Departments of Almirante Brown and Gral. Güemes. Almirante Brown is made up of three municipalities; its surface area is 17,200 km2 and the population comprises 29,100 inhabitants. Gral. Güemes has a surface area of 25,487 km2 and 62,227 inhabitants and comprises six municipalities.    The pilot site in Formosa province is comprised within the Departments of Pirane and Patiño. The Department of Pirane has a surface area of 8,425 km2 and 64,023 inhabitants, comprising five municipalities while the Department of Patiño has a surface area of 24,502 km2 and 64,830 inhabitants and is made up of 17 municipalities. This area represents 46% of the provincial territory.    The Entre Rios pilot site is located in Aldea Santa Maria-Cerrito    The Jujuy pilot site site is located in the Perico-Manantiales watershed, which includes the localities of El Carmen (34,765 inhabitants and 912 Km2) and San Antonio (3,593 inhabitants and 690 Km2).",,,,CEO-endorsed/approved document,project pilot sites- PES; sustainable land management ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3749,M;B;I;,GEF - 4,Towards Ecosystem Management of the Humboldt Current Large Marine Ecosystem,8/28/2010,"The project will be implemented in the HCLME(Humboldt Current Large Marine Ecosystem)    Under project component 4 (CEO-endorsed project document, p.47-48:     4.1 Two sea mounts in Chile under legal protection through agreed upon management categories    The seamounts that have been selected are: “Bajo O’Higgins” in Central Chile and the Juan Fernandez Archipelago over 500 nm offshore. Bajo O’Higgins is likely to be subjected to the influence of the OMZ system and should, therefore, present special adaptations to low oxygen habitats. Juan Fernandez is outside of the coastal upwelling zone, but possibly linked to the Coastal Transition Zone, which is the region connecting the productivity of the upwelling zone to oceanic regions.    4.2  Management tools developed and implemented for three representative sites of the System of Guano Islands, Isles and Capes and the Paracas National Reserves    System of Guano Islands, Isles and Capes and the Paracas National Reserves  ",,,,CEO-endorsed/approved document,project pilot area- sustainable marine resource management; ecosystem management ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3767,M;B;C;,GEF - 4,SFM Strengthening National Policy and Knowledge Frameworks in Support of Sustainable Management of Brazil's Forest Resources,10/6/2011,"16 States [Paraná (PR), Rio Grande do Sul (RS), Santa Catarina (SC), Rio de Janeiro (RJ), Distrito Federal (DF), Espírito Santo (ES), Bahia (BA), Sergipe (SE), Rio Grande do Norte (RN), Ceará (CE), Amazonas (AM), Pará(PA), Rondônia (RO), Mato Grosso (MT), Pernambuco (PE), Paraíba (PB)) and 1 Municipality (Caçador, in Santa Catarina State) have adopted the NFM&AS and are at different stages in the process while negotiations are well advanced in 5 States [Alagoas (AL), Tocantins (TO), Acre (AC), Amapá (AP), Maranhão (MA)].    Capacity building for the management of the NFM&AS has been developed through the training of 370 persons from 13 states (RS, SC, PR, RJ, ES, BA, SE, RN, CE, PA, RO, MT, DF), able to properly collect, ensure quality control and process forest and land use and cover data.    Quality information on the productive, social and environmental functions of forests and other land uses and cover are being generated in 8 states (PR, RS, RJ, ES, PA, MT, RO, BA) and analysed in 5 states (Santa Catarina, Federal District, Ceará, Sergipe and RN). Six more states (AM, PE, PB, AL, MA, TO) and one municipality (Caçador) are starting  soon to establish a monitoring and information system.",,PIR,,,"municipality-data collection, vegetation mapping;  state-nature forest monitoring and assessment system (NFM&AS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3924,M;B;C;L;I;,GEF - 4,Development Market Place 2009: Adaptation to Climate Change (DM 2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4104,M;B;C;L;,GEF - 4,Sustainable Land Management,,"PIF document, p.5:    Component 2: SINFOSA SLM Pilot Projects.]    The National SLM system (SINFOSA) will be piloted in four globally- and nationally-recognized priority ecosystems including the (a) Central Andean Dry Puna; (b) Central Chile Matorral; (c) Winter Rainfall forest – Valdivian Temperate Rainforest; and (d) Magellanic Patagonian Steppe. Five pilots in these four ecosystems will target the participation of approximately 2,000 beneficiary families and thus support improved land management activities in approximately 100,000 hectares.",,,,CEO-endorsed/approved document,family within the pilot sites- sustainable land management; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4332,M;C;L;M;,GEF - 5,Sustainable Land and Forest Management in the Greater Caucasus Landscape,3/27/2013,"Project area:    PD, p.5     The project area encompasses the region of Azerbaijan known as the Greater Caucasus Mountains, encompassing 11 rayons or districts of northwestern Azerbaijan. It includes two rayon’s in the southeast of this region, ""Ismayilli"" and ""Shamakhi"", which will serve as pilot areas for demonstrating improved pasture and forest management (see the figure to the right).This  covers an area of just over 22,000 km2. Their characteristics include: (i) their forest and pasturelands are representative of forest and pastureland across the GC region, which will facilitate replication; (ii) they are prone to degradation largely from over-grazing, with steep upper catchments and upper river beds and have a history of increasing problems related to erosion; (iii) there are many communities within them, who are users of the pasturelands and forest resources; (iv) the economy of the basins and the human activities associated with them are typical of the region; and (v) they are relatively close to Baku, which makes it more cost-effective to work and demonstrate SLM and SFM in these areas.    The project concentrates on the summer pastures of Ismayilli rayon, winter pastures of Shamakhi rayon and forest lands and river valleys of both rayons.",,,,CEO-endorsed/approved document,communities in the two pilot areas- SFM/SLM/PES/ Integrated Ecosystem Management ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4454,M;B;L;M;,GEF - 5,Integrated Management of the Yallahs River and Hope River Watersheds,,The project will be implemented in Yallahs River and Hope River Watersheds. CEO endorsement document didn't mention more details. ,,,,CEO-endorsed/approved document,communities in SLM pilot project sites within the project area- sustainable land management; sustainable livelihood; Integrated Water Resources Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4468,M;B;C;L;M;,GEF - 5,Landscape Approach to Management of Peatlands Aiming at Multiple Ecological Benefits,9/27/2012,Rewetting:  Mgle pilot site; Yurievo pilot site; Bobrovka pilot site; Nudichi pilot site; Braginskoe pilot site; Moroch pilot site; Pukhovichi-Kopysh pilot site; Cherven-Gorodishche pilot site; Gorodok pilot site   ,,PIR,,CEO-endorsed/approved document,peatland - rewetting; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4479,M;B;C;L;M;,GEF - 5,Sustainable Forest Management and Multiple Global Environmental Benefits,,"Project Area:  PD, p.8:    8. The southeastern region of Guatemala includes the departments of Jalapa (2,063 km2), Jutiapa  (3,216 km2), and Santa Rosa (2,955 km2) (see Figure 1). Project activities in this region (Pilot Region 1) will be implemented in 15 municipalities prioritized by the project. They are Jalapa, Mataquescuintla, Monjas, San Carlos Alzatate, San Luis Jilotepeque, San Manuel Chaparrón, and San Pedro Pinula (department of Jalapa), with an area of 2,029.39 km²; Agua Blanca, Asunción Mita, El Progreso, Jutiapa, Quesada, and Santa Catarina Mita (department of Jutiapa), with an area of 1,450.74 km²; and Casillas y San Rafael Las Flores (department of Santa Rosa), with an area of 289.39 km². The methodology used in determining the prioritized municipalities is presented in Annex 8.5. The departments of Jalapa, Jutiapa, and Santa Rosa include the Ayarza Lagoon watershed and the mid- and upper-parts of the Ostúa River watershed.     The western region consists entirely of the department of Huehuetenango (7,430 km²) (see Figure 1). Five (5) municipalities were prioritized for project intervention: Chiantla, San Juan Ixcoy, San Pedro Soloma, Santa Eulalia, and Todos Santos Cuchumatán, which encompass an area of 1,449 km². The criteria used in determining the prioritized municipalities are presented in Annex 8.5.",,,,CEO-endorsed/approved document,communities within the project area: sustainable forest management; sustainable land management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4543,M;B;C;M;,GEF - 5,The GLOBE Legislator Forest Initiative,7/22/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4579,M;B;L;M;,GEF - 5,Sustainable Financing for Biodiversity Conservation and Natural Resources Management ,,high altitude northern areas (not specified),,,,CEO-endorsed/approved document,protected area - SLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
