"","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","latitude","longitude","udel_precip_v4_01_yearly_max.2002.mean","udel_precip_v4_01_yearly_min.2002.mean","udel_precip_v4_01_yearly_mean.2002.mean","udel_air_temp_v4_01_yearly_max.2002.mean","udel_air_temp_v4_01_yearly_min.2002.mean","udel_air_temp_v4_01_yearly_mean.2002.mean","v4composites_calibrated.2002.mean","ltdr_yearly_ndvi_mean.2002.mean","treatment","iba_statescore","propensity","ML.prop","transOutcome","transProp","tree.pred","GEF_ID","Title"
"63",2721.8181152344,612.5009155273,832.8201530612,3.9253358841,476.6298076923,15.850689888,0,19.6663956633,8.91667,-8.41667,262.5333333333,3.6666666667,113.7527777778,27.3333333333,23,24.925,0,2833.26416016,1,-3,0.882177220622026,0.882177220622026,-3.40067724474306,0.882177220622026,1.0933157282911,1053,"Sustainable Management of Globally Significant Endemic Ruminant Livestock of West Africa"
"64",2389.4619140625,3576.0764160156,372.81875,2.1786201,399.5235849057,4.692193985,0,10.844020446,12.58333,-9.8,286.25,0,73.3625,33.2,23.5,28.1,0,2832.6015625,1,-3,0.785595114897973,0.785595114897973,-3.81876101710436,0.785595114897973,-0.722453047661766,1053,"Sustainable Management of Globally Significant Endemic Ruminant Livestock of West Africa"
"65",2066.4829101563,872.2493286133,18.3360349127,0.3834340274,314.1816037736,47.4836807251,0,5.9158040192,13.63333,-15.08333,181.7,0,54.3875,31.95,26.15,28.9875,0,2368.51635742,1,-3,0.694237215812792,0.694237215812792,-4.32128951267427,0.694237215812792,1.0933157282911,1053,"Sustainable Management of Globally Significant Endemic Ruminant Livestock of West Africa"
"66",1413.3240966797,1720.1444091797,139.4099496222,2.6143255234,208.2712264151,14.417339325,0,23.4236438595,11.75,-13.2,395.6,0,123.85,30.4,25.6,27.6,0.1425178147,3294.01196289,1,-3,0.85306764243292,0.85306764243292,-3.51671995370039,0.85306764243292,-0.722453047661766,1053,"Sustainable Management of Globally Significant Endemic Ruminant Livestock of West Africa"
"67",1888.9642333984,531.700012207,50.48875,0.4732278585,215.8066037736,29.5634975433,0,13.3125604601,12.75,-14.16667,333.2,0,87.825,31.7,24.9,28.1416666667,0,2921.80566406,1,-3,0.766188990305959,0.766188990305959,-3.91548304394458,0.766188990305959,1.0933157282911,1053,"Sustainable Management of Globally Significant Endemic Ruminant Livestock of West Africa"
"68",1872.3533935547,691.5795898438,34.5274314214,0.4393505454,350.5141509434,39.372718811,0,6.667653778,13.58333,-14.58333,211.1333333333,0,56.4694444444,32.5,26.0666666667,28.9944444444,0,2408.68212891,1,-3,0.70599712293285,0.70599712293285,-4.24930910134225,0.70599712293285,1.0933157282911,1053,"Sustainable Management of Globally Significant Endemic Ruminant Livestock of West Africa"
"69",2425.9233398438,3387.0983886719,50.4821763602,0.2212613374,190.9528301887,14.3803701401,0,15.5611304799,13.22561,-14.85773,265.1,0,66.9916666667,31.9,25.7,28.5083333333,0,2635.30371094,1,-3,0.734266570554897,0.734266570554897,-4.08570963231085,0.734266570554897,-0.722453047661766,1053,"Sustainable Management of Globally Significant Endemic Ruminant Livestock of West Africa"
"70",1232.3250732422,1199.1334228516,388.3145925458,1.1195812225,156.1253012048,18.393239975,0,13.5435466141,10.658,-8.615,280.2,0,85.4,29.9,24.4,26.6666666667,0,2844.14306641,1,-3,0.789694800121637,0.789694800121637,-3.79893599342165,0.789694800121637,1.0933157282911,1053,"Sustainable Management of Globally Significant Endemic Ruminant Livestock of West Africa"
"71",2058.7224121094,471.3874816895,465.1848101266,0.9724060893,280.1476190476,13.0094995499,0,33.492836373,10,-10.83333,288.1,0,98.275,28.6,24.6,26.1458333333,0.0503597122,3361.70581055,1,-3,0.881264505963213,0.881264505963213,-3.4041992837565,0.881264505963213,1.0933157282911,1053,"Sustainable Management of Globally Significant Endemic Ruminant Livestock of West Africa"
"72",1866.2506103516,616.8510131836,15.595,0.4725542367,206.7311320755,52.7667236328,0,15.7986582937,12.8,-16.36667,315.5,0,77.4833333333,28.3,25.2,26.95,0,2906.17919922,1,-3,0.724853852685048,0.724853852685048,-4.13876533716034,0.724853852685048,1.0933157282911,1053,"Sustainable Management of Globally Significant Endemic Ruminant Livestock of West Africa"
"73",1088.4144287109,873.2449951172,14.6502186134,0.4408009946,350.2081339713,47.9596443176,0,4.5861352914,13.729,-15.091,176.8,0,51.975,31.5,26,28.85,0,2337.95922852,1,-3,0.681032776081483,0.681032776081483,-4.40507433028607,0.681032776081483,1.0933157282911,1053,"Sustainable Management of Globally Significant Endemic Ruminant Livestock of West Africa"
"74",2015.9991455078,409.3737487793,353.208596713,0.6450050473,468.8218527316,24.7153568268,0,8.3918272801,11.27243,-7.3474,185.4,0,69.0583333333,31.4,25.4,27.8083333333,0,2787.97241211,1,-1,0.802123888940972,0.802123888940972,-1.24669021056121,0.802123888940972,1.0933157282911,1053,"Sustainable Management of Globally Significant Endemic Ruminant Livestock of West Africa"
"75",1434.1669921875,4740.6650390625,205.2798998121,2.2330896854,406.5460992908,5.8453807831,1,9.6570644947,13.159,-10.6803,251.2,0,63.875,35.5,27.1,29.7916666667,0,2534.19506836,1,-3,0.776004877635948,0.776004877635948,-3.86595508154449,0.776004877635948,-0.722453047661766,1053,"Sustainable Management of Globally Significant Endemic Ruminant Livestock of West Africa"
"76",2871.443359375,486.0089111328,495.1259445844,2.5710191727,294.7918660287,12.4037399292,0,15.9631195014,11.545,-10.675,348.65,1.45,108.8375,30.6,24.6,26.7875,0,2890.72851562,1,-3,0.835646224610523,0.835646224610523,-3.59003596455933,0.835646224610523,1.0933157282911,1053,"Sustainable Management of Globally Significant Endemic Ruminant Livestock of West Africa"
"77",2585.4431152344,571.3876342773,333.1168667088,0.6647847295,278.7153110048,17.2309036255,0,9.8885594297,11.06544,-6.62758,185.6,0,71.8,31.8,25.75,28.0666666667,0,2696.17700195,1,-1,0.791548977346334,0.791548977346334,-1.26334570395441,0.791548977346334,1.0933157282911,1053,"Sustainable Management of Globally Significant Endemic Ruminant Livestock of West Africa"
"78",2623.7707519531,1775.8934326172,164.2353312303,1.4183020592,424.1766109785,4.8019337654,0,10.1710498076,12.53965,-12.31061,345.25,0,103.9833333333,33.15,26.65,28.7875,0,2741.58398438,1,-3,0.816555285620909,0.816555285620909,-3.67397046204753,0.816555285620909,-0.722453047661766,1053,"Sustainable Management of Globally Significant Endemic Ruminant Livestock of West Africa"
"79",1878.8618164063,1226.6087646484,18.54375,0.3002413809,108.7441860465,93.729637146,1,16.4325392012,13.21667,-16.51667,221.3,0,67.5333333333,28.5,24.55,26.4708333333,0,2563.86083984,1,-3,0.754609602821796,0.754609602821796,-3.97556562861348,0.754609602821796,1.0933157282911,1053,"Sustainable Management of Globally Significant Endemic Ruminant Livestock of West Africa"
"80",2666.4599609375,658.0588989258,391.1787744788,0.7297365069,512.7751196172,22.0783615112,0,12.2098591684,11.00742,-8.0365,262.825,0,78.25625,31,25.225,27.4875,0,2829.87451172,1,-1,0.807689534520974,0.807689534520974,-1.2380994890482,0.807689534520974,1.0933157282911,1053,"Sustainable Management of Globally Significant Endemic Ruminant Livestock of West Africa"
"81",2599.7536621094,985.0551757813,17.8135910224,0.4593843818,399.0855745721,31.8243618011,1,11.0508895207,13.33333,-16,223.65,0,68.5291666667,28.65,25.1,27.1458333333,0,2423.54833984,1,-3,0.744107018892058,0.744107018892058,-4.03167813746316,0.744107018892058,1.0933157282911,1053,"Sustainable Management of Globally Significant Endemic Ruminant Livestock of West Africa"
"82",NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,439.042755127,1,-1,NA,NA,NA,NA,-0.722453047661766,2718,"Development Marketplace"
"96",1812.8353271484,256.472076416,1412.2178217822,5.0635786057,188.9042056075,137.4710845947,0,73.0509084402,15.5,-90.25,424.5,85.3,235.8916666667,22.8,19.1,21.1375,2.2494172494,2559.99707031,1,0,0.93562855139151,0.93562855139151,0,0.93562855139151,1.0933157282911,2714,"National Reporting to the CBD: Supporting Countries to Prepare the Third National Report on Biodiversity, Phase I"
"100",2719.8212890625,432.4228820801,196.1225,2.7391262054,178.6627358491,10.664270401,1,38.592085783,13,-85,329.55,18.225,150.58125,27.825,25.85,26.8416666667,0,2831.84912109,1,-2,0.904912567679413,0.904912567679413,-2.21015827543302,0.904912567679413,1.0933157282911,2714,"National Reporting to the CBD: Supporting Countries to Prepare the Third National Report on Biodiversity, Phase I"
"103",1623.9538574219,1496.3851318359,617.7265964042,1.5002809763,140.1807511737,25.0164985657,0,8.2186855658,-15.58071,-49.63623,343.85,1.85,133.6875,26.85,22.2,24.1458333333,1.0680751174,3087.99609375,1,0,0.914498818359997,0.914498818359997,0,0.914498818359997,1.0933157282911,2641,"Sustainable Cerrado Initiative"
"104",2776.0151367188,14040.126953125,489.5455696203,4.0157327652,849.2714285714,1.6010314226,0,39.038453226,-10.5,-48,570.725,0,137.24375,29.5,26.05,27.9229166667,0,3422.92089844,1,0,0.915472246257386,0.915472246257386,0,0.915472246257386,-0.722453047661766,2641,"Sustainable Cerrado Initiative"
"106",2725.9963378906,4630.9975585938,288.1024096386,1.5033533573,138.7087155963,4.1061825752,0,23.3345916502,-20.5,-55,201.4,0,61.8104166667,29.575,22.75,26.8083333333,0,3139.00244141,1,0,0.87183305995695,0.87183305995695,0,0.87183305995695,-0.722453047661766,2641,"Sustainable Cerrado Initiative"
"109",2594.3972167969,4302.6020507813,248.7640931373,0.9290698171,310.2731481481,9.2027301788,0,89.9656071053,-17,-65,546.275,112.1,277.4479166667,30.525,23.075,28.0083333333,0,3272.83007812,1,0,0.937431788349155,0.937431788349155,0,0.937431788349155,-0.722453047661766,1025,"In Situ/On Farm Conservation and Use of Agricultural Biodiversity (Horticultural Crops and Wild Fruit Species) in Central Asia"
"113",1856.6192626953,6651.1982421875,197.8146341463,0.4054962099,216.7415730337,0.7817876339,0,0,41.66667,63.83333,51.3,0,9.8166666667,31.8,-5,15.9333333333,0,1009.09204102,1,0,0.819673663336932,0.819673663336932,0,0.819673663336932,-0.722453047661766,1025,"In Situ/On Farm Conservation and Use of Agricultural Biodiversity (Horticultural Crops and Wild Fruit Species) in Central Asia"
"114",2477.2856445313,376.7558288574,21.1748251748,0.5770047307,317.7012987013,10.3197803497,0,4.0907777353,7.62799,-79.99815,285.7,0,107.0333333333,29.6,27.3,28.2666666667,0.3855421687,1113.16137695,1,-2,0.775170916060717,0.775170916060717,-2.58007615941482,0.775170916060717,1.0933157282911,2102,"Second Rural Poverty, Natural Resources Management and Consolidation of the Mesoamerican Biological Corridor Project"
"117",765764.875,111.111114502,22.1666666667,1.0863748789,216.0864197531,12.4277801514,1,18.8763510696,9.30844,-82.14416,493,116.5,221.6583333333,27.5,26.3,26.9583333333,0.1217183771,1210.21166992,1,-1,0.452731896789387,0.452731896789387,-2.20881278101155,0.452731896789387,1.0933157282911,2102,"Second Rural Poverty, Natural Resources Management and Consolidation of the Mesoamerican Biological Corridor Project"
"119",1520.4422607422,1378.7149658203,444.3399234694,8.2661123276,249.3942307692,28.9266853333,0,66.3200130457,8.36667,-81.76667,549.6,14,241.325,28.2,25.7,26.65,0,2647.66040039,1,-1,0.97305914036432,0.97305914036432,-1.02768676488214,0.97305914036432,1.0933157282911,2102,"Second Rural Poverty, Natural Resources Management and Consolidation of the Mesoamerican Biological Corridor Project"
"120",97897.546875,838.27734375,67.522848034,2.6127257347,354.9637096774,9.3072137833,0,19.5205137146,7.40769,-80.3208,NA,NA,NA,NA,NA,NA,0,1721.82397461,1,-2,NA,NA,NA,NA,1.0933157282911,2102,"Second Rural Poverty, Natural Resources Management and Consolidation of the Mesoamerican Biological Corridor Project"
"122",3478.3645019531,1264.4731445313,1959.0711111111,11.474158287,265.1606714628,47.4378471375,2,73.8074788367,8.80917,-82.54148,449.85,90.3,269.4375,21.8,19.95,20.7958333333,2.6214285714,1806.0625,1,-2,0.950529804677151,0.950529804677151,-2.10408972991573,0.950529804677151,1.0933157282911,2102,"Second Rural Poverty, Natural Resources Management and Consolidation of the Mesoamerican Biological Corridor Project"
"124",1714.6077880859,1057.3449707031,53.825255102,1.7548379898,136.15625,109.0587463379,1,56.7505026495,9.16667,-80,391.9,21.8,206.9166666667,28.2,26.7,27.3916666667,0.9448441247,2250.18481445,1,-2,0.952019193668339,0.952019193668339,-2.10079798107175,0.952019193668339,1.0933157282911,2102,"Second Rural Poverty, Natural Resources Management and Consolidation of the Mesoamerican Biological Corridor Project"
"127",1721.7150878906,488.6860046387,153.431122449,2.5001277924,228.2884615385,27.4073104858,0,40.0967170527,8.25,-81.13333,373.7,11,161.1666666667,29.4,26.3,27.4416666667,0.2038369305,2897.31567383,1,-2,0.930966309122042,0.930966309122042,-2.14830545466906,0.930966309122042,1.0933157282911,2102,"Second Rural Poverty, Natural Resources Management and Consolidation of the Mesoamerican Biological Corridor Project"
"129",2719.8212890625,432.4228820801,196.1225,2.7391262054,178.6627358491,10.664270401,1,38.592085783,13,-85,329.55,18.225,150.58125,27.825,25.85,26.8416666667,0,2831.84912109,1,-2,0.904912567679413,0.904912567679413,-2.21015827543302,0.904912567679413,1.0933157282911,2099,"Corazon Transboundary Biosphere Reserve"
"131",1814.8499755859,965.4517822266,17.0163934426,0.7317202091,206.1020408163,6.8147349358,0,0.9842342342,-34.39486,-53.73048,NA,NA,NA,NA,NA,NA,0.0306748466,740.144958496,1,0,NA,NA,NA,NA,1.0933157282911,3410,"Piloting of an Ecosystem-based Approach to Uruguayan Coastal Fisheries"
"132",2258.9709472656,666.2206420898,20.7857142857,0.6731081009,26.7826086957,28.7954406738,0,0.4848447113,-35.02641,-54.88398,363.4,49.1,126.65,21.3,10.2,16.35,8.0120724346,637.737182617,1,-1,0.846532342399955,0.846532342399955,-1.18128977466467,0.846532342399955,1.0933157282911,3410,"Piloting of an Ecosystem-based Approach to Uruguayan Coastal Fisheries"
"135",2150.2277832031,1350.5280761719,21.7259259259,0.6511758566,97.5017301038,20.9818458557,1,3.8618989101,-34.77701,-54.56291,363.4,49.1,126.65,21.3,10.2,16.35,0.4215885947,2051.07910156,1,-1,0.863753345583688,0.863753345583688,-1.15773791802131,0.863753345583688,1.0933157282911,3410,"Piloting of an Ecosystem-based Approach to Uruguayan Coastal Fisheries"
"138",1488.8728027344,2526.2395019531,7.3737129013,0.3573108912,173.8537735849,6.8147339821,1,5.8681679122,-34.3500132476,-53.8666168445,NA,NA,NA,NA,NA,NA,0.1390593047,2109.63696289,1,0,NA,NA,NA,NA,-0.722453047661766,3410,"Piloting of an Ecosystem-based Approach to Uruguayan Coastal Fisheries"
"140",1953.4614257813,1330.5710449219,12.7230769231,0.5188728571,204.1262135922,6.8147349358,1,2.3287958582,-34.34981,-53.74065,NA,NA,NA,NA,NA,NA,0.2799188641,995.764831543,1,0,NA,NA,NA,NA,1.0933157282911,3410,"Piloting of an Ecosystem-based Approach to Uruguayan Coastal Fisheries"
"141",NA,NA,NA,NA,NA,NA,0,0,-34.95,-53.48333,NA,NA,NA,NA,NA,NA,0,509.93661499,1,0,NA,NA,NA,NA,-0.722453047661766,3410,"Piloting of an Ecosystem-based Approach to Uruguayan Coastal Fisheries"
"142",1669.5793457031,1251.5385742188,15.5688622754,0.6451260448,203.2441860465,6.8147344589,0,2.3101858878,-34.40503,-53.75679,NA,NA,NA,NA,NA,NA,0.0304878049,768.845031738,1,0,NA,NA,NA,NA,1.0933157282911,3410,"Piloting of an Ecosystem-based Approach to Uruguayan Coastal Fisheries"
"146",3428.5310058594,1358.5034179688,15.4794303797,0.5522981882,215.8045977012,6.8147344589,1,5.0716167475,-33.9372,-53.48878,424.3,43,155.5916666667,22.3,11,17.0416666667,1.2252066116,1364.78186035,1,0,0.899044792707632,0.899044792707632,0,0.899044792707632,1.0933157282911,3410,"Piloting of an Ecosystem-based Approach to Uruguayan Coastal Fisheries"
"147",NA,NA,NA,NA,NA,NA,0,0,-34.95,-53.48333,NA,NA,NA,NA,NA,NA,0,509.93661499,1,0,NA,NA,NA,NA,-0.722453047661766,3410,"Piloting of an Ecosystem-based Approach to Uruguayan Coastal Fisheries"
"149",2007.2369384766,1125.9636230469,1313.9348458406,1.9357315302,239.5243362832,69.4230880737,0,5.8507987715,-25.4812,25.96508,134.725,3.875,43.8416666667,24.1,11.2,19.3541666667,2.6703296703,2528.07470703,1,-2,0.856504182104975,0.856504182104975,-2.33507324515886,0.856504182104975,1.0933157282911,1242,"Desert Margin Programme, Phase 1"
"150",1558.3824462891,2310.6525878906,410.6602244389,0.293939352,200.6886792453,89.3660049438,0,0,14.1,7.6,164.9,0,33.9833333333,34.4,20.5,28.375,0,1577.69995117,1,0,0.601587797293786,0.601587797293786,0,0.601587797293786,-0.722453047661766,1242,"Desert Margin Programme, Phase 1"
"152",2241.3017578125,2134.69140625,273.3789209536,0.337228626,432.7853773585,13.4778013229,0,0.9565557525,12.48333,1.51667,176.525,0,57.1354166667,34,24.425,29.0375,0,2337.140625,1,-2,0.729597188544146,0.729597188544146,-2.74123863332155,0.729597188544146,-0.722453047661766,1242,"Desert Margin Programme, Phase 1"
"153",1560.5607910156,2336.728515625,622.6980166347,0.7887271643,597.6038647343,151.1986846924,0,0.0336405519,3.71363,34.8572,113.6,11.6,49.5583333333,30.3,27.1,28.2416666667,0.2888349515,1372.61315918,1,-2,0.59581589088092,0.59581589088092,-3.35674162205204,0.59581589088092,-0.722453047661766,1242,"Desert Margin Programme, Phase 1"
"155",2635.8459472656,927.6491088867,1420.4825783972,0.4022527933,238.1818181818,67.1136245728,0,3.2793068612,-25.95559,25.80782,141.5,3.75,48.45,23.6,10.95,19.1791666667,2.3793859649,2129.99511719,1,-2,0.840821564251528,0.840821564251528,-2.37862595945709,0.840821564251528,1.0933157282911,1242,"Desert Margin Programme, Phase 1"
"156",2225.5788574219,1911.7581787109,301.3474470735,0.3154999018,128.3849765258,39.0776023865,0,0.0745501164,14.083,-2.45,176.3666666667,0,42.8861111111,34.2666666667,24.2666666667,29.4972222222,0,1498.21447754,1,-3,0.58209677356889,0.58209677356889,-5.15378221666943,0.58209677356889,-0.722453047661766,1242,"Desert Margin Programme, Phase 1"
"157",2107.2021484375,1430.833984375,919.5949074074,0.3741714954,1201.6238938053,0.3779059947,0,0,-26.45555,20.36737,41.2,0,13.3291666667,28.75,12.4,22.2625,0,1991.19628906,1,-3,0.883029146256113,0.883029146256113,-3.39739635177329,0.883029146256113,1.0933157282911,1242,"Desert Margin Programme, Phase 1"
"159",1981.033203125,3230.9272460938,1138.7557386698,0.1852822602,462.0957683742,0.3171086013,0,0,-23.9988,21.77962,66.25,0.4,21.0166666667,29.6,16.55,24.3958333333,1.2745535714,2024.06396484,1,-3,0.793991361354569,0.793991361354569,-3.7783786398909,0.793991361354569,-0.722453047661766,1242,"Desert Margin Programme, Phase 1"
"160",1566.1481933594,2332.7824707031,246.4509068168,0.4373246431,147.6563981043,30.7343864441,0,0.0054630779,13.3106,2.576,162.75,0,45.3375,35.55,23.75,29.6833333333,0,1656.20678711,1,-2,0.634553786037809,0.634553786037809,-3.15182108121695,0.634553786037809,-0.722453047661766,1242,"Desert Margin Programme, Phase 1"
"169",1922.2536621094,715.1856079102,1270.7616009281,0.4935452044,201.2699115044,388.0979919434,0,0.5794625711,-25.88333,25.56667,129.7,2.95,44.2625,24.6,11.9,20.1708333333,17.6296296296,2048.77514648,1,-3,0.887962725366986,0.887962725366986,-3.37852019493288,0.887962725366986,1.0933157282911,1242,"Desert Margin Programme, Phase 1"
"171",2038.0023193359,4032.0815429688,303.2902423866,0.3548130393,510.4319248826,17.8380680084,4,0.0342680085,14.6844520784,-0.4502181543,150.15,0,40.0833333333,35.8,23.4,30.05,0,1482.45996094,1,-1,0.690245470546606,0.690245470546606,-1.44875995956641,0.690245470546606,-0.722453047661766,1242,"Desert Margin Programme, Phase 1"
"172",1964.1822509766,2019.0819091797,50.3125,0.101266861,291.3995327103,12.8586606979,0,0.4217925064,14.5,-14.25,168.7,0,43.6125,33.35,26.1,29.6041666667,0,2073.81884766,1,-3,0.636246199984728,0.636246199984728,-4.71515586273365,0.636246199984728,-0.722453047661766,1242,"Desert Margin Programme, Phase 1"
"173",2211.6677246094,658.6313476563,1083.4722938144,2.9056377411,232.8024096386,94.6688995361,0,10.5286643639,-0.69609,37.68612,313.7,0,78.9666666667,24.6,22,23.2416666667,0,2985.54101562,1,-2,0.742896950742736,0.742896950742736,-2.692163425897,0.742896950742736,1.0933157282911,1242,"Desert Margin Programme, Phase 1"
