"project_id","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","ad_purpose_codes","ad_purpose_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements"
"906001152887","1","PRC-GEF Partnership: Mainstreaming Biodiversity Protection within the Production Landscapes and Protected Areas of the Lake Aibi Basin","2011-01-09","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","China","CHN","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2011","2011","2936359.15146","2936359.15146"
"906001152889","1","Caatinga Conservation and Sustainable Management Project","2007-01-25","start_actual","2012-01-31","end_actual","Global Environment Facility (GEF)","DAC","Brazil","BRA","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2007","2012","10755001.0755","10755001.0755"
"906001152891","1","CACILM: Central Asia Countries Initiative for Land Management (CACILM) Multicountry Partnership Framework Support Project-under CACILM Partnership Framework, Phase 1","2006-01-24","start_actual","2010-01-30","end_actual","Global Environment Facility (GEF)","DAC","Central Asia, Regional Programs Multi-Country","Unspecified","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2006","2010","3503996.29329","3503996.29329"
"906001152893","1","Sustainable Management of Arid and Semi-arid Ecosystems to Combat Desertification in Patagonia (resubmission)","2007-01-31","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Argentina","ARG","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2007","2007","5575355.99054","5575355.99054"
"906001152895","1","SIP: Agricultural and Rural Rehabilitation and Development Initiative (ARRDI)","2011-01-06","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Niger","NGA","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2011","2011","4144055.25407","4144055.25407"
"906001152897","1","SIP: Sustainable Land Management in Ghana","2010-01-09","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Ghana","GHA","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2010","2010","7491617.77033","7491617.77033"
"906001152899","1","LDC/SIDS Portfolio Project: Capacity Building for Sustainable Land Management","","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Mauritius","MUS","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation"," "," ","",""
"906001152901","1","Sustainable Land Management in Drought Prone  Areas of Nicaragua","2005-01-01","start_actual","2012-01-01","end_actual","Global Environment Facility (GEF)","DAC","Nicaragua","NIC","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2005","2012","3553660.27008","3553660.27008"
"906001152903","1","Sharing Knowledge on the Use of Biochar for Sustainable Land Management","","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Global","Unspecified","410","General environmental protection","41000","General environmental protection, combination of purposes","Pipeline/identification","2014","2014","1826484.0","1826484.0"
"906001152905","1","SIP: Participatory Enviornmental Protection and Poverty Reduction in the Oases of Mauritania","2011-01-07","start_actual","2014-01-05","end_actual","Global Environment Facility (GEF)","DAC","Mauritania","MRT","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2011","2014","4134188.45585","4134188.45585"
"906001152907","1","CACILM: Central Asian Countries Initiative for Land Management Multi-country Partnership Framework Phase 1","","start_actual","2007-01-30","end_actual","Global Environment Facility (GEF)","DAC","Central Asia, Regional Programs Multi-Country","Unspecified","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2006","2007","202294.683192","202294.683192"
"906001152909","1","SFM Sustainable Forest Management in the Transboundary Gran Chaco American Ecosystem","2010-01-01","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","South America Multi-Country","Unspecified","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2010","2010","7191571.66806","7239198.44929"
"906001152911","1","Sustainable Land Management for Combating  Desertification (Phase I)","2008-01-22","start_actual","2011-01-30","end_actual","Global Environment Facility (GEF)","DAC","Pakistan","PAK","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2008","2011","2048340.84392","2048340.84392"
"906001152913","1","SIP: Sustainable Land Management in Senegal","2010-01-05","start_actual","2012-01-31","end_actual","Global Environment Facility (GEF)","DAC","Senegal","SEN","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2010","2012","5029337.80386","5029337.80386"
"906001152915","1","LDC/SIDS Portfolio Project: Capacity Building for Sustainable Land Management in the Dominican Republic","2006-01-24","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Dominican Republic","DOM","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2006","2006","",""
"906001152917","1","Sustainable Environmental Management for Sixaola River Basin","2008-01-09","start_actual","2014-01-09","end_actual","Global Environment Facility (GEF)","DAC","North & Central America, regional Multi-Country","Unspecified","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2008","2014","3584596.47685","3584596.47685"
"906001152919","1","Sustainable Agro-Pastoral and Land Management Promotion under the National Community Development Program Support Program (PNDP)","2006-01-01","start_actual","2012-01-01","end_actual","Global Environment Facility (GEF)","DAC","Cameroon","CMR","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2006","2012","6950075.29248","6950075.29248"
"906001152921","1","CACILM: Southern Agriculture Area Development Project--under CACILM Partnership Framework, Phase 1","","start_actual","2009-01-27","end_actual","Global Environment Facility (GEF)","DAC","Kyrgyz Republic","KGZ","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2008","2009","2560426.0549","2560426.0549"
"906001152923","1","MENARID: Mainstreaming Sustainable Land and Water Management Practices","2010-01-06","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Jordan","JOR","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2010","2010","6752933.78039","6752933.78039"
"906001152925","1","Conservation of Biodiversity and Mitigation of  Land Degradation Through Adaptive Management of Agricultural Heritage Systems","","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Morocco","MAR","410","General environmental protection","41000","General environmental protection, combination of purposes","Pipeline/identification","2015","2015","860459.257608","860459.257608"
"906001152927","1","MENARID: Second Natural Resources Management Project","2010-01-07","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Tunisia","TUN","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2010","2010","10190695.7251","10190695.7251"
"906001152929","1","Capacity Building for Sustainable Land Management (SLM) in Bulgaria","2005-01-22","start_actual","2008-01-31","end_actual","Global Environment Facility (GEF)","DAC","Bulgaria","BGR","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2005","2008","1158614.07249",""
"906001152931","1","SFM Rehabilitation of Forest Landscapes and Degraded Land with Particular Attention to Saline Soils and Areas Prone to Wind Erosion","2011-01-01","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Iran","IRN","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2011","2011","2632757.7701","2632757.7701"
"906001152933","1","Building Sustainable Capacity and Ownership to Implement UNCCD Objectives in Latvia","2005-01-01","start_actual","2008-01-11","end_actual","Global Environment Facility (GEF)","DAC","Latvia","LVA","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2005","2008","855858.801232",""
"906001152935","1","CACILM: Partnership Framework - Land Improvement Project","2008-01-21","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Uzbekistan","UZB","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2008","2008","3072511.26587","3072511.26587"
"906001152937","1","CACILM: Demonstrating Sustainable Mountain Pasture Management in Susamyr in Kyrgyzstan-under CACILM Patnership Framework Phase I","2007-01-03","start_actual","2013-01-01","end_actual","Global Environment Facility (GEF)","DAC","Kyrgyz Republic","KGZ","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2007","2013","1021725.10217","1021725.10217"
"906001152939","1","SFM Rehabilitation and Sustainable Use of Peatland Forests in South-East Asia","2010-01-01","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Asia, Regional Programs Multi-Country","Unspecified","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2010","2010","4728776.19447","4504572.50629"
"906001152941","1","Rehabilitation of Degraded Agricultural Lands in Kandy, Badulla and Nuwara Eliya Districts in the Central Highlands (CH)","","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Sri Lanka","LKA","410","General environmental protection","41000","General environmental protection, combination of purposes","Pipeline/identification","2015","2015","1498893.09999","1498893.09999"
"906001152943","1","Implementation of SLM Practices to Address Land Degradation and Mitigate Effects of Drought","","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Philippines","PHL","410","General environmental protection","41000","General environmental protection, combination of purposes","Pipeline/identification","2015","2015","970794.78319","970794.78319"
"906001152945","1","SIP: Community-Based Integrated Natural Resources Management in Lake Tana Watershed","2011-01-08","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Ethiopia","ETH","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2011","2011","4341391.21855","4341391.21855"
"906001152947","1","CACILM: Capacity Building and on-the-ground Investments for Integrated and Sustainable Land Management - under CACILM Partnership Framework, Phase 1","2007-01-03","start_actual","2010-01-30","end_actual","Global Environment Facility (GEF)","DAC","Turkmenistan","TKM","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2007","2010","1048612.60486","1048612.60486"
"906001152949","1","Securing Tenure Rights for Forest Landscape Dependent Communities: Linking Science with Policy to Advance Tenure Security, Sustainable Forest Management and People's Livelihoods  ","","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Global","Unspecified","410","General environmental protection","41000","General environmental protection, combination of purposes","Pipeline/identification","2014","2014","2000000.0","2000000.0"
"906001152951","1","Zambezi Valley Market Led Smallholder Development","2007-01-21","start_actual","2013-01-30","end_actual","Global Environment Facility (GEF)","DAC","Mozambique","MOZ","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2007","2013","6668100.66681","6668100.66681"
"906001152953","1","CBSP - A Regional Focus on Sustainable Timber Management in the Congo Basin","2011-01-19","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Global","Unspecified","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2011","2011","3034712.38283","3034712.38283"
"906001152955","1","Mindanao Rural Development Program Phase II - Natural Resource Management Project","2009-01-16","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Philippines","PHL","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2009","2009","6864602.60345","6721346.1742"
"906001152957","1","Sustainable Land Management of Lake Nyasa Catchment in Tanzania","","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Tanzania","TZA","410","General environmental protection","41000","General environmental protection, combination of purposes","Pipeline/identification","2016","2016","1447976.81418","1447976.81418"
"906001152959","1","SFM Safeguarding and Restoring Lebanon's Woodland Resources","2008-01-16","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Lebanon","LBN","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2008","2008","1003687.01352",""
"906001152961","1","Building the Foundation for Forest Landscape Restoration at Scale","","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Global","Unspecified","410","General environmental protection","41000","General environmental protection, combination of purposes","Pipeline/identification","2015","2015","2117935.57017","2117935.57017"
"906001152963","1","Mainstreaming Sustainable Management of Tea Production Landscapes","","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Global","Unspecified","410","General environmental protection","41000","General environmental protection, combination of purposes","Pipeline/identification","2014","2014","1999601.0","1999601.0"
"906001152965","1","LDC/SIDS Portfolio Project: Capacity Building for Sustainable Land Management","2007-01-17","start_actual","2011-01-01","end_actual","Global Environment Facility (GEF)","DAC","Haiti","HTI","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2007","2011","",""
"906001152967","1","LDC/SIDS Portfolio Project: Capacitiy Building in and Mainstreaming of Sustainable Land Management in East Timor","2007-01-20","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Timor-Leste","TLS","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2007","2007","",""
"906001152969","1","LDC/SIDS Portfolio Project: Capacity Building for Sustainable Land Management in Samoa","2007-01-09","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Samoa","WSM","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2007","2007","",""
"906001152971","1","LDC/SIDS Portfolio Project: Capacity Building for Sustainable Land Management in Niue","2007-01-28","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Niue","NIU","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2007","2007","",""
"906001152973","1","LDC/SIDS Portfolio Project: Legal and Institutional Capacity Building to Combat Land Degradation and Deforestation in Democratic Republic of Congo","2007-01-14","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Congo, Democratic Republic of","COD","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2007","2007","",""
"906001152975","1","LDC/SIDS Portfolio Project: Capacity Building for Sustainable Land Management in Republic Central Africa","2008-01-13","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Central African Republic","CAF","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2008","2008","",""
"906001152977","1","Sustainable Land Management in the High Pamir and Pamir-Alai Mountains - and Integrated and Transboundary Initiative in Central Asia Phase I","2007-01-01","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Central Asia, Regional Programs Multi-Country","Unspecified","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2007","2007","3226500.32265","3226500.32265"
"906001152979","1","Support to the Implementation of the Regional Environmental Action Plan in Central Asia","2005-01-01","start_actual","2010-01-01","end_actual","Global Environment Facility (GEF)","DAC","Central Asia, Regional Programs Multi-Country","Unspecified","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2005","2010","1154939.58778",""
"906001152981","1","CACILM: Achieving Ecosystem Stability on the Exposed Aral Seabed and the Kyzylkum Desert, Uzbekistan - under CACILM Partnership Framework, Phase 1","2007-01-17","start_actual","2012-01-01","end_actual","Global Environment Facility (GEF)","DAC","Uzbekistan","UZB","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2007","2012","1022111.20671","1022111.20671"
"906001152983","1","Disaster Hazard Mitigation Project (DHMP)","2005-01-12","start_actual","2011-01-31","end_actual","Global Environment Facility (GEF)","DAC","Kyrgyz Republic","KGZ","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2005","2011","1184553.42336",""
"906001152985","1","CACILM: Demonstrating Local Responses to Combating Land Degradation and Improving Sustainable Land Management in SW Tajikistan-under CACILM Partnership Framework, Phase 1","2007-01-15","start_actual","2011-01-29","end_actual","Global Environment Facility (GEF)","DAC","Tajikistan","TJK","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2007","2011","1048612.60486","1048612.60486"
"906001152987","1","CACILM: Rangeland Ecosystem Management-under CACILM Partnership Framework, Phase 1","2008-01-21","start_actual","2011-01-31","end_actual","Global Environment Facility (GEF)","DAC","Kazakhstan","KAZ","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2008","2011","972961.90086","972961.90086"
"906001152989","1","CACILM: Rural Development Project under CACILM Partnership Framework, Phase I","2009-01-08","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Tajikistan","TJK","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2009","2009","3704095.6715","3704095.6715"
"906001152991","1","Capacity Building and On-the-Ground Investments for Integrated and Sustainable Land Management","2007-01-12","start_actual","2011-01-31","end_actual","Global Environment Facility (GEF)","DAC","Turkmenistan","TKM","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2007","2011","26887.5026888",""
"906001152993","1","Sustainable Land Management","2006-01-17","start_actual","2014-01-22","end_actual","Global Environment Facility (GEF)","DAC","Bhutan","BTN","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2006","2014","8871771.11085","8877562.84026"
"906001152995","1","Promoting Sustainable Land Management in Las Bambas","2010-01-06","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Peru","PER","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2010","2010","4191114.83655","4191114.83655"
"906001152997","1","Establishing National Land Use and Land Degradation Profile toward Mainstreaming Sustainable Land Management Practices in Sector Policies – ENALULDEP/SLM","","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Bangladesh","BGD","410","General environmental protection","41000","General environmental protection, combination of purposes","Pipeline/identification","2016","2016","814395.27366","814395.27366"
"906001152999","1","SFM Sustainable Land Management of the Upper Watersheds of South Western Haiti","2009-01-05","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Haiti","HTI","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2009","2009","3636748.86231","3636748.86231"
"906001153001","1","CPP Namibia: Sustainable Land Management Support and Adaptive Management Project (NAM SLM SAM)","2007-01-01","start_actual","2012-01-01","end_actual","Global Environment Facility (GEF)","DAC","Namibia","Unspecified","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2007","2012","7528500.75285","7528500.75285"
"906001153003","1","CPP Namibia: Enhancing Institutional and Human Resource Capacity Through Local Level Coordination of Integrated Rangeland Management and Support (CALLC)","2007-01-18","start_actual","2011-01-31","end_actual","Global Environment Facility (GEF)","DAC","Namibia","Unspecified","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2007","2011","1075500.10755","1075500.10755"
"906001153005","1","LDC/SIDS Portfolio Project: Capacity Development for Sustainable Land Management in Seychelles","2007-01-21","start_actual","2012-01-31","end_actual","Global Environment Facility (GEF)","DAC","Seychelles","SYC","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2007","2012","",""
"906001153007","1","SIP: Sustainable Land Management Pilot Project","2009-01-31","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Eritrea","ERI","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2009","2009","1926129.74918","1926129.74918"
"906001153009","1","LDC/SIDS Portfolio Project: Sustainable Land Management in Comoros","2007-01-05","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Comoros","COM","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2007","2007","",""
"906001153011","1","SIP: Catchments and Landscape Management","2010-01-24","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Eritrea","ERI","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2010","2010","4557837.38474","4557837.38474"
"906001153013","1","SIP: Country Program for Sustainable Land Management (ECPSLM)","2008-01-10","start_actual","2013-01-30","end_actual","Global Environment Facility (GEF)","DAC","Ethiopia","ETH","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2008","2013","9217533.79762","9217533.79762"
"906001153015","1","SIP: Participatory Integrated Watershed Management Project (PIWAMP)","2011-01-24","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Gambia","GMB","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2011","2011","4341391.21855","4341391.21855"
"906001153017","1","Sustainable Land Management for Mitigating Land Degradation, Enhancing Agricultural Biodiversity and Reducing Poverty (SLaM)","2005-01-03","start_actual","2010-01-31","end_actual","Global Environment Facility (GEF)","DAC","Ghana","GHA","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2005","2010","1119402.98507",""
"906001153019","1","Agricultural Productivity and Sustainable Land Management","2010-01-18","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Kenya","KEN","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2010","2010","10477787.0914","10477787.0914"
"906001153021","1","SIP: Capacity Building and Knowledge Management for Sustainable Land Management ","2009-01-04","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Lesotho","LSO","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2009","2009","1893322.04466","1825060.853"
"906001153023","1","SIP: Stabilizing Rural Populations through Improved Systems for SLM and Local Governance of Lands in Southern Madagascar","2010-01-05","start_actual","2013-01-31","end_actual","Global Environment Facility (GEF)","DAC","Madagascar","MDG","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2010","2013","953478.625314","951121.123219"
"906001153025","1","SIP: Watershed Management","2011-01-26","start_actual","2014-01-30","end_actual","Global Environment Facility (GEF)","DAC","Madagascar","MDG","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2011","2014","5821410.95215","5821410.95215"
"906001153027","1","SIP: Private Public Sector Partnership on Capacity Building for SLM in the Shire River Basin","2010-01-10","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Malawi","MWI","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2010","2010","2171982.39732","2171982.39732"
"906001153029","1","SIP: Agriculture Sector Development Programme -Support to SLM (ADP-SLM)","2009-01-14","start_actual","2013-01-15","end_actual","Global Environment Facility (GEF)","DAC","Malawi","MWI","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2009","2013","5926553.0744","6138215.6842"
"906001153031","1","SIP: Fostering Agricultural Productivity in Mali","2010-01-19","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Mali","MLI","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2010","2010","8487007.54401","8487007.54401"
"906001153033","1","Community-based Watershed Management Project","2007-01-26","start_actual","2011-01-30","end_actual","Global Environment Facility (GEF)","DAC","Mauritania","MRT","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2007","2011","6453000.6453","6453000.6453"
"906001153035","1","SIP: Community Driven SLM for Environmental and Food Security","2008-01-24","start_actual","2013-01-30","end_actual","Global Environment Facility (GEF)","DAC","Niger","NGA","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2008","2013","4608766.89881","4782875.87054"
"906001153037","1","SIP: Oasis Micro-Basin Sand Invasion Control in the Goure and Maine Regions (PLECO)","2010-01-07","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Niger","NGA","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2010","2010","2116512.99246","2116512.99246"
"906001153039","1","Sustainable Co-Management of the Natural Resources of the Air-Tenere Complex","2006-01-22","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Niger","NGA","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2006","2006","4633383.52832","4633383.52832"
"906001153041","1","National Fadama Development Program II (NFDP II): Critical Ecosystem Management","2006-01-26","start_actual","2011-01-31","end_actual","Global Environment Facility (GEF)","DAC","Nigeria","NGA","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2006","2011","11606625.7384","11618209.1973"
