Project #,,Title,"National,Regional,Global?",Country,Sub region,PA Name,WDPA ID,Other WDPA IDs,Landscape,National PAS?,Location (coordinates),Other information,Source
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Reserva Científica Loma Quita Espuela,478120,,,Yes,, TTs or TE s not uploaded,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Reserva Científica Loma Guaconejo,478116,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Reserva Científica Villa Elisa,478143,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Reserva Científica Ébano Verde,478089,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Santuario de Mamíferos Marinos Estero Hondo,478092,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Parque Nacional Lago Enriquillo e Isla Cabritos,478104,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Parque Nacional Cabo Francés Viejo,478076,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Parque Nacional Sierra de Neiba,478140,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Parque Nacional Sierra de Bahoruco,6675,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Parque Nacional Valle Nuevo,478142,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Parque Nacional Armando Bermúdez,478068,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Parque Nacional del Este,180,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Parque Nacional Cabo Cabrón,478075,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Parque Nacional Nalga de Maco,478130,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Parque Nacional Jaragua,6673,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Parque Nacional José del Carmen Ramírez,478101,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Parque Nacional Submarino Monte Cristi,,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Parque Nacional Los Haitises,181,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Parque Nacional Submarino La Caleta,478102,389565,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Parque Nacional Humedales del Ozama,478099,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Parque Nacional Sierra Martín García,,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Monumento Natural Reserva Antropológica Cuevas del Pomier,478132,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Monumento Natural Salto de la Damajagua,478138,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Monumento Natural Isla Catalina,478100,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Monumento Natural Dunas de las Calderas,478111,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Monumento Natural Salto El Limón,478139,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Monumento Natural Pico Diego de Ocampo,478131,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Monumento Natural Lagunas Cabarete y Goleta,478108,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Monumento Natural Cabo Samaná,,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Monumento Natural Isabel de Torres,478117,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Refugio de Vida Silvestre Laguna de Cabral,555542745,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Refugio de Vida Silvestre Ría Maimón,,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Refugio de Vida Silvestre Lagunas Redonda y Limón,,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Refugio de Vida Silvestre Cueva Los Tres Ojos,478088,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Refugio de Vida Silvestre Lagunas de Bávaro y Caletón,,,,Yes,,,ProDoc Pg 112
2907,#N/A,Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability,National,Dominican Republic,,Refugio de Vida Silvestre Los Quemados,,,,Yes,,,ProDoc Pg 112
2934,2934,SFM Catalyzing the Contribution of Indigenous Lands to the Conservation of Brazil's Forest Ecosystems,National,Brazil,,N/A,,,,n/a,,PA s not mentioned,ProDoc
3183,#N/A,Mitigating the Threats of Invasive Alien Species in the Insular Caribbean,Regional,Regional,,,,,,n/a,,TTs not available and PA names not mentioned in ProDoc,
3209,3209,Strengthening Protected Area Financing and Management Systems,National,Egypt,,Ras Mohamed,9782,,,UA,,No TE s or TTs,ProDoc Pg 40
3209,3209,Strengthening Protected Area Financing and Management Systems,National,Egypt,,Nabq,40977,,,UA,,,ProDoc Pg 40
3209,3209,Strengthening Protected Area Financing and Management Systems,National,Egypt,,St. Katherine,,,,UA,,,ProDoc Pg 40
3209,3209,Strengthening Protected Area Financing and Management Systems,National,Egypt,,Red Sea Northern Islands,555543022,,,UA,,,ProDoc Pg 40
3209,3209,Strengthening Protected Area Financing and Management Systems,National,Egypt,,Wadi Rayan,555547985,,,UA,,,ProDoc Pg 40
3209,3209,Strengthening Protected Area Financing and Management Systems,National,Egypt,,Wadi El-Gemal/Hamata,306589,,,UA,,,ProDoc Pg 40
3209,3209,Strengthening Protected Area Financing and Management Systems,National,Egypt,,White Desert,306592,,,UA,,,ProDoc Pg 40
3209,3209,Strengthening Protected Area Financing and Management Systems,National,Egypt,,Wadi Degla,312975,,,UA,,,ProDoc Pg 40
3435,3435,SFM Sustainable Forest and Biodiversity Management in Borneo,National,Indonesia,,Kayan Mentarang NP,"145513
",,,no,,,TTs and ProDoc
3435,3435,SFM Sustainable Forest and Biodiversity Management in Borneo,National,Indonesia,,Danau Sentarum NP,317259,95338,,no,,,TTs and ProDoc
3435,3435,SFM Sustainable Forest and Biodiversity Management in Borneo,National,Indonesia,,Betung Kerihum NP,8673,,,no,,,TTs and ProDoc
3435,3435,SFM Sustainable Forest and Biodiversity Management in Borneo,National,Indonesia,,Bukit Raya bukit Baka NP,62496,,,no,,,TTs and ProDoc
3472,#N/A,SLEM/CPP: Integrated Land Use Management to Combat Land Degradation in Madja Pradesh,National,India,,Bori Sanctuary,1790,,,UA,,,METTs
3472,#N/A,SLEM/CPP: Integrated Land Use Management to Combat Land Degradation in Madja Pradesh,National,India,,Pachmarhi Sanctuary,1976,,,UA,,,METTs
3472,#N/A,SLEM/CPP: Integrated Land Use Management to Combat Land Degradation in Madja Pradesh,National,India,,Satpura National Park,9291,,,UA,,,METTs
3472,#N/A,SLEM/CPP: Integrated Land Use Management to Combat Land Degradation in Madja Pradesh,National,India,,Pench NP,694,,,UA,,,METTs
3472,#N/A,SLEM/CPP: Integrated Land Use Management to Combat Land Degradation in Madja Pradesh,National,India,,Bandhaygarh NP,699,,,UA,,,METTs
3472,#N/A,SLEM/CPP: Integrated Land Use Management to Combat Land Degradation in Madja Pradesh,National,India,,Panpatha Sanctuary,4603,,,UA,,,METTs
3472,#N/A,SLEM/CPP: Integrated Land Use Management to Combat Land Degradation in Madja Pradesh,National,India,,Sanjay NP,1810,,,UA,,,METTs
3472,#N/A,SLEM/CPP: Integrated Land Use Management to Combat Land Degradation in Madja Pradesh,National,India,,Bagdara Sanctuary,1803,,,UA,,,METTs
3472,#N/A,SLEM/CPP: Integrated Land Use Management to Combat Land Degradation in Madja Pradesh,National,India,,Sanjay-Dubri Wildlife Sanctuary,9290,,,UA,,,METTs
3548,3548,Marine and Coastal Biodiversity Conservation,National,Ecuador," provincia de Esmeraldas, Cantón San Lorenzo","Reserva Ecológica Cayapas Mataje
(REMACAM)
",900907,,,UA,"Latitud: 1° 17' 49.20"" N
Longitud: 78° 54' 42.63"" W",ProDoc unavailable and TTs in Spanish,TTs (Spanish)
3548,3548,Marine and Coastal Biodiversity Conservation,National,Ecuador," provincia de Esmeraldas, Cantón San Lorenzo","Refugio de Vida Silvestre Manglares Estuario
del Río Esmeraldas",555592953,,,UA,"Latitud: 0° 58' 20.45"" N
Longitud: 79° 38' 33.48"" W",ProDoc unavailable and TTs in Spanish,TTs (Spanish)
3548,3548,Marine and Coastal Biodiversity Conservation,National,Ecuador," provincia de Esmeraldas, Cantón Muisne", Reserva Marina Galera-San Francisco,555592951,,,UA,"Latitud: 0° 45' 26.79"" N
Longitud: 80° 9' 52.39"" W",ProDoc unavailable and TTs in Spanish,TTs (Spanish)
3548,3548,Marine and Coastal Biodiversity Conservation,National,Ecuador," provincia de Esmeraldas, Cantón Muisne","Refugio de Vida Silvestre Manglares Estuario
del Río Muisne",555592961,,,UA,"Latitud: 0° 25' 4.98"" N
Longitud: 79° 59' 45.09"" W",ProDoc unavailable and TTs in Spanish,TTs (Spanish)
3548,3548,Marine and Coastal Biodiversity Conservation,National,Ecuador,"provincia de Manabí, Cantón Manta y Montecristi.","Refugio de Vida Silvestre y Costera Pacoche
",555592952,,,UA,"Latitud: 1° 6' 56.38"" S
Longitud: 80° 54' 35.87"" W 
",ProDoc unavailable and TTs in Spanish,TTs (Spanish)
3548,3548,Marine and Coastal Biodiversity Conservation,National,Ecuador," provincia de Manabí, Estuario del Río Chone",": Refugio de Vida Silvestre Isla Corazón y
Fragatas",555592941,,,UA,"Latitud: 0° 38' 2.11"" S
Longitud: 80° 23' 28.52"" W",ProDoc unavailable and TTs in Spanish,TTs (Spanish)
3548,3548,Marine and Coastal Biodiversity Conservation,National,Ecuador,"provincia de Manabí, Cantón Puerto López, Jipijapa",Parque Nacional Machalilla,189,29807,,UA,"Latitud: 1° 31' 2.09"" S
Longitud: 80° 43' 21.44"" W",ProDoc unavailable and TTs in Spanish,TTs (Spanish)
3548,3548,Marine and Coastal Biodiversity Conservation,National,Ecuador," provincia de Santa Elena, Cantón Salinas, La Libertad.","Reserva de Producción Faunística Marino
Costera Península de Santa Elena ",365046,555592706,,UA,"Latitud: 2° 13' 8.55"" S
Longitud: 81° 0' 5.15"" W 
",ProDoc unavailable and TTs in Spanish,TTs (Spanish)
3548,3548,Marine and Coastal Biodiversity Conservation,National,Ecuador," provincia del Guayas, cantón Guayaquil.",Refugio de Vida Silvestre Manglares El Morro,555592954,,,UA,"Latitud: 2° 39' 12.94"" S
Longitud: 80° 11' 22.84"" W",ProDoc unavailable and TTs in Spanish,TTs (Spanish)
3548,3548,Marine and Coastal Biodiversity Conservation,National,Ecuador,"provincia del Guayas, cantón Guayaquil. ","Reserva de Producción de Fauna Manglares el
Salado",555592942,,,UA,"Latitud: 2° 39' 12.94"" S
Longitud: 80° 11' 22.84"" W",ProDoc unavailable and TTs in Spanish,TTs (Spanish)
3548,3548,Marine and Coastal Biodiversity Conservation,National,Ecuador,"provincia del Guayas, cantón Guayaquil",Reserva Ecológica Manglares Churute,2238,29808,,UA,"Latitud: 2° 29' 27.56"" S
Longitud: 79° 43' 53.30"" W",ProDoc unavailable and TTs in Spanish,TTs (Spanish)
3548,3548,Marine and Coastal Biodiversity Conservation,National,Ecuador,"provincia de El Oro, Golfo de Guayaquil.",Refugio de Vida Silvestre Isla Santa Clara,555592960,900687,,UA,"Latitud: 3° 10' 20.90"" S
Longitud: 80° 26' 0.19"" W",ProDoc unavailable and TTs in Spanish,TTs (Spanish)
3548,3548,Marine and Coastal Biodiversity Conservation,National,Ecuador,"provincia de El Oro, cantón Arenillas. ","Reserva Ecológica Arenillas
",555592943,,,UA,"Latitud: 3° 31' 41.98"" S
Longitud: 80° 8' 16.33"" W",ProDoc unavailable and TTs in Spanish,TTs (Spanish)
3574,#N/A,Mainstreaming Biodiversity in Sustainable Cattle Ranching,National,Colombia,,,,,,,,No TE or TTs uploaded. No mention of PA s in ProDoc,
3589,3589,CTI Coastal and Marine Resources Management in the Coral Triangle: Southeast Asia under Coral Triangle Initiative,Regional,Indonesia,,Pulau Semama Wildlife Reserve,20970,,,no,,Part of Berau Marine Conservation Area,METTs
3589,3589,CTI Coastal and Marine Resources Management in the Coral Triangle: Southeast Asia under Coral Triangle Initiative,Regional,Indonesia,,Pulau Maratua-Karang Muara Nature Reserve,12871,,,no,,Part of Berau Marine Conservation Area,METTs
3589,3589,CTI Coastal and Marine Resources Management in the Coral Triangle: Southeast Asia under Coral Triangle Initiative,Regional,Philippines,Palawan,"Balabac Marine Protected Ecoregion
",,,yes,no,,,METTs
3589,3589,CTI Coastal and Marine Resources Management in the Coral Triangle: Southeast Asia under Coral Triangle Initiative,Regional,Malaysia,,Tun Mustapha Park,,,,no,,Sulu-Sulawesi Marine Ecoregion. ,METTs
3589,3589,CTI Coastal and Marine Resources Management in the Coral Triangle: Southeast Asia under Coral Triangle Initiative,Regional,Malaysia,,Kudat-Banggi Priority Conservation Area,,,Yes,no,,Sulu-Sulawesi Marine Ecoregion. ,METTs
3589,3589,CTI Coastal and Marine Resources Management in the Coral Triangle: Southeast Asia under Coral Triangle Initiative,Regional,,,Sugod Island Marine Conservation Area,,,,no,,,METTs
3589,3589,CTI Coastal and Marine Resources Management in the Coral Triangle: Southeast Asia under Coral Triangle Initiative,Regional,,,Tun Sakaran Marine,,,,no,,,METTs
3589,3589,CTI Coastal and Marine Resources Management in the Coral Triangle: Southeast Asia under Coral Triangle Initiative,Regional,,,Turtle Islands Marine Park,793,71271,,no,,,METTs
3589,3589,CTI Coastal and Marine Resources Management in the Coral Triangle: Southeast Asia under Coral Triangle Initiative,Regional,,,Tawi-tawi Priority conservation area,,,,no,,,METTs
3589,3589,CTI Coastal and Marine Resources Management in the Coral Triangle: Southeast Asia under Coral Triangle Initiative,Regional,,,26 other sites mentioned on Pg 102 of TTs,,,,no,,26 other sites on Pg 102 of TTs. Not clear if they are part of the project. ,METTs
3607,3607,Application of a Regional Approach to the Management of Marine and Coastal Protected Areas in Cuba's Southern Archipelagos,National,Cuba,,San Guanahacabibes NP,168261,,,no,,,ProDoc Pg 28
3607,3607,Application of a Regional Approach to the Management of Marine and Coastal Protected Areas in Cuba's Southern Archipelagos,National,Cuba,,Colorados,,,,no,,,ProDoc Pg 28
3607,3607,Application of a Regional Approach to the Management of Marine and Coastal Protected Areas in Cuba's Southern Archipelagos,National,Cuba,,"Felipe, Sur de la IJ",,,,no,,,ProDoc Pg 28
3607,3607,Application of a Regional Approach to the Management of Marine and Coastal Protected Areas in Cuba's Southern Archipelagos,National,Cuba,,"Canarreos, Cazones",,,,no,,,ProDoc Pg 28
