GEF ID,List of project's focal areas,Focal area(s) the roject intends to provide benefits to,,,,,
3574,M;B;L;,BD,LD,CCM,,,
3589,M;B;C;I;,BD,,,CCA,IW,
3591,M;B;C;I;,BD,,CCM,CCA,IW,
3608,M;C;L;,,LD,CCM,CCA,,
3611,M;B;L;,BD,LD,CCM,,,
3623,M;B;C;,BD,LD,CCM,CCA,,
3627,M;B;L;,BD,LD,CCM,,,
3635,M;B;C;L;,BD,LD,CCM,,,
3669,M;C;L;I;,,LD,CCM,CCA,IW,
3717,M;B;L;,BD,LD,,CCA,,
3749,M;B;I;,BD,,,,IW,
3767,M;B;C;,BD,,CCM,CCA,,
3779,M;C;L;,BD,LD,CCM,,,
3818,M;B;C;L;,BD,LD,CCM,CCA,,
3822,M;B;C;L;,BD,,CCM,,,
3830,M;B;C;,BD,LD,CCM,CCA,IW,
3831,M;B;L;,BD,LD,CCM,CCA,,
3924,M;B;C;L;I;,BD,,,CCA,,
3952,M;B;L;,BD,LD,,,,
3960,M;L;M;,BD,LD,CCM,CCA,,
3980,M;B;C;I;,BD,,CCM,,IW,
3981,M;B;C;,BD,LD,CCM,CCA,,
4029,M;B;I;,BD,,,,IW,
4035,M;B;L;,BD,LD,,,,
4080,M;B;C;,BD,LD,CCM,,,
4104,M;B;C;L;,BD,LD,CCM,,,
4235,M;B;L;,BD,LD,CCM,,,
4257,M,BD,,CCM,,IW,
4259,M,BD,LD,,CCA,,
4332,M;C;L;M;,BD,LD,CCM,CCA,,
4454,M;B;L;M;,BD,LD,CCM,,,
4468,M;B;C;L;M;,BD,LD,CCM,,,
4469,M;B;C;M;,BD,LD,CCM,,,
4479,M;B;C;L;M;,BD,LD,CCM,,,
4543,M;B;C;M;,BD,LD,CCM,,,
4579,M;B;L;M;,BD,LD,,,,
4581,M;B;I;,BD,,,,IW,
4582,M;B;I;,BD,,,,IW,
4583,M;B;C;L;,BD,LD,CCM,,,
4584,M;B;L;,BD,LD,,,,
4590,M;B;L;M;,BD,LD,CCM,CCA,,
4605,M;B;C;M;,BD,,CCM,,,
4616,M;C;L;,,LD,CCM,CCA,,
4625,M;B;C;L;M;,BD,LD,,CCA,,
4631,M;B;L;M;,BD,LD,CCM,CCA,,
4632,M;B;L;,BD,LD,,,,
4634,M;B;C;L;,BD,,CCM,,,
4639,M;B;C;L;M;,BD,LD,CCM,,,
4642,M;C;L;,,LD,CCM,,,
4644,M;C;L;M;,,LD,CCM,,,
4645,M;B;C;L;M;,BD,LD,CCM,CCA,,
4650,M;B;C;L;M;,BD,,CCM,,,
4652,M;C;M;,BD,,CCM,,,
4659,M;B;I;,BD,,,,IW,
4660,M;B;I;,BD,,,,IW,
4669,M;B;L;,BD,LD,,CCA,,
4677,M;B;C;M;,BD,,CCM,,,
4709,M;B;C;L;M;,BD,LD,,CCA,,
4717,M;B;L;,BD,LD,,CCA,,
4732,M;B;L;M;,BD,LD,CCM,,,
4744,M;B;L;M;,BD,LD,CCM,CCA,,
4750,M;B;C;L;M;,BD,LD,CCM,CCA,,
4761,M;C;L;M;,,LD,CCM,,,
4766,M;C;I;P;,,,CCM,,IW,CHEM
4772,M;B;L;M;,BD,LD,CCM,,,
4774,M;B;L;M;,BD,LD,CCM,CCA,,
4775,M;C;L;,,LD,CCM,CCA,,
4778,M;C;L;M;,,LD,CCM,,,
4779,M;C;L;M;,,LD,CCM,,,
4792,M;B;C;L;M;,BD,LD,CCM,CCA,,
4799,M;I;P;,,,,,IW,CHEM
4800,M;B;C;M;,BD,,CCM,,,
4834,M;B;C;M;,BD,LD,CCM,,,
4839,M;B;L;,BD,LD,,CCA,,
4847,M;B;L;M;,BD,LD,CCM,,,
4856,M;B;I;,BD,,,,IW,
4860,M;B;L;M;,BD,LD,CCM,,,
4905,M;B;C;M;,BD,LD,CCM,,,
4907,M;B;C;L;M;,BD,LD,CCM,,,
4908,M;B;C;L;M;,BD,LD,,CCA,,
4932,M;B;L;I;M;,BD,LD,CCM,,IW,
4939,M;B;C;L;,BD,LD,CCM,,,
4942,M;B;C;M;,,,,,,
4952,M;B;C;L;M;,BD,LD,CCM,,,
4968,M;B;C;M;,BD,,CCM,,,
4970,M;B;L;M;,BD,LD,CCM,CCA,,
5005,M;B;C;L;M;,BD,LD,CCM,,,
5026,M;B;C;L;,BD,LD,,CCA,,
5057,M;B;C;L;M;,BD,LD,CCM,CCA,,
5069,M;B;L;M;,BD,LD,CCM,,IW,
5080,M;B;L;M;,BD,LD,CCM,CCA,,
5123,M;C;L;M;,,LD,CCM,,,
5133,M;C;I;,BD,LD,,CCA,IW,
5135,M;B;L;M;,BD,LD,,,,
5139,M;B;C;M;,BD,LD,CCM,,,
5150,M;C;P;,,,CCM,,,CHEM
5187,M;B;C;L;M;,BD,LD,CCM,,,
5215,M;B;L;M;,BD,LD,,CCA,,
5220,M;B;C;L;M;,BD,LD,CCM,,,
5221,M;B;C;L;M;,BD,LD,CCM,,,
5225,M;B;C;M;,BD,LD,CCM,,,
5252,M;B;C;L;M;,BD,LD,CCM,,,
5264,M;B;L;M;,BD,LD,,CCA,,
5266,M;B;L;,BD,LD,,,,
5270,M;B;C;L;M;,BD,LD,CCM,CCA,,
5277,M;B;C;L;M;,BD,LD,CCM,,,
5281,M;B;I;,BD,,CCM,,IW,
5292,M;B;L;,BD,LD,,,,
5330,M;B;C;M;,BD,,CCM,,,
5334,M;C;L;M;,BD,LD,CCM,,,
5347,M;B;L;,BD,LD,,,,
5348,M;B;C;L;I;,BD,,,,IW,CHEM
5353,M;B;C;L;M;,BD,LD,CCM,CCA,,
5356,M;B;C;L;M;,BD,LD,CCM,,,
5380,M;B;C;,BD,,,CCA,,
5381,M;B;C;L;I;,BD,LD,,CCA,IW,
5384,M;B;C;,BD,,,CCA,,
5390,M;B;C;M;,BD,,CCM,,,
5398,M;B;C;L;I;M;,BD,LD,CCM,CCA,IW,
5410,M;B;C;L;M;,BD,LD,CCM,,,
5423,M;C;L;,BD,LD,CCM,,,
5449,M;C;L;M;,,LD,CCM,,,
5481,M;B;L;,BD,LD,,,,
5508,M;C;I;,BD,,CCM,,IW,
5510,M;B;L;,BD,LD,,CCA,,
5517,M;B;C;L;I;,BD,LD,,,IW,
5531,M;B;C;L;M;,BD,LD,CCM,CCA,,
5536,M;C;L;,,LD,CCM,CCA,,
5550,M;B;C;L;I;,BD,,,,IW,
5560,M;B;C;M;,BD,,CCM,,,
5619,M;B;L;M;,BD,LD,CCM,,,
5622,M;B;I;,BD,,,,IW,
5660,M;B;C;M;,BD,,CCM,,,
5663,M;B;C;L;I;,BD,LD,,,IW,
5718,M;C;L;,,LD,CCM,,,
5754,M;C;L;,,LD,CCM,CCA,,
5792,M;B;L;M;,BD,LD,CCM,,,
5848,M;L;M;,BD,LD,CCM,,,
6947,M;B;C;M;,BD,,CCM,,,
6970,M;B;I;,BD,,,,IW,
9037,M;C;L;M;,BD,LD,CCM,,,
