Region,Country,SiteID,NationalName,InternationalName,FinalCode,NationalCode,Area,MinAltitude,MaxAltitude,Latitude,Longitude,SitTypeIba,SitTypeCiCepfKba,SitTypeFwKba,SitTypeAze,SitTypeCsn,SitTypeOther,SitTypeInDanger,MonitoringYear,PressureDesc,PressureScore,StateType,StateDesc,StateScore,ResponseDesc,ResponseScore,EUFavourable,WholeSiteCovered,InfoAccuracy,MonitoringAssessmentComplete,CompletedBy,OverallPressureNotes,OverallStateNotes,OverallResponseNotes,SitIBASitCriSumRecID,IBACriteriaStatus,IBACriteriaAssessYear,IBAProposedCriteria,IBAConfirmedCriteria,SitKBASitCriSumRecID,KBACriteriaStatus,KBACriteriaAssessYear,KBAProposedCriteria,KBAConfirmedCriteria
Africa,Botswana,6045,Chobe National Park,Chobe National Park,BW001,,1069800,900,1000,-18.5,24.5,Y,Y,N,N,Y,N,N,2012,very high,-3,Population,unfavourable,1,medium,2,N,Y,medium,Y,"Ratsie, Mabifhi Lesego",,,,25045,confirmed,2001,,"A3, A4i",1757,confirmed,2009,,Vul
Africa,Botswana,6056,Kgalakgadi Transfrontier Park,Kgalakgadi Transfrontier Park,BW012,,2840000,900,1100,-25.5,21,Y,Y,N,N,N,N,N,2001,high,-2,Habitat,unfavourable,1,medium,2,N,Y,good,Y,"Mwangi, Kiragu",,,,25056,confirmed,2001,,A3,1759,confirmed,2009,,Vul
Africa,Botswana,6056,Kgalakgadi Transfrontier Park,Kgalakgadi Transfrontier Park,BW012,,2840000,900,1100,-25.5,21,Y,Y,N,N,N,N,N,2011,low,0,Population,very unfavourable,0,medium,2,N,Y,medium,Y,"Ratsie, Mabifhi Lesego",,,,25056,confirmed,2001,,A3,1759,confirmed,2009,,Vul
Africa,Botswana,6056,Kgalakgadi Transfrontier Park,Kgalakgadi Transfrontier Park,BW012,,2840000,900,1100,-25.5,21,Y,Y,N,N,N,N,N,2012,low,0,Population,favourable,3,high,3,N,Y,medium,Y,"Ratsie, Mabifhi Lesego",,,,25056,confirmed,2001,,A3,1759,confirmed,2009,,Vul
Africa,Botswana,6048,Lake Ngami,Lake Ngami,BW004,,25000,950,950,-20.97,22.76,Y,N,N,N,Y,N,N,2001,very high,-3,unset,not assessed,5,not assessed,0,N,Y,good,Y,"Mwangi, Kiragu","Many large ungulates from the central Kalahari used Lake Ngami in times of drought for water and food, but fences, human settlements and a current lack of water have prevented these game movements.",,,25048,confirmed,2001,,"A1, A3, A4i, A4ii, A4iii",0,-,,,
Africa,Botswana,6048,Lake Ngami,Lake Ngami,BW004,,25000,950,950,-20.97,22.76,Y,N,N,N,Y,N,N,2011,high,-2,Population,very unfavourable,0,negligible,0,N,Y,medium,Y,"Ratsie, Mabifhi Lesego",,,,25048,confirmed,2001,,"A1, A3, A4i, A4ii, A4iii",0,-,,,
Africa,Botswana,6046,Linyanti swamp/Chobe river,Linyanti swamp/Chobe river,BW002,,20000,900,950,-18.57,23.55,Y,N,N,N,Y,N,N,2001,high,-2,Habitat,unfavourable,1,negligible,0,N,Y,good,Y,"Mwangi, Kiragu",,,,25046,confirmed,2001,,"A1, A3, A4i",0,-,,,
Africa,Botswana,6046,Linyanti swamp/Chobe river,Linyanti swamp/Chobe river,BW002,,20000,900,950,-18.57,23.55,Y,N,N,N,Y,N,N,2011,low,0,Population,unfavourable,1,low,1,N,Y,medium,Y,"Ratsie, Mabifhi Lesego",,,,25046,confirmed,2001,,"A1, A3, A4i",0,-,,,
Africa,Botswana,6046,Linyanti swamp/Chobe river,Linyanti swamp/Chobe river,BW002,,20000,900,950,-18.57,23.55,Y,N,N,N,Y,N,N,2012,medium,-1,Population,near favourable,2,medium,2,N,Y,medium,Y,"Ratsie, Mabifhi Lesego",,,,25046,confirmed,2001,,"A1, A3, A4i",0,-,,,
Africa,Botswana,6049,Makgadikgadi Pans,Makgadikgadi Pans,BW005,,1200000,900,1000,-20.75,25.5,Y,N,N,N,Y,N,N,2001,high,-2,Habitat,near favourable,2,low,1,N,Y,good,Y,"Mwangi, Kiragu",,,,25049,confirmed,2001,,"A1, A3, A4i, A4iii",0,-,,,
Africa,Botswana,6049,Makgadikgadi Pans,Makgadikgadi Pans,BW005,,1200000,900,1000,-20.75,25.5,Y,N,N,N,Y,N,N,2011,high,-2,Population,near favourable,2,high,3,N,Y,medium,Y,"Ratsie, Mabifhi Lesego",,,,25049,confirmed,2001,,"A1, A3, A4i, A4iii",0,-,,,
Africa,Botswana,6049,Makgadikgadi Pans,Makgadikgadi Pans,BW005,,1200000,900,1000,-20.75,25.5,Y,N,N,N,Y,N,N,2012,high,-2,Population,favourable,3,high,3,N,Y,medium,Y,"Ratsie, Mabifhi Lesego",,,,25049,confirmed,2001,,"A1, A3, A4i, A4iii",0,-,,,
Africa,Botswana,6051,Mannyelanong Hill,Mannyelanong Hill,BW007,,100,1200,1200,-25.06,25.76,Y,N,N,N,N,N,N,2001,low,0,Population,unfavourable,1,medium,2,N,Y,good,Y,"Mwangi, Kiragu",A potential threat to the Gyps coprotheres colony is a shortage of carrion for food although its not a limiting factor at present.   ,"One pair of Ciconia nigra nests on the cliffs; the nest site has been used most season since 1941. Aquilia verreauxi also breeds on the Mannyelanong cliffs, together with Falco biarmicus and F. tinnunculus.",,25051,confirmed,2001,,"A1, A4ii",0,-,,,
Africa,Botswana,6051,Mannyelanong Hill,Mannyelanong Hill,BW007,,100,1200,1200,-25.06,25.76,Y,N,N,N,N,N,N,2011,low,0,Population,near favourable,2,medium,2,N,Y,medium,Y,"Ratsie, Mabifhi Lesego",,,,25051,confirmed,2001,,"A1, A4ii",0,-,,,
Africa,Botswana,6051,Mannyelanong Hill,Mannyelanong Hill,BW007,,100,1200,1200,-25.06,25.76,Y,N,N,N,N,N,N,2012,low,0,Population,near favourable,2,high,3,N,Y,medium,Y,"Ratsie, Mabifhi Lesego",,,,25051,confirmed,2001,,"A1, A4ii",0,-,,,
Africa,Botswana,6047,Okavango Delta,Okavango Delta,BW003,,1900000,900,1000,-19.41666667,22.75,Y,N,N,N,Y,N,N,2001,high,-2,Habitat,unfavourable,1,low,1,N,Y,good,Y,"Mwangi, Kiragu","Veterinary fences to restrict movement of wildlife may contain tthe spread of syncerus caffer to domestic stock but creates potential for wildlife to concentrate on the habitat at unsustainable levels impacting on the haitat quality for trigger species especially in the dry season.   The blockage of channels, following the intensive hunting of Hippopotomous amphibus which formerly kept areas of water clear of vegetation is sometimes perceived as an issue. Whilst there is little evidence for this Hippopotumus has been severly reduced in the western delta.",,,25047,confirmed,2001,,"A1, A3, A4i, A4ii, A4iii",0,-,,,
Africa,Botswana,6047,Okavango Delta,Okavango Delta,BW003,,1900000,900,1000,-19.41666667,22.75,Y,N,N,N,Y,N,N,2012,high,-2,Population,unfavourable,1,high,3,N,Y,medium,Y,"Ratsie, Mabifhi Lesego",,,,25047,confirmed,2001,,"A1, A3, A4i, A4ii, A4iii",0,-,,,
Africa,Botswana,6054,"Phakalane sewage lagoons, near Gaborone","Phakalane sewage lagoons, near Gaborone",BW010,,100,980,980,-24.62,25.96,Y,N,N,N,Y,N,N,2013,very high,-3,unset,not assessed,5,negligible,0,N,Y,unknown,Y,"Ratsie, Mabifhi Lesego","The site is highly threatened: domestic and commercial waste, water pollution by effluents from industries in the area, disturbance and direct persecution of birds and their eggs by wild dogs and cats, and overexploitation of fish in the pond. All these activities have been happening for the past four years and are still ongoing, causing rapid deterioration. The highly threatened IBA is a sewage pond on the outskirts of the capital city Gaborone. On identification as an IBA, it was well managed, fenced and supported large numbers of Maccoa Duck (Oxyura maccoa).However, over the years it was less prioritised by Gaborone City Council, then people vandalised the fence and dumped domestic as well as industrial waste. Livestock from neighbouring settlements invaded the area, wild dogs and cats greatly disturbed the breeding pattern of bird hence they migrated to other water sources.","State of the IBA-criteria-triggering populations: When it was identified in 1998, Phakalane lagoons supported a wide diversity of visiting waders and other waterbirds, including both species of flamingo. Of particular note were the high numbers of Maccoa Duck (Oxyura maccoa) particularly in the winter; usually 100â€“200 pairs, but at least 440 individuals were recorded in 1998. The site also typically supported large numbers of Southern Pochard. Small numbers of some duck breed by the lagoons whilst waterbirds, notably Sacred Ibis (Threskiornis aethiopicus) and Cattle Egret (Bubulcus ibis), roost on dead trees. State of the habitats of the trigger species: These are four rectangular sewage treatment lagoons (with at least 70 ha of water) built in Gaborone North close to Phakalane residential area. They are in a grassland area, surrounded by Acacia savanna. The site lies adjacent to the Ngotwane River. Riparian vegetation along this section of the Ngotwane is dominated by Bushwillow trees (Combretum) and there are some open areas of wet grassland. The ponds are used by waterfowl which frequently move from one dam or sewage pond to another.","The site is a sewage pond, where all systems in the city deposits , it is supposed to be fenced and managed by Gaborone City Councill as they are the authority managing sewage systems of the city.However, the ponds are abandanded and neighbouring residents use part of the place as a dumping site while pastoralists benefit from the sewage water. Birdlife could not survrive and only few species are found in the area. There are no actions planned for the site, due to the situation at the site, some conservationists have advised to delisted the site from the IBA list as it nolonger supports any trigger species.However, BirdLife members still do biannual waterfowl count at the site.",25054,confirmed,2001,,A4i,0,-,,,
Africa,Botswana,6054,"Phakalane sewage lagoons, near Gaborone","Phakalane sewage lagoons, near Gaborone",BW010,,100,980,980,-24.62,25.96,Y,N,N,N,Y,N,N,2011,very high,-3,Population,very unfavourable,0,negligible,0,N,Y,medium,Y,"Ratsie, Mabifhi Lesego",,,,25054,confirmed,2001,,A4i,0,-,,,
Africa,Botswana,6054,"Phakalane sewage lagoons, near Gaborone","Phakalane sewage lagoons, near Gaborone",BW010,,100,980,980,-24.62,25.96,Y,N,N,N,Y,N,N,2012,very high,-3,Population,very unfavourable,0,negligible,0,N,Y,medium,Y,"Ratsie, Mabifhi Lesego",,,,25054,confirmed,2001,,A4i,0,-,,,
Africa,Botswana,6055,South-east Botswana,South-east Botswana,BW011,,750000,1000,1200,-25.11666667,25.33333333,Y,N,N,N,N,N,N,2011,low,0,Population,near favourable,2,low,1,N,Y,medium,Y,"Ratsie, Mabifhi Lesego",,,,25055,confirmed,2001,,"A1, A3",0,-,,,
Africa,Botswana,6055,South-east Botswana,South-east Botswana,BW011,,750000,1000,1200,-25.11666667,25.33333333,Y,N,N,N,N,N,N,2012,low,0,Population,favourable,3,low,1,N,Y,medium,Y,"Ratsie, Mabifhi Lesego",,,,25055,confirmed,2001,,"A1, A3",0,-,,,
Africa,Botswana,6052,Tswapong Hills,Tswapong Hills,BW008,,75000,1000,1000,-22.66666667,27.5,Y,N,N,N,Y,N,N,2011,low,0,Population,near favourable,2,low,1,N,Y,medium,Y,"Ratsie, Mabifhi Lesego",,,,25052,confirmed,2001,,"A1, A4ii",0,-,,,
Africa,Botswana,6052,Tswapong Hills,Tswapong Hills,BW008,,75000,1000,1000,-22.66666667,27.5,Y,N,N,N,Y,N,N,2012,low,0,Population,favourable,3,medium,2,N,Y,medium,Y,"Ratsie, Mabifhi Lesego",,,,25052,confirmed,2001,,"A1, A4ii",0,-,,,
Africa,Burkina Faso,6030,Arli - W - Singou complex,Arli - W - Singou complex,BF008,,923000,176,208,11.55,1.45,Y,N,N,N,N,N,N,2001,high,-2,Habitat,unfavourable,1,low,1,N,Y,good,Y,"Mwangi, Kiragu",Subsistence poaching of wildlife is recorded to happen in the complex although its not clear whether this is also affecting the trigger species for the IBA.,,"Management plan exists for part of the site (park W management plan was developped by the EC paject named ECOPAS), the Arly spart management is under development, but for the Singou part nothing is planned. This note refers might be in reference to 2008 and would need clarification with Naturama.",25030,confirmed,2001,,"A3, A4ii",0,-,,,
Africa,Burkina Faso,6030,Arli - W - Singou complex,Arli - W - Singou complex,BF008,,923000,176,208,11.55,1.45,Y,N,N,N,N,N,N,2009,high,-2,Habitat,near favourable,2,medium,2,N,Y,poor,Y,"Oueda, Georges-Henry",Depuis quelques annÃ©es la culture du coton couplÃ©e avec une utilisation anarchique et incontrÃ´lÃ©e des intrants (pesticides & produits chimiques) dans les abords du site a pris de l'ampleur.   De mÃªme l'exploitation des zones de chasse concÃ©dÃ©es Ã  des particuliers autour du site commence Ã  avoir un impact sur la faune.,,,25030,confirmed,2001,,"A3, A4ii",0,-,,,
Africa,Burkina Faso,6023,Béli River,Béli River,BF001,,105000,250,300,14.96666667,-0.416666667,Y,N,N,N,Y,N,N,2009,medium,-1,Habitat,unfavourable,1,negligible,0,N,Y,medium,Y,"Oueda, Georges-Henry","Les principales menaces qui pÃ¨sent sur le site sont entre autres, la coupe et l'Ã©modage par les bergers nomades, les pressions pastorales, l'agriculture extensive, l'impact des changements climatiques/pÃ©joration climatique, l'ensablement du cours d'eau, l'analphabÃ©tisme des communautÃ©s locales avec pour corollaire la mÃ©connaissance des valeurs et fonctions des zones humides et enfin la pauvretÃ© exacerbÃ©e des populations locales.","TrÃ¨s peu d'actions de conservation est menÃ© sur ce site, nÃ©anmois le site semble relativement bien se porter.",,25023,confirmed,2001,,"A3, A4i, A4iii",0,-,,,
Africa,Burkina Faso,6031,Bérégadougou hill,Bérégadougou hill,BF009,,15000,350,680,10.75,-4.716666667,Y,N,N,N,N,N,N,2009,high,-2,Habitat,unfavourable,1,low,1,N,N,poor,N,"Oueda, Georges-Henry",,,,25031,confirmed,2001,,A3,0,-,,,
Africa,Burkina Faso,6032,Diéfoula - Logoniégué forest,Diéfoula - Logoniégué forest,BF010,,114000,219,450,9.75,-4.7,Y,N,N,N,N,N,N,2009,medium,-1,Habitat,favourable,3,high,3,N,Y,good,Y,"Oueda, Georges-Henry",,,,25032,confirmed,2001,,A3,0,-,,,
Africa,Burkina Faso,6028,Kaboré Tambi - Nazinga - Sissili complex,Kaboré Tambi - Nazinga - Sissili complex,BF006,,336500,260,260,11.45,-1.416666667,Y,N,N,N,N,N,N,2001,low,0,Habitat,favourable,3,medium,2,N,Y,good,Y,"Mwangi, Kiragu",,,,25028,confirmed,2001,,A3,0,-,,,
Africa,Burkina Faso,6028,Kaboré Tambi - Nazinga - Sissili complex,Kaboré Tambi - Nazinga - Sissili complex,BF006,,336500,260,260,11.45,-1.416666667,Y,N,N,N,N,N,N,2009,high,-2,Habitat,favourable,3,medium,2,N,Y,medium,Y,"Oueda, Georges-Henry",,,,25028,confirmed,2001,,A3,0,-,,,
Africa,Burkina Faso,6024,Lake Oursi - Lake Darkoye,Lake Oursi - Lake Darkoye,BF002,,45000,250,300,14.7,-0.083333333,Y,N,N,N,Y,N,N,2001,high,-2,Habitat,unfavourable,1,low,1,N,Y,good,Y,"Mwangi, Kiragu",,,,25024,confirmed,2001,,"A3, A4i, A4iii",0,-,,,
Africa,Burkina Faso,6025,Lake Sourou,Lake Sourou,BF003,,22000,252,252,12.83333333,-3.466666667,Y,N,N,N,Y,N,N,2001,low,0,Habitat,favourable,3,low,1,N,Y,good,Y,"Mwangi, Kiragu",,,,25025,confirmed,2001,,A4iii,0,-,,,
Africa,Burkina Faso,6027,Mare aux Hippopotames,Mare aux Hippopotames,BF005,,19200,296,296,11.55,-4.15,Y,N,N,N,N,N,N,2001,low,0,Habitat,near favourable,2,low,1,N,Y,good,Y,"Mwangi, Kiragu",,,,25027,confirmed,2001,,A3,0,-,,,
Africa,Burkina Faso,6026,Ouagadougou forest,Ouagadougou forest,BF004,,230,300,300,12.36666667,-1.5,Y,N,N,N,N,N,N,2001,low,0,Habitat,favourable,3,low,1,N,Y,good,Y,"Mudereri, Bester",,,,25026,confirmed,2001,,A3,0,-,,,
Africa,Burundi,6037,Bururi Forest Nature Reserve,Bururi Forest Nature Reserve,BI005,,1500,1900,2307,-3.937,29.597,Y,Y,N,N,N,N,N,2001,high,-2,Habitat,very unfavourable,0,low,1,N,Y,good,Y,"Mwangi, Kiragu",Hunting of bushmeat is recorded to be happening although not confirmed to affect the trigger species for this IBA.,Although the Nature Reserve is 3300 ha the remaining evergreen forest is only 1600ha.,,25037,confirmed,2001,,"A1, A2, A3",4093,confirmed,2011,,"Vul, Irr 1"
Africa,Burundi,6037,Bururi Forest Nature Reserve,Bururi Forest Nature Reserve,BI005,,1500,1900,2307,-3.937,29.597,Y,Y,N,N,N,N,N,2008,low,0,Habitat,near favourable,2,low,1,N,Y,good,Y,"Léonidas, NKEZABAHIZI",Main threats include:  -  agriculture encroachment relevant to a high population density.  -  a main lane crossing the reserve.,"Although  agricultural pressure on forestland is reported, the habitat state is still good to host triggers species.",,25037,confirmed,2001,,"A1, A2, A3",4093,confirmed,2011,,"Vul, Irr 1"
Africa,Burundi,6037,Bururi Forest Nature Reserve,Bururi Forest Nature Reserve,BI005,,1500,1900,2307,-3.937,29.597,Y,Y,N,N,N,N,N,2006,medium,-1,Habitat,unfavourable,1,low,1,N,N,medium,Y,"Léonidas, NKEZABAHIZI",,,,25037,confirmed,2001,,"A1, A2, A3",4093,confirmed,2011,,"Vul, Irr 1"
Africa,Burundi,6037,Bururi Forest Nature Reserve,Bururi Forest Nature Reserve,BI005,,1500,1900,2307,-3.937,29.597,Y,Y,N,N,N,N,N,2009,medium,-1,Habitat,near favourable,2,low,1,N,Y,good,Y,"Léonidas, NKEZABAHIZI",,,,25037,confirmed,2001,,"A1, A2, A3",4093,confirmed,2011,,"Vul, Irr 1"
Africa,Burundi,6037,Bururi Forest Nature Reserve,Bururi Forest Nature Reserve,BI005,,1500,1900,2307,-3.937,29.597,Y,Y,N,N,N,N,N,2010,medium,-1,Habitat,favourable,3,medium,2,N,Y,good,Y,"Léonidas, NKEZABAHIZI",,"Compared to the previous state's conditions, we should say that the situation has improved noticeably due to conservation awareness of population living adjacent to the reserve. ",,25037,confirmed,2001,,"A1, A2, A3",4093,confirmed,2011,,"Vul, Irr 1"
Africa,Burundi,6034,Kibira National Park,Kibira National Park,BI002,,37000,1600,2666,-2.917,29.435,Y,Y,N,N,N,N,N,2001,medium,-1,Habitat,near favourable,2,low,1,N,Y,good,Y,"Mwangi, Kiragu",Despite active conservation efforts at this park experiences threats. Poaching is recorded for this IBA although effects to the trigger species for this IBAs are unknown.   ,,,25034,confirmed,2001,,"A1, A2, A3",4094,confirmed,2011,,"Vul, Irr 1"
Africa,Burundi,6034,Kibira National Park,Kibira National Park,BI002,,37000,1600,2666,-2.917,29.435,Y,Y,N,N,N,N,N,2008,medium,-1,Habitat,near favourable,2,low,1,N,Y,medium,Y,"Léonidas, NKEZABAHIZI",Kibira national Park is located in a high populated region.  By the way this park does not have a buffer zone.,,- ABO through CARPE/IUCN Project has collected legal provisions relevant to managing parks and reserves of Burundi.   - The Wildlife Conservation Society (WCS)has a transboundary project consisting of rehabilitation of Touristic Sites.,25034,confirmed,2001,,"A1, A2, A3",4094,confirmed,2011,,"Vul, Irr 1"
Africa,Burundi,6034,Kibira National Park,Kibira National Park,BI002,,37000,1600,2666,-2.917,29.435,Y,Y,N,N,N,N,N,2006,medium,-1,Habitat,near favourable,2,low,1,N,Y,medium,Y,"Léonidas, NKEZABAHIZI",,,,25034,confirmed,2001,,"A1, A2, A3",4094,confirmed,2011,,"Vul, Irr 1"
