"AidData Project ID","round","gef_id","Agency","Lead agency","Secondary agency(ies)","Region","List of regions","Country","List of participating countries","Countries listed by Code (ISO 3166-1 alpha-2)","Focal Area","Focal Area single-letter-code","List of project's focal areas","GEF replenishment phase","Type acronym","Type","Status","Trust Fund acronym","Trust Fund","Executing partner / agency","Type of executing partner / agency","Type acronym of parent (or empty if standalone)","Category (empty: standalone, parent, child)","Biosafety project?","Targeted research project?","National Capacity Self Assessement (NCSA)?","National Adaptation Programme of Action (NAPA)?","isNonExpedited","National Portfolio Formulation Exercises (NPFE)?","National communications project?","Small Grants Programme (SGP)?","Sustainable Forest Management (SFM)?","Requires second review?","Primary GEFSEC Program Manager","ID of secondary GEFSEC Program Manager","UNDP Project ID","World Bank Project ID","GEF3 OP list","GEF4 SP list","GEF4 SP-ID list","GEF5 FA Objective list","Keyword ID list","Code of business plan allocation item","World Bank Trust Fund number","(Sum of all) Approved PPG(s)","Project Preparation Grant (PPG)","Project Development Facility block A (PDF-A)","Project Development Facility block B (PDF-B)","Project Development Facility block C (PDF-C)","Pre-Investment Facility (PRIF)","Agency fees paid separately for PPG","Agency fees paid separately for PDF-B","GEF Project Grant PIF stage","GEF Project Grant CEO approve stage","GEF Project Grant CEO endorse stage","Agency Fee PIF stage","Agency Fee CEO approve stage","Agency Fee CEO endorse stage","Cofinance PIF stage","Cofinance CEO approve stage","Cofinance CEO endorse stage","Date of receipt or first PMIS entry","PIF Clearance or PIF Approval Date","Expected date of entry into work program","Date of entry into work program","Date of project approval","Date of CEO approval (MSP / EA)","Date of CEO endorsement (FSP)","Date of dropping (before project approval)","Date of cancelation (after project approval)","Date of PIF rejection by CEO","Date of technical rejection by Program Manager","Date of rejection by CEO at CEO approve stage","Date of rejection by CEO at CEO endorse stage","Date of Parent / Program rejection by Council","Date of approval by Agency","Expected date of Grant signing","Actual date of Grant signing","Expected date of implementation start","Actual date of implementation start","Expected date of closure","Actual date of closure","Expected date of financial closure","Date of financial closure","Expected date of Internal Completion Report (ICR)","Date of Internal Completion Report (ICR)","Expected date of Parent endorsement by Council","Date of Parent endorsement by Council","Expected date of effectiveness","Date of effectiveness","Expected date of mid term review","Date of mid term review","GEFNewRegionList"
"906001223984","Programatic","3817","World Bank","World Bank","","AFR","","Guinea-Bissau","","GW","Biodiversity","B","B","GEF - 4","MSP","Medium-Sized Project","Project Completion","GET","GEF Trust Fund","Institute for Biodiversity and Protected Areas (IBAP)","Institute","PAN","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Charlotte Gobin","329964","","83172","","BD-1;BD-2;",";1;2;","","","","","0","","","","","","","","950000","950000","","95000","95000","","2900000","2794387","","8-Oct-08","17-Nov-08","","","17-Nov-08","13-Jul-10","","","","","","","","","","","","30-Aug-10","17-Mar-11","28-Feb-14","28-Feb-14","","","","","","","","","","","AFR,"
"906001223986","Programatic","4084","World Bank","World Bank","","AFR","","Cameroon","","CM","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","Ministry of Forests and Wildlife, Ministry of Environment and Protection of Nature","Government","PAN","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Charlotte Gobin","329964","","118018","","BD-1;BD-2;",";1;2;","","","","","76700","76700","","","","","7670","","3500000","","3500000","350000","","350000","6500000","","15411344","4-Sep-09","9-Sep-09","30-Nov-09","12-Nov-09","12-Nov-09","","5-Mar-12","","","","","","","","5-Apr-12","","","30-Apr-12","11-Apr-13","30-Jun-17","","","","","","","","","","30-May-15","","AFR,"
"906001223988","Programatic","5215","World Bank","World Bank","","AFR","","Benin","","BJ","Multi Focal Area","M","M;B;L;M;","GEF - 5","FP","Full-Sized Project","CEO Endorsed","GET","GEF Trust Fund","Government of Benin Ministry of Environment Habitat and Urban","Government","PAS","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","Jean-Marc Sinnassamy","349360","","131051","","","","LD-2; SFM/REDD+-1; BD-1; LD-3; ","","","","0","","","","","","","","5555556","","5555556","444444","","444444","46450000","","46450000","28-Nov-12","","","26-May-11","26-May-11","","30-Jan-13","","","","","","","","","","","","","","","","","","","","","","","","","AFR,"
"906001223990","Programatic","4035","World Bank","World Bank","","AFR","","Tunisia","","TN","Multi Focal Area","M","M;B;L;","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","Minstry of Environment and Sustainable Development","Government","PAS","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Mohamed Bakarr","298074","","","","BD-1;BD-2;LD-1;",";1;2;15;","","","","","200000","200000","","","","","20000","","4272300","","4272300","427230","","427230","3300000","","4788000","10-Aug-09","24-Aug-09","10-Nov-09","12-Nov-09","12-Nov-09","","9-Oct-12","","","","","","","","22-Jan-13","","","1-Jan-13","22-May-13","31-Jul-18","","","","","","","","","","30-Jun-16","","AFR,"
"906001223992","Programatic","4709","World Bank","World Bank","","AFR","","Togo","","TG","Multi Focal Area","M","M;B;C;L;M;","GEF - 5","FP","Full-Sized Project","Under Implmentation","MTF","Multi Trust Funds","Ministry of Environment and Forest Resources","Government","PAS","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","Jean-Marc Sinnassamy","349360","","124198","","","","LD-3; CCA-2; CCA-2; BD-1; SFM/REDD+-1; ","","","","0","","","","","","","","9157407","","9157407","732593","","732593","55290000","","55290000","31-Oct-11","","","26-May-11","26-May-11","","21-Nov-11","","","","","","","","20-Dec-11","","","","19-Sep-12","18-Feb-16","","","","","","","","","","","","AFR,"
"906001223994","Programatic","5110","World Bank","World Bank","","Asia","","Regional","China, Indonesia, Philippines, Vietnam","00, CN, ID, PH, VN","International Waters","I","I","GEF - 5","MSP","Medium-Sized Project","CEO Approved","GET","GEF Trust Fund","Partnerships in Environmental Management for the Seas of East Asia (PEMSEA)","Multilateral","PAS","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Christian Severin","439285","","","","","","IW-1; ","","","","0","","","","","","","","1000000","1000000","","80000","80000","","1245250","1245250","","31-Aug-12","","","","24-Apr-13","24-Apr-13","","","","","","","","","","","","","","","","","","","","","","","","","","Asia, REG,"
"906001223996","Programatic","3961","World Bank","World Bank","","AFR","","Gambia","","GM","Biodiversity","B","B","GEF - 4","MSP","Medium-Sized Project","Project Completion","GET","GEF Trust Fund","Department of Parks and Wildlife Management","Government","PAN","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Jean-Marc Sinnassamy","404597","","115585","","BD-2;BD-1;",";2;1;","","","","","50660","50660","","","","","5066","","945000","945000","","94500","94500","","1258876","1258876","","10-Apr-09","19-Aug-09","","","19-Aug-09","13-Sep-10","","","","","","","","","","","","30-Nov-10","21-Mar-11","31-May-14","31-Jan-12","","","","","","","","","","","AFR,"
"906001223998","Programatic","3882","FAO","FAO","","CEX","Asia, CEX","Global","Global, India","1W, IN, 1W","Climate Change","C","C","GEF - 4","MSP","Medium-Sized Project","Project Completion","GET","GEF Trust Fund","Bharati Integrated Rural Development Society (BIRDS) ","NGO","PAN","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Saliha Dobardzic","318439","","","","CC-SPA;",";30;","","","","","0","","","","","","","","859091","909091","","90091","90909","","2577270","2853563","","4-Feb-09","7-Jul-09","","","7-Jul-09","21-Apr-10","","","","","","","","","","","","31-May-10","21-Dec-10","30-Jun-14","30-Jun-14","","","","","","","","","31-Jan-12","","Asia, CEX,"
"906001224000","Programatic","5292","World Bank","World Bank","","AFR","AFR, Asia","Morocco","Algeria, Egypt, Jordan, Morocco","MA, DZ, EG, JO, MA","Multi Focal Area","M","M;B;L;","GEF - 5","FP","Full Size Project","IA Approved","GET","GEF Trust Fund","Government","Government","PAS","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Mohamed Bakarr","329964","","116260","","","","LD-1; BD-2; ","","","","0","","","","","","","","6440000","","6440000","515200","","515200","35540000","","35540000","8-Feb-13","","","9-Nov-11","9-Nov-11","","11-Feb-13","","","","","","","","12-Mar-13","","","","","","","","","","","","","","","","","AFR, ECA,"
"906001224002","Programatic","3954","UNDP","UNDP","","Asia","","Papua New Guinea","","PG","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","Department of Environment and Conservation","Government","PAN","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Dirk Gaul","17821","3936","","","BD-3;BD-1;",";3;1;","","","","","222000","222000","","","","","22200","","6900000","","6900000","690000","","690000","12000000","","23000000","9-Apr-09","28-Apr-09","30-Jun-09","24-Jun-09","24-Jun-09","","29-Jun-11","","","","","","","","20-Aug-12","","","31-Oct-11","20-Aug-12","28-Sep-18","","","","28-Feb-18","","","","","","30-Apr-15","","SIDS,"
"906001224004","Programatic","3952","UNDP","UNDP","","AFR","","Algeria","","DZ","Multi Focal Area","M","M;B;L;","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","Ministry of Culture    ","Government","PAN","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Jean-Marc Sinnassamy","349360","4153","","","BD-3;LD-1;",";3;15;","","","","","0","","","","","","","","5387142","","5387142","538715","","538714","10022858","","21325910","8-Apr-09","24-Apr-09","30-Jun-09","24-Jun-09","24-Jun-09","","12-Sep-11","","","","","","","","24-Oct-12","","","31-Jul-11","24-Oct-12","31-Jul-18","","","","","","","","","","28-Feb-15","","AFR,"
"906001224006","Programatic","3859","UNDP","UNDP","","Asia","","Philippines","","PH","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund"," Protected Area and Wildlife Bureau (PAWB)- Department of Environment and Natural Resources (DENR), FFI, Haribon Foundation, PhilConserve, CI Philippines.","Government","PAN","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Nicole Glineur","66996","2904","","","BD-2;",";2;","","","","","93200","93200","","","","","9320","","4500000","","4500000","450000","","450000","9100000","","12522061","","24-Feb-09","1-Jun-09","24-Jun-09","24-Jun-09","","25-Jun-10","","","","","","","","","","","30-Jun-10","20-Sep-10","31-May-16","","","","","","","","","","28-Feb-13","","Asia,"
"906001224008","Programatic","9120","UNEP","UNEP","","REG","Asia, ECA","Regional","Afghanistan, Bangladesh, Bahrain, Bhutan, China, Fiji, Indonesia, India, Iraq, Jordan, Kyrgyz Republic, Cambodia, Kiribati, Kuwait, Kazakhstan, Lao PDR, Lebanon, Sri Lanka, Marshall Islands, Myanmar, Mongolia, Maldives, Malaysia, Nauru, Niue, Oman, Papua New Guinea, Philippines, Pakistan, Palau, Solomon Islands, Thailand, Tajikistan, Turkmenistan, Tonga, Turkey, Vietnam, Samoa, Yemen","00, AF, BH, IQ, JO, KW, LB, OM, TR, YE, BD, BT, KH, CN, FJ, IN, ID, KZ, KI, KG, LA, MY, MV, MH, MN, MM, NR, NU, PK, PU, PG, PH, WS, SB, LK, TJ, TH, TO, TM, VN","Biodiversity","B","B","GEF - 6","MSP","Medium-Sized Project","CEO Approved","GET","GEF Trust Fund","","Government","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Jaime Cavelier","","","","","","","","","","","0","","","","","","","","1099050","1099050","","104410","104410","","995000","995000","","5-May-15","","","","9-Jun-15","9-Jun-15","","","","","","","","","","","","","","","","","","","","","","","","","","Asia, ECA, SIDS, REG,"
"906001224010","Programatic","4105","World Bank","World Bank","","AFR","","Sierra Leone","","SL","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","Ministry of Agriculture, Forestry and Food Security (MAFFS)","Government","PAN","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Jean-Marc Sinnassamy","226576","","118900","","BD-2;",";2;","","","","","0","","","","","","","","1800000","","1800000","180000","","180000","2000000","","3380000","15-Sep-09","21-Jan-10","31-Mar-10","17-Mar-10","17-Mar-10","","27-Jan-11","","","","","","","","","","","1-Jun-11","1-Jun-11","30-Jun-15","","","","","","","","","","1-Dec-13","","AFR,"
"906001224012","Programatic","2766","ADB","ADB","","Asia","","China","","CN","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","Development and Reform Commission (DRC) of the Baoding Municipallity, Hebei Province, PRC","Government","PAN","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Yoko Watanabe","298074","","","-2-4-12-","BD-1;BD-2;",";1;2;","","","","","414000","207000","","207000","","","","","2975000","","2975000","318200","","318000","276116000","","246930000","8-Apr-05","5-Feb-08","1-Jun-08","28-Jul-08","28-Jul-08","","23-Feb-10","","","","","","","","24-Jun-08","","","31-Jan-10","23-Jun-10","30-Mar-15","","","","","","","","","","25-Jun-13","25-Jun-13","Asia,"
"906001224014","Programatic","5187","World Bank","World Bank","","AFR","","Burkina Faso","","BF","Multi Focal Area","M","M;B;C;L;M;","GEF - 5","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","Ministry of Agriculture   Ministry of Environment    ","Government","PAS","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","Jean-Marc Sinnassamy","434149","","130568","","","","LD-3; CCM-5; BD-1; BD-2; SFM/REDD+-1; ","","","","0","","","","","","","","7407408","","7407408","592592","","592592","97350000","","97350000","18-Oct-12","","","26-May-11","26-May-11","","21-Nov-12","","","","","","","","20-Dec-12","","","","21-Jun-13","31-May-18","","","","","","","","","","","","AFR,"
"906001224016","Programatic","3465","UNDP","UNDP","","Asia","","China","","CN","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Project Completion","GET","GEF Trust Fund","Xinyang Municipal Government; Foreign Economic Cooperation Office of China State Environmental Protection Administration; Henan Provincial Finance Bureau","Government","PAN","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Yoko Watanabe","","3934","","-2-","BD-1;",";1;","","","","","0","","","","","","","","2727200","","2730000","272720","","272720","10355000","","10350000","","5-Oct-07","1-Nov-07","16-Nov-07","16-Nov-07","","21-Jan-09","","","","","","","","","","","28-Feb-09","2-Jun-09","15-Sep-13","","","","31-Dec-14","","","","","","31-Dec-12","","Asia,"
"906001224018","Programatic","3989","UNDP","UNDP","","AFR","","Morocco","","MA","Biodiversity","B","B","GEF - 4","FP","Full Size Project","IA Approved","GET","GEF Trust Fund","Ministry of Agriculture","Government","PAS","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Jaime Cavelier","349360","5079","","","BD-4;BD-5;",";4;5;","","","","","80000","80000","","","","","8000","","2647272","","2647272","264727","","264727","5500000","","7500000","22-Apr-09","14-Jun-12","15-Jun-09","24-Jun-09","24-Jun-09","","19-Mar-14","","","","","","","","17-Jun-14","","","30-Mar-12","","30-Mar-17","","","","","","","","","","30-Aug-15","","AFR,"
"906001224020","Programatic","5026","World Bank","World Bank","","Asia","","Jordan","","JO","Multi Focal Area","M","M;B;C;L;","GEF - 5","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","National Center for Agricultural Research and Extension (NCARE)","Government","PAS","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Mohamed Bakarr","298074","","127861","","","","BD-2; LD-1; ","","","","0","","","","","","","","3330555","","3330555","266445","","266445","11348000","","11348000","19-Jun-12","","","9-Nov-11","9-Nov-11","","31-Jul-12","","","","","","","","27-Nov-12","","","","28-Mar-13","30-Jun-17","","","","","","","","","","","","ECA,"
"906001224022","Programatic","5423","World Bank","World Bank","","REG","","Regional","","0","Multi Focal Area","M","M;C;L;","GEF - 5","FP","Full-Sized Project","CEO Endorsed","GET","GEF Trust Fund","Permanent Interstate Committee for Drought Control in the Sahel CILSS Sahel and Sahara Observatory OSS and the International Union for Conservation of Nature IUCN West Africa Office","Government","PAS","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Jean-Marc Sinnassamy","353429","","130888","","","","LD-3; LD-4; CCM-5; ","","","","0","","","","","","","","4629630","","4629630","370370","","370370","10000000","","10000000","1-May-13","","","26-May-11","26-May-11","","10-May-13","","","","","","","","","","","","","","","","","","","","","","","","","REG,"
"906001224024","Programatic","5619","World Bank","World Bank","","AFR","","Sudan","","SD","Multi Focal Area","M","M;B;L;M;","GEF - 5","FP","Full-Sized Project","CEO Endorsed","GET","GEF Trust Fund","Ministry of Environment","Government","PAS","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","Jean-Marc Sinnassamy","298074","","","","","","LD-3; BD-1; BD-2; SFM/REDD+-1; ","","","","0","","","","","","","","7731481","","7731481","618519","","618519","25680000","","25680000","10-Oct-13","","","26-May-11","26-May-11","","13-Nov-13","","","","","","","","","","","","","","","","","","","","","","","","","AFR,"
