Program/ Project Label,Program GEF_ID,Project GEF_ID,Projects In Common with the MFA portfolio,Projects In Common with the Biodiversity Portfolio,ProjectsIn Common with the Land Degradation portfolio,Agency,Lead agency,Secondary agency(ies),Region,Parent (Program) Geographic level,Country,List of participating countries,Focal Area,List of project's focal areas,Title,GEF replenishment phase,Type acronym,Status,Trust Fund acronym,Executing partner / agency,Type of executing partner / agency,Type acronym of parent (or empty if standalone),"Category (empty: standalone, parent, child)",GEF3 OP list,GEF4 SP list,GEF4 SP-ID list,GEF5 FA Objective list,Keyword ID list,Code of business plan allocation item,World Bank Trust Fund number,(Sum of all) Approved PPG(s),Project Preparation Grant (PPG),Project Development Facility block A (PDF-A),Project Development Facility block B (PDF-B),Project Development Facility block C (PDF-C),Pre-Investment Facility (PRIF),Agency fees paid separately for PPG,Agency fees paid separately for PDF-B,GEF Project Grant PIF stage,GEF project grant at CEO approve/endorse stage,GEF Project Grant CEO approve stage,GEF Project Grant CEO endorse stage,GEF Project Grant_FINAL,Agency Fee PIF stage,Agency Fee CEO approve stage,Agency Fee CEO endorse stage,Agency Fee_Final,Cofinance PIF stage,Cofinance CEO approve stage,Cofinance CEO endorse stage,Cofinance_FINAL,Date of receipt or first PMIS entry,PIF Clearance or PIF Approval Date,Expected date of entry into work program,Date of entry into work program,Date of project approval,Date of CEO approval (MSP / EA),Date of CEO endorsement (FSP),Date of dropping (before project approval),Date of cancelation (after project approval),Date of PIF rejection by CEO,Date of technical rejection by Program Manager,Date of rejection by CEO at CEO approve stage,Date of rejection by CEO at CEO endorse stage,Date of Parent / Program rejection by Council,Date of approval by Agency,Expected date of Grant signing,Actual date of Grant signing,Expected date of implementation start,Actual date of implementation start,Expected date of closure,Actual date of closure,Expected date of financial closure,Date of financial closure,Expected date of Internal Completion Report (ICR),Date of Internal Completion Report (ICR),Expected date of Parent endorsement by Council,Date of Parent endorsement by Council,Expected date of effectiveness,Date of effectiveness,Expected date of mid term review,Date of mid term review,PFD,PFD available in PMIS,PIR Status,MTRStatus,TTStatus,TEStatus,TERStatus
B3,3420,3626,Err:512,Err:512,Err:512,UNEP,UNEP,,Asia,,Regional,"Micronesia, Marshall Islands, Palau",Biodiversity,B,PAS: The Micronesia Challenge :  Sustainable Finance Systems for Island Protected Area Management - under the GEF Pacific Alliance for Sustainability,GEF - 4,FP,Under Implementation,GET,Micronesia Conservation Trust; Conservation International (CI); The Nature Conservancy (TNC),NGO,PAN,Child,,,,,,,,0 ,,,,,,,,"5,454,545 ","5,454,545 ",,"5,454,545 ","5,454,545 ","545,455 ",,"545,455 ","545,455 ","10,884,000 ",,"13,921,455 ","13,921,455 ",22-Jan-08,25-Feb-08,1-Apr-08,24-Apr-08,24-Apr-08,,28-May-10,,,,,,,,,,,30-Sep-10,1-Feb-11,15-Jun-14,,,,,,,,,,28-Sep-12,,,,Submitted,Submitted,Submitted,N/A,
B4,3420,3664,Err:512,Err:512,Err:512,UNEP,UNEP,,Asia,,Regional,"Cook Islands, Micronesia, Kiribati, Marshall Islands, Niue, Papua New Guinea, Palau, Tonga, Vanuatu, Samoa",Biodiversity,B,"PAS: Prevention, Control and Management of Invasive Alien Species in the Pacific Islands",GEF - 4,FP,Under Implementation,GET,"SPREP, SPC, IUCN, PILN, Country Institutions",Multilateral,PAN,Child,,BD-7;,;7;,,,,,"150,000 ","150,000 ",,,,,,,"3,031,815 ","3,031,818 ",,"3,031,818 ","3,031,818 ","318,182 ",,"318,182 ","318,182 ","4,430,000 ",,"3,979,072 ","3,979,072 ",22-Jan-08,6-Nov-08,1-Jan-09,27-Jan-09,27-Jan-09,,21-Mar-11,,,,,,,,22-Aug-11,,,31-Mar-11,1-Apr-12,30-Sep-16,,,,,,,,,,31-Dec-11,,,,Submitted,Due,Due,N/A,
B5,3420,3819,Err:512,3819,Err:512,FAO,FAO,,Asia,,Regional,"Fiji, Niue, Vanuatu, Samoa",Biodiversity,B,PAS: Forestry and Protected Area Management,GEF - 4,FP,Under Implementation,GET," Ministry of Local Government, Urban Development, Housing and Environment (Fiji), Ministry of Natural Resources and Environment (Samoa),",Government,PAN,Child,,BD-3;BD-4;BD-5;,;3;4;5;,,,,,"350,000 ","350,000 ",,,,,"35,000 ",,"6,286,000 ","6,283,750 ",,"6,283,750 ","6,283,750 ","628,600 ",,"628,375 ","628,375 ","9,880,000 ",,"11,787,220 ","11,787,220 ",10-Oct-08,29-Oct-08,1-Jan-09,27-Jan-09,27-Jan-09,,14-Mar-11,,,,,,,,24-Feb-11,,,30-Apr-11,1-Jul-11,30-Jun-15,,,,,,,,,,30-Apr-13,,,,Submitted,Submitted,N/A,N/A,
B6,3420,3897,Err:512,Err:512,Err:512,UNEP,UNEP,,Asia,,Kiribati,,Biodiversity,B,PAS: Phoenix Islands Protected Area (PIPA),GEF - 4,MSP,Under Implementation,GET,"MELAD - Government of Kribati, Conservation International, New England Aquarium",Government,PAN,Child,,BD-1;BD-2;BD-5;BD-7;,;1;2;5;7;,,,,,"20,000 ","20,000 ",,,,,"2,000 ",,"890,000 ","870,200 ","870,200 ",,"870,200 ","89,000 ","87,000 ",,"87,000 ","945,000 ","1,793,100 ",,"1,793,100 ",23-Feb-09,3-Mar-09,,,3-Mar-09,12-Sep-11,,,,,,,,,6-Dec-11,,,30-Oct-11,6-Dec-11,14-Nov-14,,,,,,,,,,15-Jan-11,,,,Submitted,Due,Due,N/A,
B7,3420,3954,Err:512,3954,Err:512,UNDP,UNDP,,Asia,,Papua New Guinea,,Biodiversity,B,PAS: Community-Based Forest and Coastal Conservation and Resource Management in PNG,GEF - 4,FP,Under Implementation,GET,Department of Environment and Conservation,Government,PAN,Child,,BD-3;BD-1;,;3;1;,,,,,"222,000 ","222,000 ",,,,,"22,200 ",,"6,900,000 ","6,900,000 ",,"6,900,000 ","6,900,000 ","690,000 ",,"690,000 ","690,000 ","12,000,000 ",,"23,000,000 ","23,000,000 ",9-Apr-09,28-Apr-09,30-Jun-09,24-Jun-09,24-Jun-09,,29-Jun-11,,,,,,,,20-Aug-12,,,31-Oct-11,20-Aug-12,28-Sep-18,,,,28-Feb-18,,,,,,30-Apr-16,,,,Submitted,Not Submitted Yet,Midterm TT Not Submitted Yet,Not Submitted Yet,Not completed yet
B8,3420,4023,Err:512,4023,Err:512,UNEP,UNEP,,Asia,,Regional,"Cook Islands, Nauru, Tonga, Tuvalu",Biodiversity,B,PAS: Implementing the Island Biodiversity Programme of Work by Integrating the Conservation Management of Island Biodiversity,GEF - 4,FP,Under Implementation,GET,"Secretariat of the Pacific Regional Environment Programme (SPREP), Country Institutions",Multilateral,PAN,Child,,BD-4;BD-3;BD-2;BD-7;,;4;3;2;7;,,,,,"77,000 ","77,000 ",,,,,"7,700 ",,"1,740,600 ","1,740,600 ",,"1,740,600 ","1,740,600 ","174,060 ",,"174,060 ","174,060 ","1,960,000 ",,"2,562,120 ","2,562,120 ",26-Jun-09,28-Jan-10,31-Mar-10,17-Mar-10,17-Mar-10,,19-Dec-11,,,,,,,,,,,31-Mar-12,13-Mar-12,15-Mar-14,,,,,,,,,,31-Jul-13,,,,Submitted,Due,Due,N/A,
C,3423,3423,Err:512,Err:512,Err:512,"IFAD, UNIDO, UNDP, UNEP, World Bank",IFAD,,REG,Regional,Regional,"Algeria, Egypt, Iran, Jordan, Morocco, Tunisia, Yemen",Multi Focal Area,M,MENARID Integrated Nature Resources Management in the Middle East and North Africa Region (PROGRAM),GEF - 4,FP,Council Approved,GET,"GEF Lead Agency: IFAD                                                Other GEF agencies: UNDP, WB, UNEP, AFDB, FAO, UNIDO",Multilateral,PAN,Parent,,LD-2;LD-3;,;16;17;,,,,,"1,975,000 ",,,,,,,,"53,324,984 ","53,518,406 ","1,627,270 ","51,891,136 ","53,518,406 ","4,939,499 ","166,727 ","4,833,613 ","5,000,340 ","185,913,163 ","3,866,080 ","213,466,830 ","217,332,910 ",10-Jul-07,24-Sep-07,,24-Apr-08,24-Apr-08,,,,,,,,,,18-Sep-07,,,,,,,,,,,,24-Apr-08,,,,,submitted,No,N/A,N/A,N/A,N/A,
C1,3423,2631,Err:512,Err:512,2631,IFAD,IFAD,,Asia,,Jordan,,Multi Focal Area,M;L;I;,MENARID: Mainstreaming Sustainable Land and Water Management Practices,GEF - 4,FP,Under Implementation,GET,"MOPIC, MOE, MOA, MWI",Government,PAN,Child,-9-,LD-2;IW-4;,;16;21;,,,,,"350,000 ",,,"350,000 ",,,,0 ,"6,445,000 ","6,445,000 ",,"6,445,000 ","6,445,000 ","644,500 ",,"676,000 ","676,000 ","23,139,000 ",,"22,804,000 ","22,804,000 ",6-Oct-04,22-Jan-08,1-Apr-08,24-Apr-08,24-Apr-08,,19-Aug-08,,,,,,,,30-Sep-08,,,,18-May-09,30-Mar-16,,,,31-Dec-05,,,,,,1-Oct-13,27-Nov-13,,,Submitted,Submitted (PIR 2014),Submitted (PIR 2014),N/A,N/A
C2,3423,2632,Err:512,Err:512,2632,IFAD/UNIDO,IFAD,UNIDO,AFR,,Morocco,,Multi Focal Area,M;L;I;,MENARID: Participatory Control of Desertification and Poverty Reduction in the Arid and Semi Arid High Plateau Ecosystems of Eastern Morocco,GEF - 4,FP,Under Implementation,GET,"UNIDO, HCEFLCD, MARDMF",Multilateral,PAN,Child,,LD-2;IW-4;,;16;21;,,,,,"350,000 ",,,"350,000 ",,,,,"6,000,000 ","5,998,422 ",,"5,998,422 ","5,998,422 ","635,000 ",,"634,842 ","634,842 ","19,035,165 ",,"19,089,096 ","19,089,096 ",8-Oct-04,22-Jan-08,1-Apr-08,24-Apr-08,24-Apr-08,,16-Sep-08,,,,,,,,16-Oct-08,,,,14-Oct-10,31-Dec-15,,,,,,,,,,1-Apr-13,13-Apr-13,,,Submitted,Submitted (PIR 2014),Submitted (PIR 2014),N/A,N/A
C3,3423,2709,Err:512,Err:512,2709,IFAD,IFAD,,AFR,,Tunisia,,Multi Focal Area,M;B;L;,MENARID: Support to Sustainable Land Management in the Siliana Governorate,GEF - 4,FP,Under Implementation,GET,"MoA, CRDA. MoESD",Government,PAN,Child,,LD-2;BD-1;,;16;1;,,,,,"350,000 ",,,"350,000 ",,,,,"5,000,000 ","5,000,000 ",,"5,000,000 ","5,000,000 ","500,000 ",,"500,000 ","500,000 ","22,684,000 ",,"27,380,000 ","27,380,000 ",4-Feb-05,30-Jan-08,1-Apr-08,24-Apr-08,24-Apr-08,,30-Sep-08,,,,,,,,16-Oct-08,,,,1-Sep-10,30-Jun-16,,,,,,,,,,1-Jan-14,20-Jan-14,,,Submitted,Submitted (PIR 2014),Submitted (PIR 2014),N/A,N/A
C4,3423,2732,Err:512,Err:512,2732,UNDP,UNDP,,Asia,,Iran,,Multi Focal Area,M;B;C;L;I;,MENARID: Institutional Strengthening and Coherence for Integrated Natural Resources Management,GEF - 4,FP,Under Implementation,GET,"Forest Range and Watershed Management Organization (FRWO), Ministry of Jihad Agriculture",Government,PAN,Child,-1-3-4-15-,LD-2;IW-4;LD-1;BD-4;CC-6;,;16;21;15;4;14;,,,,,"125,000 ","100,000 ","25,000 ",,,,,,"4,320,000 ","4,320,000 ",,"4,320,000 ","4,320,000 ","434,500 ",,"444,500 ","444,500 ","14,946,000 ",,"15,737,000 ","15,737,000 ",27-Oct-06,19-Feb-08,1-Apr-08,24-Apr-08,24-Apr-08,,22-Jul-10,,,,,,,,,,,30-Sep-10,28-Sep-10,31-Aug-16,,,,,,,,,,31-Mar-12,6-Jul-05,,,Submitted,Submitted,N/A,Not Submitted Yet,Not completed yet
C5,3423,3267,Err:512,Err:512,Err:512,World Bank,World Bank,,Asia,,Yemen,,Climate Change,C,MENARID: Adaptation to Climate Change Using Agrobiodiversity Resources in the Rainfed Highlands of Yemen,GEF - 4,FP,Project Completion,GET,"Ministry of Agriculture, Government of Yemen",Government,PAN,Child,-SPA-,,,,,,,"200,000 ","200,000 ",,,,,,,"4,000,000 ","4,000,000 ",,"4,000,000 ","4,000,000 ","420,000 ",,"420,000 ","420,000 ","4,080,000 ",,"31,738,000 ","31,738,000 ",24-Oct-06,2-Oct-07,1-Nov-07,16-Nov-07,16-Nov-07,,28-Apr-10,,,,,,,,,,,31-Aug-10,28-Jun-10,31-Aug-14,5-Mar-15,,,,,,,,,31-Aug-12,27-Mar-14,,,Submitted,Due,Due,Submitted,
C6,3423,3628,Err:512,Err:512,3628,IFAD,IFAD,,REG,,Regional,"Algeria, Egypt, Iran, Jordan, Morocco, Tunisia, Yemen",Land Degradation,L,MENARID: Cross Cutting M & E Functions and Knowledge Management for INRM within the MENARID Programme Framework,GEF - 4,MSP,Project Completion,GET,IFAD,Multilateral,PAN,Child,,,,,,,,"60,000 ","60,000 ",,,,,"6,000 ",,"667,270 ","667,270 ","667,270 ",,"667,270 ","66,727 ","66,727 ",,"66,727 ","1,600,000 ","1,600,000 ",,"1,600,000 ",22-Jan-08,5-May-08,1-Apr-08,,5-May-08,6-Jul-09,,,,,,,,,12-Nov-09,,,31-Jan-11,18-May-10,31-Dec-14,30-Jun-14,,,,,,,,,30-Jun-13,n/a,,,Submitted,N/A,N/A,Submitted,Submitted
C7,3423,3645,Err:512,Err:512,Err:512,UNEP,UNEP,,AFR,,Regional,"Algeria, Libya, Tunisia",International Waters,I,MENARID: Reducing Risks to the Sustainable Management of the North West Sahara Aquifer System (NWSAS),GEF - 4,MSP,Project Completion,GET,"OSS (Sahara and Sahel Observatory) and national institutions from Algeria (Agence Nationale des Resources Hydrauliques), Libya (General Water Authority), Tunisia (Direction Générale des Resources en Eau)",Government,PAN,Child,,IW-3;,;20;,,,,,"40,000 ","40,000 ",,,,,,,"960,000 ","960,000 ","960,000 ",,"960,000 ","100,000 ","100,000 ",,"100,000 ","1,641,140 ","2,266,080 ",,"2,266,080 ",22-Jan-08,29-Apr-08,,,29-Apr-08,22-Apr-09,,,,,,,,,18-Sep-09,,,30-Jun-09,1-Oct-09,9-May-12,31-Mar-15,,,,,,,,,30-Sep-10,,,,Submitted,N/A,N/A,Submitted,
C8,3423,3669,Err:512,Err:512,3669,World Bank,World Bank,,AFR,,Tunisia,,Multi Focal Area,M;C;L;I;,MENARID: Second Natural Resources Management Project,GEF - 4,FP,Under Implementation,GET,"Ministry of Agriculture and Water Resources (MARH), National Sewerage and Sanitation Agency (ONAS), General Directorate of Rural Engineering (DGGRE) and General Directorate of Environment and Quality of Life (DGEQV)",Government,PAN,Child,-SPA-9-15-,,,,,,,0 ,,,,,,,,"9,726,000 ","9,726,000 ",,"9,726,000 ","9,726,000 ","518,100 ",,"518,100 ","518,100 ","75,700,000 ",,"57,900,000 ","57,900,000 ",26-Feb-08,21-Jul-08,1-Sep-08,23-Sep-08,23-Sep-08,,11-May-10,,,,,,,,,,,30-Sep-10,7-Oct-10,31-Dec-16,,,,,,,,,,31-Dec-12,,,,Submitted,N/A,N/A,N/A,
C9,3423,3952,Err:512,Err:512,3952,UNDP,UNDP,,AFR,,Algeria,,Multi Focal Area,M;B;L;,MENARID: Conservation of Globally Significant Biodiversity and Sustainable Use of Ecosystem Services in Algeria’s Cultural Parks ,GEF - 4,FP,Under Implementation,GET,Ministry of Culture    ,Government,PAN,Child,,BD-3;LD-1;,;3;15;,,,,,0 ,,,,,,,,"5,387,142 ","5,387,142 ",,"5,387,142 ","5,387,142 ","538,715 ",,"538,714 ","538,714 ","10,022,858 ",,"21,325,910 ","21,325,910 ",8-Apr-09,24-Apr-09,30-Jun-09,24-Jun-09,24-Jun-09,,12-Sep-11,,,,,,,,24-Oct-12,,,31-Jul-11,24-Oct-12,31-Jul-18,,,,,,,,,,28-Feb-16,,,,Submitted,Not Submitted Yet,Midterm TT Not Submitted Yet,Not Submitted Yet,Not completed yet
C10,3423,3989,Err:512,3989,Err:512,UNDP,UNDP,,AFR,,Morocco,,Biodiversity,B,MENARID: A Circular Economy Approach to AgrobiodiversityConservation in the Souss-Massa Drâa Region ofMorocco,GEF - 4,FP,Under Implementation,GET,Ministry of Agriculture,Government,PAS,Child,,BD-4;BD-5;,;4;5;,,,,,"80,000 ","80,000 ",,,,,"8,000 ",,"2,647,272 ","2,647,272 ",,"2,647,272 ","2,647,272 ","264,727 ",,"264,727 ","264,727 ","5,500,000 ",,"7,500,000 ","7,500,000 ",22-Apr-09,14-Jun-12,15-Jun-09,24-Jun-09,24-Jun-09,,19-Mar-14,,,,,,,,,,,30-Mar-12,17-Jun-14,30-Jun-19,,,,,,,,,,30-Aug-15,,,,N/A,N/A,N/A,N/A,
