GEF_ID,Agency,Lead agency,Secondary agency(ies),Region,List of regions,Country,List of participating countries,Countries listed by Code (ISO 3166-1 alpha-2),Focal Area,Focal Area single-letter-code ,List of project's focal areas,Title,GEF replenishment phase,Type acronym,Type,Status,Trust Fund acronym,Trust Fund,Executing partner / agency,Type of executing partner / agency,Type acronym of parent (or empty if standalone),"Category (empty: standalone, parent, child)",Biosafety project?,Targeted research project?,National Capacity Self Assessement (NCSA)?,National Adaptation Programme of Action (NAPA)?,isNonExpedited,National Portfolio Formulation Exercises (NPFE)?,National communications project?,Small Grants Programme (SGP)?,Sustainable Forest Management (SFM)?,Requires second review?,Primary GEFSEC Program Manager,ID of secondary GEFSEC Program Manager,UNDP Project ID,World Bank Project ID,GEF3 OP list,GEF4 SP list,GEF4 SP-ID list,GEF5 FA Objective list,Keyword ID list,Code of business plan allocation item,World Bank Trust Fund number,(Sum of all) Approved PPG(s),Project Preparation Grant (PPG),Project Development Facility block A (PDF-A),Project Development Facility block B (PDF-B),Project Development Facility block C (PDF-C),Pre-Investment Facility (PRIF),Agency fees paid separately for PPG,Agency fees paid separately for PDF-B,GEF Project Grant PIF stage,GEF Project Grant CEO approve stage,GEF Project Grant CEO endorse stage,Final Grant,Agency Fee PIF stage,Agency Fee CEO approve stage,Agency Fee CEO endorse stage,Cofinance PIF stage,Cofinance CEO approve stage,Cofinance CEO endorse stage,Date of receipt or first PMIS entry,PIF Clearance or PIF Approval Date,Expected date of entry into work program,Date of entry into work program,Date of project approval,Date of CEO approval (MSP / EA),Date of CEO endorsement (FSP),Date of dropping (before project approval),Date of cancelation (after project approval),Date of PIF rejection by CEO,Date of technical rejection by Program Manager,Date of rejection by CEO at CEO approve stage,Date of rejection by CEO at CEO endorse stage,Date of Parent / Program rejection by Council,Date of approval by Agency,Expected date of Grant signing,Actual date of Grant signing,Expected date of implementation start,Actual date of implementation start,Expected date of closure,Actual date of closure,Expected date of financial closure,Date of financial closure,Expected date of Internal Completion Report (ICR),Date of Internal Completion Report (ICR),Expected date of Parent endorsement by Council,Date of Parent endorsement by Council,Expected date of effectiveness,Date of effectiveness,Expected date of mid term review,Date of mid term review,GEFNewRegionList
1468,UNDP,UNDP,,AFR,,Tanzania,,TZ,Biodiversity,B,B,Add On - Consultations for the Second Report to CBD and CHM,GEF - 2,EA,Enabling Activity,Under Implmentation,GET,GEF Trust Fund,Vice President's Office,Government,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,1933,,-EA-,,,,,,,0,,,,,,,,38950,,38950,38950,5842,,,22000,,22000,22-Sep-01,,,,16-Oct-01,16-Oct-01,,,,,,,,,26-Feb-02,,,,26-Feb-02,,,,,,,,,,,,,"AFR,"
1434,UNDP,UNDP,,Asia,,Jordan,,JO,Biodiversity,B,B,Assessment of Capacity Building Needs and Country/Authority Specific Priorities in Biodiversity (Additional Financing),GEF - 2,EA,Enabling Activity,Under Implmentation,GET,GEF Trust Fund,General Corporation for Environment Protection (GCEP) and the Palestinian Authority Ministry for Environmental Affairs,Government,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,797,,-EA-,,,,,,,0,,,,,,,,87500,,87500,87500,13000,,,40000,,40000,13-Aug-01,,,,24-Oct-01,24-Oct-01,,,,,,,,,9-Sep-97,,,,9-Sep-97,,,,,,,,,,,,,"ECA,"
1418,UNDP,UNDP,,AFR,,Zimbabwe,,ZW,Biodiversity,B,B,"Assessing Capacity Building Needs for Biodiversity Management and Development, and Consultations Leading to Preparation of Second National Report to CBD (add on)",GEF - 2,EA,Enabling Activity,CEO Approved,GET,GEF Trust Fund,Africa Resources trust,NGO,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,288,,-EA-,,,,,,,0,,,,,,,,90000,,90000,90000,13500,,,100000,,100000,26-Jul-01,,,,16-Aug-01,16-Aug-01,,,,,,,,,,,,,,,,,,,,,,,,,,"AFR,"
1663,UNEP,UNEP,,LAC,,Haiti,,HT,Climate Change,C,C,Expedited Financing for (interim) Measures for Capacity Building in Priority Areas (Phase II),GEF - 3,EA,Enabling Activity,Project Closure,GET,GEF Trust Fund,Ministry of Environment,Government,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,,,-EA-,,,,,,,0,,,,,,,,90000,,90000,90000,13500,,,,,,13-Mar-02,,,,18-Jul-02,18-Jul-02,,,,,,,,,19-Aug-02,,19-Aug-02,,19-Aug-02,11-Jan-03,11-Jan-03,,11-Jan-03,,,,,,19-Aug-02,,,"SIDS,"
1435,UNDP,UNDP,,Asia,,Cambodia,,KH,Biodiversity,B,B,Assessment of Capacity Building Needs for Implementation of Priorities from the NBSAP (additional financing),GEF - 2,EA,Enabling Activity,Project Closure,GET,GEF Trust Fund,FAO,Multilateral,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,974,,-EA-,,,,,,,0,,,,,,,,97373,,97373,97373,14695,,,,,,13-Aug-01,,,,24-Oct-01,24-Oct-01,,,,,,,,,,,,,,,1-Jun-03,,,,,,,,,,,"Asia,"
1087,UNDP,UNDP,,AFR,,Algeria,,DZ,Climate Change,C,C,Climate Change Enabling Activity (Additional Financing for Capacity Building in Priority Areas),GEF - 2,EA,Enabling Activity,CEO Approved,GET,GEF Trust Fund,Ministry of Environment and Land Use Planning,Government,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,796,,-EA-,,,,,,,0,,,,,,,,100000,,100000,100000,15000,,,,,,26-Apr-01,,,,21-Aug-01,21-Aug-01,,,,,,,,,,,,,,,,,,,,,,,,,,"AFR,"
1293,UNDP,UNDP,,AFR,,Algeria,,DZ,Biodiversity,B,B,Assessment of Capacity Building Needs and Country Specific Priorities in Biological Diversity (add on),GEF - 2,EA,Enabling Activity,CEO Approved,GET,GEF Trust Fund,Ministry of Environment,Government,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,774,,-EA-,,,,,,,0,,,,,,,,100000,,100000,100000,15000,,,,,,2-May-01,,,,11-May-01,11-May-01,,,,,,,,,,,,,,,,,,,,,,,,,,"AFR,"
1306,UNDP,UNDP,,Asia,,Lebanon,,LB,Biodiversity,B,B,Assessment of Capacity Building Needs and Country Specific Priorities in Biodiversity (add on),GEF - 2,EA,Enabling Activity,CEO Approved,GET,GEF Trust Fund,Ministry of Environment,Government,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,801,,-EA-,,,,,,,0,,,,,,,,100000,,100000,100000,15000,,,45000,,45000,23-May-01,,,,20-Jun-01,20-Jun-01,,,,,,,,,,,,,,,,,,,,,,,,,,"ECA,"
1321,UNDP,UNDP,,LAC,,Chile,,CL,Climate Change,C,C,Climate Change Enabling Activity (Additional Financing for Capacity Building in Priority Areas,GEF - 2,EA,Enabling Activity,CEO Approved,GET,GEF Trust Fund,"National Commission for the Environment, CONAMA",Government,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,545,,-EA-,,,,,,,0,,,,,,,,100000,,100000,100000,15000,,,,,,18-Jun-01,,,,29-Jun-01,29-Jun-01,,,,,,,,,,,,,,,,,,,,,,,,,,"LAC,"
1364,UNDP,UNDP,,Asia,,Bhutan,,BT,Climate Change,C,C,Climate Change Enabling Activity (Additional Financing for Capacity Building in Priority Areas),GEF - 2,EA,Enabling Activity,CEO Approved,GET,GEF Trust Fund,"National Environment Commission Secretariat (NECS), Royal Government of Bhutan (RGoB)",Government,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,398,,-EA-,,,,,,,0,,,,,,,,100000,,100000,100000,15000,,,,,,2-Jul-01,,,,19-Jul-01,19-Jul-01,,,,,,,,,,,,,,,,,,,,,,,,,,"Asia,"
1452,UNDP,UNDP,,LAC,,Guatemala,,GT,Climate Change,C,C,Climate Change Enabling Activity (additional financing for capacity building in priority areas),GEF - 2,EA,Enabling Activity,IA Approved,GET,GEF Trust Fund,Ministry of Environment and Natural Resources (MARN),Government,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,682,,-EA-,,,,,,,0,,,,,,,,100000,,100000,100000,15000,,,,,,6-Nov-01,,,,17-Dec-01,17-Dec-01,,,,,,,,,13-Jan-98,,,,,,,,,,,,,,,,,"LAC,"
1467,UNEP,UNEP,,AFR,,Cote d'Ivoire,,CI,Climate Change,C,C,"Expedited Financing of Climate Change Enabling Activities Part II, Expedited Financing for (interim) Measures for Capacity Building in Priority Areas",GEF - 2,EA,Enabling Activity,Project Closure,GET,GEF Trust Fund,Ministere de l Environnement et du Cadre de Vie,Government,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,,,-EA-,,,,,,,0,,,,,,,,100000,,100000,100000,54000,,,,,,7-Sep-01,,,,26-Oct-01,26-Oct-01,,,,,,,,,30-Nov-01,,30-Nov-01,,30-Nov-01,31-May-03,31-May-03,,31-May-03,,,,,,30-Nov-01,,,"AFR,"
1492,UNDP,UNDP,,Asia,,Iran,,IR,Biodiversity,B,B,Assessment of Capacity Building Needs and Country Specific Priorities in Biodiversity (add on),GEF - 2,EA,Enabling Activity,IA Approved,GET,GEF Trust Fund,Department of Environment (DOE),Government,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,618,,-EA-,,,,,,,0,,,,,,,,100000,,100000,100000,15000,,,50000,,50000,10-Oct-01,,,,24-Oct-01,24-Oct-01,,,,,,,,,2-Sep-97,,,,,,,,,,,,,,,,,"ECA,"
1553,UNDP,UNDP,,LAC,,Paraguay,,PY,Climate Change,C,C,Climate Change Enabling Activity (Additional Financing for Capacity Building in Priority Areas),GEF - 2,EA,Enabling Activity,CEO Approved,GET,GEF Trust Fund,Environment Secretary,Government,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,1419,,-EA-,,,,,,,0,,,,,,,,100000,,100000,100000,15000,,,,,,25-Oct-01,,,,8-Nov-01,8-Nov-01,,,,,,,,,,,,,,,,,,,,,,,,,,"LAC,"
1554,UNDP,UNDP,,ECA,,Albania,,AL,Climate Change,C,C,Climate Change Enabling Activity (Additional Financing for Capacity Building in Priority Areas),GEF - 2,EA,Enabling Activity,CEO Approved,GET,GEF Trust Fund,Government of Albania,Government,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,119,,-EA-,,,,,,,0,,,,,,,,100000,,100000,100000,15000,,,,,,25-Oct-01,,,,8-Nov-01,8-Nov-01,,,,,,,,,,,,,,,,,,,,,,,,,,"ECA,"
1555,UNDP,UNDP,,Asia,,Lao PDR,,LA,Climate Change,C,C,Climate Change Enabling Activity (Additional Financing for Capacity Building in Priority Areas),GEF - 2,EA,Enabling Activity,CEO Approved,GET,GEF Trust Fund,Government of Lao PDR,Government,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,623,,-EA-,,,,,,,0,,,,,,,,100000,,100000,100000,15000,,,,,,25-Oct-01,,,,8-Nov-01,8-Nov-01,,,,,,,,,,,,,,,,,,,,,,,,,,"Asia,"
1573,UNDP,UNDP,,Asia,,Jordan,,JO,Climate Change,C,C,Climate Change Enabling Activity (Additional Financing for Capacity Building in Priority Areas,GEF - 2,EA,Enabling Activity,CEO Approved,GET,GEF Trust Fund,Government of Jordan,Government,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,51,,-EA-,,,,,,,0,,,,,,,,100000,,100000,100000,15000,,,,,,16-Nov-01,,,,3-Jan-02,3-Jan-02,,,,,,,,,,,,,,,,,,,,,,,,,,"ECA,"
1601,UNDP,UNDP,,Asia,,Iran,,IR,Climate Change,C,C,Climate Change Enabling Activity (Additional Financing for Capacity Building in Priority Areas),GEF - 2,EA,Enabling Activity,CEO Approved,GET,GEF Trust Fund,I.R. Iran - Department of Environment,Government,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,602,,-EA-,,,,,,,0,,,,,,,,100000,,100000,100000,15000,,,,,,23-Jan-02,,,,22-Feb-02,22-Feb-02,,,,,,,,,,,,,,,,,,,,,,,,,,"ECA,"
1602,UNDP,UNDP,,Asia,,Cambodia,,KH,Climate Change,C,C,Climate Change Enabling Activity (Additional Financing for Capacity Building in Priority Areas),GEF - 2,EA,Enabling Activity,CEO Approved,GET,GEF Trust Fund,Ministry of Environment,Government,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,397,,-EA-,,,,,,,0,,,,,,,,100000,,100000,100000,15000,,,,,,23-Jan-02,,,,22-Feb-02,22-Feb-02,,,,,,,,,,,,,,,,,,,,,,,,,,"Asia,"
1639,UNDP,UNDP,,AFR,,Malawi,,MW,Climate Change,C,C,Climate Change Enabling Activity (Additional Financing for Capacity Building in Priority Areas),GEF - 2,EA,Enabling Activity,CEO Approved,GET,GEF Trust Fund,Government of Malawi,Government,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,306,,-EA-,,,,,,,0,,,,,,,,100000,,100000,100000,15000,,,,,,15-Feb-02,,,,7-Mar-02,7-Mar-02,,,,,,,,,,,,,,,,,,,,,,,,,,"AFR,"
1701,UNDP,UNDP,,LAC,,St. Lucia,,LC,Climate Change,C,C,Climate Change Enabling Activity (Additional Financing for Capacity Building in Priority Areas),GEF - 2,EA,Enabling Activity,IA Approved,GET,GEF Trust Fund,Ministry of Planning Development Environment * Housing,Multilateral,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,700,,-EA-,,,,,,,0,,,,,,,,100000,,100000,100000,15000,,,,,,12-Apr-02,,,,6-Jun-02,6-Jun-02,,,,,,,,,16-Jul-98,,,,,,,,,,,,,,,,,"SIDS,"
1761,UNDP,UNDP,,AFR,,Guinea,,GN,Climate Change,C,C,Climate Change Enabling Activity (Additional Financing for Capacity Building in Priority Areas),GEF - 2,EA,Enabling Activity,IA Approved,GET,GEF Trust Fund,"Ministere des Mines, de la Geologie et de L'Environnement",Government,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,427,,-EA-,,,,,,,0,,,,,,,,100000,,100000,100000,15000,,,,,,13-May-02,,,,29-May-02,29-May-02,,,,,,,,,9-Feb-98,,,,,,,,,,,,,,,,,"AFR,"
1763,UNDP,UNDP,,AFR,,Gambia,,GM,Climate Change,C,C,Climate Change Enabling Activity (Additional Financing for Capacity Building in Priority Areas),GEF - 2,EA,Enabling Activity,IA Approved,GET,GEF Trust Fund,National Environment Agency,Government,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,365,,-EA-,,,,,,,0,,,,,,,,100000,,100000,100000,15000,,,,,,13-May-02,,,,6-Jun-02,6-Jun-02,,,,,,,,,17-Nov-97,,,,,,,,,,,,,,,,,"AFR,"
1764,UNDP,UNDP,,AFR,,Congo,,CG,Climate Change,C,C,Climate Change Enabling Activity (Additional Financing for Capacity Building in Priority Areas),GEF - 2,EA,Enabling Activity,IA Approved,GET,GEF Trust Fund,Government of Congo,Government,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,415,,-EA-,,,,,,,0,,,,,,,,100000,,100000,100000,15000,,,,,,13-May-02,,,,29-May-02,29-May-02,,,,,,,,,12-Feb-99,,,,,,,,,,,,,,,,,"AFR,"
1811,UNDP,UNDP,,AFR,,Ethiopia,,ET,Climate Change,C,C,Climate Change Enabling Activity (additional financing for capacity building in priority areas),GEF - 3,EA,Enabling Activity,IA Approved,GET,GEF Trust Fund,Government of Ethiopia,Government,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,612,,-EA-,,,,,,,0,,,,,,,,100000,,100000,100000,15000,,,,,,26-Jul-02,,,,14-Aug-02,14-Aug-02,,,,,,,,,1-Jul-98,,,,,,,,,,,,,,,,,"AFR,"
1817,UNEP,UNEP,,AFR,,Kenya,,KE,Climate Change,C,C,Expedited Financing of Climate Change Enabling Activities Part II:  Expedited Financing for (interim) Measures for Capacity Building in Priority Areas,GEF - 3,EA,Enabling Activity,Project Closure,GET,GEF Trust Fund,Ministry of Environment and Natural Resources,Government,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,,,-EA-,,,,,,,0,,,,,,,,100000,,100000,100000,15000,,,,,,27-Aug-02,,,,13-Sep-02,13-Sep-02,,,,,,,,,9-Dec-02,,9-Dec-02,,9-Dec-02,31-Dec-05,31-Dec-05,,,,,,,,9-Dec-02,,,"AFR,"
1833,UNDP,UNDP,,LAC,,Colombia,,CO,Climate Change,C,C,Climate Change Enabling Activity (Additional Financing for Capacity Building in Priority Areas),GEF - 3,EA,Enabling Activity,CEO Approved,GET,GEF Trust Fund,"Ministry of Environment/Institute of Hydrology, Meteorology and Environmental Studies (IDEAM)",Government,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,2035,,-EA-,,,,,,,0,,,,,,,,100000,,100000,100000,15000,,,,,,28-Aug-02,,,,13-Sep-02,13-Sep-02,,,,,,,,,,,,,,,,,,,,,,,,,,"LAC,"
1070,UNDP,UNDP,,AFR,,Sudan,,SD,Biodiversity,B,B,Assessment of Capacity Building Needs and Country Specific Priorities in Biodiversity Management and Conservation in Sudan,GEF - 2,EA,Enabling Activity,CEO Approved,GET,GEF Trust Fund,Higher Council for Environment and Natural Resources,Government,,,0,0,0,0,0,0,0,0,0,0,Yuki Yoshimura,,220,,-EA-,,,,,,,0,,,,,,,,102000,,102000,102000,15300,,,10000,,10000,19-Apr-01,,,,11-May-01,11-May-01,,,,,,,,,,,,,,,,,,,,,,,,,,"AFR,"
1624,UNDP,UNDP,,AFR,,Congo DR,,ZR,Biodiversity,B,B,Capacity Needs Assessment and Country Driven CHM project,GEF - 2,EA,Enabling Activity,CEO Approved,GET,GEF Trust Fund,"National Biodiversity Unit of the Ministry of Land, Environment, Fisheries and Forestry",Multilateral,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,1236,,-EA-,,,,,,,0,,,,,,,,105725,,105725,105725,15859,,,,,,17-Jan-02,,,,24-May-02,24-May-02,,,,,,,,,,,,,,,,,,,,,,,,,,"AFR,"
987,UNDP,UNDP,,Asia,,Syria,,SY,Biodiversity,B,B,Assessment of Capacity-building Needs and Country-specific Priorities in Biodiversity,GEF - 2,EA,Enabling Activity,CEO Approved,GET,GEF Trust Fund,"National Unit for Biodiversity, General Commission for Environmental Affairs",Government,,,0,0,0,0,0,0,0,0,0,0,,,225,,-EA-,,,,,,,0,,,,,,,,120000,,120000,120000,15000,,,60000,,60000,29-Nov-00,,,,22-Feb-01,22-Feb-01,,,,,,,,,,,,,,,,,,,,,,,,,,"ECA,"
1365,UNDP,UNDP,,AFR,,Namibia,,NA,Climate Change,C,C,Enabling Activities for the Preparation of Initial Communication Related to UN Framework Convention on Climate Change (UNFCCC),GEF - 2,EA,Enabling Activity,Under Implmentation,GET,GEF Trust Fund,Directorate of Environmental Affairs (DEA) Ministry of Environmental and Tourism,Government,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,2279,,-EA-,,,,,,,0,,,,,,,,130000,,130000,130000,54000,,,10000,,10000,2-Jul-01,,,,19-Jul-01,19-Jul-01,,,,,,,,,31-Aug-01,,,,31-Aug-01,,,,,,,,,,,,,"AFR,"
217,UNDP,UNDP,,ECA,,Kazakhstan,,KZ,Biodiversity,B,B,Development of A National Strategy and an Action Plan to Implement the CBD and to prepare the First Report to the COP,GEF - 1,EA,Enabling Activity,Under Implmentation,GET,GEF Trust Fund,Ministry of Ecology and Biological Resources,Government,,,0,0,0,0,0,0,0,0,0,0,,,107,,-EA-,,,,,,,0,,,,,,,,132664,,132664,132664,,,,,,14000,,,1-Apr-96,1-Apr-96,1-Apr-96,1-Apr-96,2-Oct-96,,,,,,,,22-Jul-97,,,,22-Jul-97,1-Jun-96,,,,,,,,,,,,"ECA,"
