906_ID,GEF_ID,Title,Focus Area,Sub-Foci,First Coder Initials,Second Coder Initials,Arbitrator Initials,
906001192361,5060,Developing Core Capacity for MEA Implementation in Cameroon,Multi-Focal,CD-2; CD-4; Project Mana; ,ZC,TH,RR,
906001192163,3129,Sustaining Agricultural Biodiversity in the Face of Climate Change,Multi Focal,BD-2,RH,,RR,
906001192197,4257,The GEF Earth Fund: IFC Earth Fund Platform,Multi-Focal,"Biodiversity, Climate Change, International Waters",ALB,LK,RR,
906001192227,2669,Natural Resources Development Project,Multi Focal,"Biodiversity Conservation, Climate Change, Land Degradation, International Waters",EM,,,NEED TO FIND
906001192101,135,"Small and Medium Scale Enterprise Program (IFC, first replenishment)",Multi Focal,,NL,,,NEED TO FIND
906001192299,1378,Assessment of Soil Organic Carbon Stocks and Change at National Scales,Multi Focal,"Climate Change, Biodiversity, Land Degredation ",NL,,,NEED TO FIND
906001192383,2057,"Renaturalization and Sustainable Management of Peatlands to Combat Land Degradation, Ensure Conservation of Globally Valuable Biodiversity, and Mitigate Climate Change",Multi Focal,,NL,,,NEED TO FIND
906001192259,5281,LME-EA Philippine Rural Development Program,Multi Focal,"Biodiversity, Agricultural, Fishing | BD-1;BD-2;IW-2",LK,,RR,
906001192281,3074,Capacity Development for Improved National and International Environmental Management in Seychelles,Multi Focal,"Capacity Building, Environmental Management | CB-2;",LK,DG,RR,
906001192357,5106,National Capacity Development for Implementing Rio Conventions Through Environmental Governance,Multi Focal,"Capacity Building, Biodiversity Conservation, Climate Change | CD-4; Project Mana;",LK,EM,RR,
906001192377,5225,Mozambique Conservation Areas for Biodiversity and Development Project,Multi Focal,"Biodiversity, Climate Change, SFM | BD-1; CCM-5; CCM-2; CCM-3; SFM/REDD+-1",EM,ZC,RR,
906001192099,3830,Rural Corridors and Biodiversity Conservation,Multi Focal,Biodiversity and Climate Change |  BD-SP1 Financing; BD-SP2 Marine PA; BD-SP3- PA Networks; CC-SP6- LULUCF  ,LM,,RR,
906001192147,3166,Mainstreaming Global Environmental Aspects in the planning and monitoring processes of the National Human Development Initiative (NHDI) in Morocco,Multi Focal,"Biodiversity, Climate Change, Sustainable Land Management |Cross-cutting Capacity Building (CB-2)",KC,,RR,
906001192389,4677,Strengthening Capacity and Incentives for Wildlife Conservation in the Western Forest Complex,Multi Focal,BD-1; CCM-5; SFM/REDD+-2; Project Mana,ZC,,RR,
906001192333,2045,GEF National Consultative Dialogue Initiative,Multi Focal,,TH,,,NEED TO FIND
906001192245,1809,Finalization of the Action Plan on the Environment Component of the New Partnership for Africa's Development,Multi Focal,,TH,,,NEED TO FIND
906001192331,2900,GEF- Development Marketplace Partnership,Multi Focal,"Climate Change, POPs, Biodiversity, Land Degradation, International Waters",TH,,,NEED TO FIND
906001192355,5126,Mainstreaming Global Environment Commitments for Effective National Environmental Management,Multi Focal,CD-2; CD-4; Project Mana,TH,MMF,RR,
906001192273,5028,Capacity Building for Mainstreaming MEA Objectives into Inter-Ministerial Structures and Mechanisms,Multi Focal,CD-3; CD-3; CD-4; Project Mana,TH,EM,RR,
906001192127,3707,Piloting Integrated Processes and Approaches to Facilitate National Reporting to Rio Conventions,Multi Focal,Natural resource management | CB-2,AC,,RR,
906001192369,5031,Ensuring global environmental concerns and best practices mainstreamed in the post-conflict rapid development process of Sri Lanka through improved information management,Multi Focal ,CD-2; CD-3; Project Mana,MSH,EM,RR,
906001192367,5041,Strengthening Decentralized Management of the Environment to Meet Rio Convention Objectives,Multi Focal,CD-4;Project Mana,GEG,,RR,
906001192211,2132,WB-GEF MED Neretva and Trebisnjica Management Project - under Investment Fund for the Mediterranean Sea LME Partnership,Multi Focal,"International Waters, Biodiversity",TH,,,
906001192353,4766,Implementation of Eco-industrial Park Initiative for Sustainable Industrial Zones in Vietnam,Multi Focal,CCM-1;CCM-1;IW-1;IW-2;CHEM-1;CHEM-3,GEG,SW,RR,
906001192121,2166,Integrated Ecosystem Management in Northern Bohemia,Multi Focal," Biodiversity, International Waters",TH,,,
906001192319,5595,Monitoring and Assessment of MEA Implementation and Environmental Trends in St Vincent and the Grenadines,Multi Focal,Capacity Building,TH,,,
906001192077,4660,ABNJ: Sustainable Fisheries Management and Biodiversity Conservation of Deep-sea Living Marine Resources and Ecosystems in the Areas Beyond National Jurisdiction (ABNJ),Multi Focal,IW-4; IW-4; BD-1; BD-2; Project Mana,TH,RH,RR,
906001192297,5131,Enhancing Capacity to Develop and Manage Global Environmental Projects in the Pacific,Multi Focal,"Capacity Building, Environmental Framework",LK,,,
906001192345,5166,Capacity Building for Mainstreaming MEA Objectives into Inter-ministerial Structures and Mechanisms,Multi Focal ,"Capacity Building, Disaster Response, Climate Change Adaptation",LK,,,
906001192261,3049,,Multi Focal,"Capacity Building, Environmental Framework,Biodiversity",LK,,,
906001192345,5166,Capacity Building for Mainstreaming MEA Objectives into Inter-ministerial Structures and Mechanisms,Multi Focal,? Capacity Building,KC,,,
906001192183,3135,Adoption of Ecosystem Approach for Integrated Implementation of MEAs at National and Divisional Level,,,TH,,,
906001192349,6982,Enhancing Capacity to Develop Global and Regional Environmental Projects in the Pacific,Multi Focal,CCCD-2;CCCD-3,EU,GG,RR,THIS IS ALL I COULD FIND
906001192191,2364,Integrated and Sustainable Management of Transboundary Water Resources in the Amazon River Basin Considering Climate Variability and Climate,Multi Focal,,TH,,,
906001192337,3445,SFM: Integrated Community-based Forest and Catchment Management through an Ecosystem Service Approach (CBFCM),Multi Focal,Biodiversity and Climate Change? (Capacity building?),GG,,,
906001192365,5045,Integrating Global Environment Commitments in Investment and Development Decision-making,Multi Focal,CD-3; Project Mana,TH,EU,RR,
906001192379,2407,World Bank Development Market Place - Funding Innovative Development Ideas to Benefit the Global Environment,Multi Focal,"Climate Change, POPs, Biodiversity, Land Degradation, International Waters",TH,,,
906001192091,5384,Adaptation to the Impact of Climate Change in Water Resources for the Andean Region,Multi Focal,"""SCCF Project,"" Biodiversity",EM,,,
906001192129,5236,Strengthening Capacity for an Environmental Information Management and Monitoring System in Tajikistan,Multi Focal,"Biodiversity, Climate Change, Land Degradation",GG,,,
906001192375,5330,"Maximizing Carbon Sink Capacity and Conserving Biodiversity through Sustainable Conservation, Restoration, and Management of Peat-swamp Ecosystems",Multi Focal,"CCM-5, BD-1;SFM/REDD+-1",EU,RH,SW,
906001192153,6970,Pacific Islands Regional Oceanscape Program (PROP) ,Multi Focal,Biodiversity ,GG,,,
906001192147,3166,Mainstreaming Global Environmental Aspects in the planning and monitoring processes of the National Human Development Initiative (NHDI) in Morocco,Multi Focal,"Biodiversity, Climate Change, Sustainable Development",DG,,,
906001192283,4469,"Integrated Approach to Management of Forests, with Demonstration in High Conservation Value Forests in the Mediterranean Region",Multi Focal,"Climate Change Mitigation, Biodiversity, Sustainable Forest Management",EU,,,
906001192359,4659,"Coastal Resources for Sustainable Development: Mainstreaming the Application of Marine Spatial Planning Strategies, Biodiversity Conservation and Sustainable Use",Multi Focal,"Biodiversity,",SW,,,
906001192095,4581,Sustainable Management of Tuna Fisheries and Biodiversity Conservation in the Areas Beyond National Jurisdiction (ABNJ),Multi Focal,"Project Mana, International Waters, Biodiversity",KS,,,
906001192289,4913,Integrating Reo Convention provisions into Ukraine's national environmental policy framework,Multi Focal,,AC,,,
906001192391,3887,Agusan River Basin Integrated Water Resrouce Management,Multi Focal ,"Biodiversity, International Waters | BD-3;BD-4;BD-5;BD-7;IW-2",SW,AC,RR,
906001192255,3749,Towards Ecosystem Management of the Humboldt Current Large Marine Ecosystem,Multi Focal,"Biodiversity, International Waters",EU,,,
906001192381,5391,PAS: Strengthening Coastal and Marine Resources Management in the Coral Triangle of the Pacific - under the Pacific Alliance for Sustainability Program,Multi Focal ,"Biodiversity, International Waters",,,,
,,,,,AC,,,
906001192065,5133,Senegal River Basin Climate Change Resilience Development Project ,Multi Focal ,IW-1; CCA-1; Project Mana; CCA-2; Project Mana;,,,,
906001192205,4187,Capacity Building For Environmental Policy Institutions For Integration Of Global Environment Commitments In The Investment And Development Decisions/Projects,Multi Focal ,??,RH,,,
906001192283,4469,"Integrated Approach to Management of Forests, with Demonstration in High Conservation Value Forests in the Mediterranean Region",Multi Focal ,"Biodiversity, Climate Change Mitigation, Sustainable forest management",AAB,,,
906001192075,4582,Strengthening Global Capacity to Effectively Manage Areas Beyond National Jurisdiction,Multi Focal ,"Biodiversity, International Waters",ZC,,,
,,,,,,,,
,1330,Sustainable Land Management in the Zambian Miombo Woodland Ecosystem,Multi Focal ,,ZC,,,
906001192249,3052,Enhancing Global Environmental Management in Bhutan's Local Governance System,Multi Focal ,,ZC,,,
,1614,,,,,,,
